count,lon,lat,area
8,-91.4,29.4,"POLYGON((-91.4 29.4,-91.4 29.5,-91.3 29.5,-91.3 29.4,-91.4 29.4))"
7,-91.3,29.4,"POLYGON((-91.3 29.4,-91.3 29.5,-91.2 29.5,-91.2 29.4,-91.3 29.4))"
38,-91.6,29.5,"POLYGON((-91.6 29.5,-91.6 29.6,-91.5 29.6,-91.5 29.5,-91.6 29.5))"
31,-91.5,29.5,"POLYGON((-91.5 29.5,-91.5 29.6,-91.4 29.6,-91.4 29.5,-91.5 29.5))"
27,-91.4,29.5,"POLYGON((-91.4 29.5,-91.4 29.6,-91.3 29.6,-91.3 29.5,-91.4 29.5))"
46,-91.3,29.5,"POLYGON((-91.3 29.5,-91.3 29.6,-91.2 29.6,-91.2 29.5,-91.3 29.5))"
71,-91.6,29.6,"POLYGON((-91.6 29.6,-91.6 29.7,-91.5 29.7,-91.5 29.6,-91.6 29.6))"
75,-91.5,29.6,"POLYGON((-91.5 29.6,-91.5 29.7,-91.4 29.7,-91.4 29.6,-91.5 29.6))"
2722,-91.4,29.6,"POLYGON((-91.4 29.6,-91.4 29.7,-91.3 29.7,-91.3 29.6,-91.4 29.6))"
4953,-91.3,29.6,"POLYGON((-91.3 29.6,-91.3 29.7,-91.2 29.7,-91.2 29.6,-91.3 29.6))"
3745,-91.2,29.6,"POLYGON((-91.2 29.6,-91.2 29.7,-91.1 29.7,-91.1 29.6,-91.2 29.6))"
19,-91.1,29.6,"POLYGON((-91.1 29.6,-91.1 29.7,-91.0 29.7,-91.0 29.6,-91.1 29.6))"
711,-91.9,29.7,"POLYGON((-91.9 29.7,-91.9 29.8,-91.8 29.8,-91.8 29.7,-91.9 29.7))"
154,-91.8,29.7,"POLYGON((-91.8 29.7,-91.8 29.8,-91.7 29.8,-91.7 29.7,-91.8 29.7))"
22,-91.7,29.7,"POLYGON((-91.7 29.7,-91.7 29.8,-91.6 29.8,-91.6 29.7,-91.7 29.7))"
3004,-91.6,29.7,"POLYGON((-91.6 29.7,-91.6 29.8,-91.5 29.8,-91.5 29.7,-91.6 29.7))"
2403,-91.5,29.7,"POLYGON((-91.5 29.7,-91.5 29.8,-91.4 29.8,-91.4 29.7,-91.5 29.7))"
1725,-91.4,29.7,"POLYGON((-91.4 29.7,-91.4 29.8,-91.3 29.8,-91.3 29.7,-91.4 29.7))"
4386,-91.3,29.7,"POLYGON((-91.3 29.7,-91.3 29.8,-91.2 29.8,-91.2 29.7,-91.3 29.7))"
572,-91.2,29.7,"POLYGON((-91.2 29.7,-91.2 29.8,-91.1 29.8,-91.1 29.7,-91.2 29.7))"
6,-91.8,29.8,"POLYGON((-91.8 29.8,-91.8 29.9,-91.7 29.9,-91.7 29.8,-91.8 29.8))"
1433,-91.7,29.8,"POLYGON((-91.7 29.8,-91.7 29.9,-91.6 29.9,-91.6 29.8,-91.7 29.8))"
4120,-91.6,29.8,"POLYGON((-91.6 29.8,-91.6 29.9,-91.5 29.9,-91.5 29.8,-91.6 29.8))"
1019,-91.5,29.8,"POLYGON((-91.5 29.8,-91.5 29.9,-91.4 29.9,-91.4 29.8,-91.5 29.8))"
6,-91.4,29.8,"POLYGON((-91.4 29.8,-91.4 29.9,-91.3 29.9,-91.3 29.8,-91.4 29.8))"
215,-91.7,29.9,"POLYGON((-91.7 29.9,-91.7 30.0,-91.6 30.0,-91.6 29.9,-91.7 29.9))"
82,-91.6,29.9,"POLYGON((-91.6 29.9,-91.6 30.0,-91.5 30.0,-91.5 29.9,-91.6 29.9))"
14,-91.5,29.9,"POLYGON((-91.5 29.9,-91.5 30.0,-91.4 30.0,-91.4 29.9,-91.5 29.9))"
