count,lon,lat,area
683,-83.8,41.7,"POLYGON((-83.8 41.7,-83.8 41.8,-83.7 41.8,-83.7 41.7,-83.8 41.7))"
5922,-83.7,41.7,"POLYGON((-83.7 41.7,-83.7 41.8,-83.6 41.8,-83.6 41.7,-83.7 41.7))"
7169,-83.6,41.7,"POLYGON((-83.6 41.7,-83.6 41.8,-83.5 41.8,-83.5 41.7,-83.6 41.7))"
828,-83.5,41.7,"POLYGON((-83.5 41.7,-83.5 41.8,-83.4 41.8,-83.4 41.7,-83.5 41.7))"
896,-83.8,41.8,"POLYGON((-83.8 41.8,-83.8 41.9,-83.7 41.9,-83.7 41.8,-83.8 41.8))"
2058,-83.7,41.8,"POLYGON((-83.7 41.8,-83.7 41.9,-83.6 41.9,-83.6 41.8,-83.7 41.8))"
1567,-83.6,41.8,"POLYGON((-83.6 41.8,-83.6 41.9,-83.5 41.9,-83.5 41.8,-83.6 41.8))"
4490,-83.5,41.8,"POLYGON((-83.5 41.8,-83.5 41.9,-83.4 41.9,-83.4 41.8,-83.5 41.8))"
590,-83.4,41.8,"POLYGON((-83.4 41.8,-83.4 41.9,-83.3 41.9,-83.3 41.8,-83.4 41.8))"
560,-83.8,41.9,"POLYGON((-83.8 41.9,-83.8 42.0,-83.7 42.0,-83.7 41.9,-83.8 41.9))"
2668,-83.7,41.9,"POLYGON((-83.7 41.9,-83.7 42.0,-83.6 42.0,-83.6 41.9,-83.7 41.9))"
1437,-83.6,41.9,"POLYGON((-83.6 41.9,-83.6 42.0,-83.5 42.0,-83.5 41.9,-83.6 41.9))"
8718,-83.5,41.9,"POLYGON((-83.5 41.9,-83.5 42.0,-83.4 42.0,-83.4 41.9,-83.5 41.9))"
8764,-83.4,41.9,"POLYGON((-83.4 41.9,-83.4 42.0,-83.3 42.0,-83.3 41.9,-83.4 41.9))"
1852,-83.3,41.9,"POLYGON((-83.3 41.9,-83.3 42.0,-83.2 42.0,-83.2 41.9,-83.3 41.9))"
124,-84.2,42.0,"POLYGON((-84.2 42.0,-84.2 42.1,-84.1 42.1,-84.1 42.0,-84.2 42.0))"
175,-84.1,42.0,"POLYGON((-84.1 42.0,-84.1 42.1,-84.0 42.1,-84.0 42.0,-84.1 42.0))"
115,-84.0,42.0,"POLYGON((-84.0 42.0,-84.0 42.1,-83.9 42.1,-83.9 42.0,-84.0 42.0))"
95,-83.9,42.0,"POLYGON((-83.9 42.0,-83.9 42.1,-83.8 42.1,-83.8 42.0,-83.9 42.0))"
466,-83.8,42.0,"POLYGON((-83.8 42.0,-83.8 42.1,-83.7 42.1,-83.7 42.0,-83.8 42.0))"
3078,-83.7,42.0,"POLYGON((-83.7 42.0,-83.7 42.1,-83.6 42.1,-83.6 42.0,-83.7 42.0))"
1416,-83.6,42.0,"POLYGON((-83.6 42.0,-83.6 42.1,-83.5 42.1,-83.5 42.0,-83.6 42.0))"
1544,-83.5,42.0,"POLYGON((-83.5 42.0,-83.5 42.1,-83.4 42.1,-83.4 42.0,-83.5 42.0))"
5712,-83.4,42.0,"POLYGON((-83.4 42.0,-83.4 42.1,-83.3 42.1,-83.3 42.0,-83.4 42.0))"
7359,-83.3,42.0,"POLYGON((-83.3 42.0,-83.3 42.1,-83.2 42.1,-83.2 42.0,-83.3 42.0))"
1786,-83.2,42.0,"POLYGON((-83.2 42.0,-83.2 42.1,-83.1 42.1,-83.1 42.0,-83.2 42.0))"
202,-84.2,42.1,"POLYGON((-84.2 42.1,-84.2 42.2,-84.1 42.2,-84.1 42.1,-84.2 42.1))"
1915,-84.1,42.1,"POLYGON((-84.1 42.1,-84.1 42.2,-84.0 42.2,-84.0 42.1,-84.1 42.1))"
660,-84.0,42.1,"POLYGON((-84.0 42.1,-84.0 42.2,-83.9 42.2,-83.9 42.1,-84.0 42.1))"
1139,-83.9,42.1,"POLYGON((-83.9 42.1,-83.9 42.2,-83.8 42.2,-83.8 42.1,-83.9 42.1))"
6525,-83.8,42.1,"POLYGON((-83.8 42.1,-83.8 42.2,-83.7 42.2,-83.7 42.1,-83.8 42.1))"
4957,-83.7,42.1,"POLYGON((-83.7 42.1,-83.7 42.2,-83.6 42.2,-83.6 42.1,-83.7 42.1))"
6286,-83.6,42.1,"POLYGON((-83.6 42.1,-83.6 42.2,-83.5 42.2,-83.5 42.1,-83.6 42.1))"
5628,-83.5,42.1,"POLYGON((-83.5 42.1,-83.5 42.2,-83.4 42.2,-83.4 42.1,-83.5 42.1))"
7014,-83.4,42.1,"POLYGON((-83.4 42.1,-83.4 42.2,-83.3 42.2,-83.3 42.1,-83.4 42.1))"
22178,-83.3,42.1,"POLYGON((-83.3 42.1,-83.3 42.2,-83.2 42.2,-83.2 42.1,-83.3 42.1))"
13444,-83.2,42.1,"POLYGON((-83.2 42.1,-83.2 42.2,-83.1 42.2,-83.1 42.1,-83.2 42.1))"
204,-84.2,42.2,"POLYGON((-84.2 42.2,-84.2 42.3,-84.1 42.3,-84.1 42.2,-84.2 42.2))"
852,-84.1,42.2,"POLYGON((-84.1 42.2,-84.1 42.3,-84.0 42.3,-84.0 42.2,-84.1 42.2))"
1047,-84.0,42.2,"POLYGON((-84.0 42.2,-84.0 42.3,-83.9 42.3,-83.9 42.2,-84.0 42.2))"
4099,-83.9,42.2,"POLYGON((-83.9 42.2,-83.9 42.3,-83.8 42.3,-83.8 42.2,-83.9 42.2))"
25095,-83.8,42.2,"POLYGON((-83.8 42.2,-83.8 42.3,-83.7 42.3,-83.7 42.2,-83.8 42.2))"
15078,-83.7,42.2,"POLYGON((-83.7 42.2,-83.7 42.3,-83.6 42.3,-83.6 42.2,-83.7 42.2))"
16069,-83.6,42.2,"POLYGON((-83.6 42.2,-83.6 42.3,-83.5 42.3,-83.5 42.2,-83.6 42.2))"
16281,-83.5,42.2,"POLYGON((-83.5 42.2,-83.5 42.3,-83.4 42.3,-83.4 42.2,-83.5 42.2))"
20236,-83.4,42.2,"POLYGON((-83.4 42.2,-83.4 42.3,-83.3 42.3,-83.3 42.2,-83.4 42.2))"
51219,-83.3,42.2,"POLYGON((-83.3 42.2,-83.3 42.3,-83.2 42.3,-83.2 42.2,-83.3 42.2))"
44464,-83.2,42.2,"POLYGON((-83.2 42.2,-83.2 42.3,-83.1 42.3,-83.1 42.2,-83.2 42.2))"
30,-83.1,42.2,"POLYGON((-83.1 42.2,-83.1 42.3,-83.0 42.3,-83.0 42.2,-83.1 42.2))"
551,-84.2,42.3,"POLYGON((-84.2 42.3,-84.2 42.4,-84.1 42.4,-84.1 42.3,-84.2 42.3))"
3459,-84.1,42.3,"POLYGON((-84.1 42.3,-84.1 42.4,-84.0 42.4,-84.0 42.3,-84.1 42.3))"
2113,-84.0,42.3,"POLYGON((-84.0 42.3,-84.0 42.4,-83.9 42.4,-83.9 42.3,-84.0 42.3))"
4568,-83.9,42.3,"POLYGON((-83.9 42.3,-83.9 42.4,-83.8 42.4,-83.8 42.3,-83.9 42.3))"
4399,-83.8,42.3,"POLYGON((-83.8 42.3,-83.8 42.4,-83.7 42.4,-83.7 42.3,-83.8 42.3))"
2967,-83.7,42.3,"POLYGON((-83.7 42.3,-83.7 42.4,-83.6 42.4,-83.6 42.3,-83.7 42.3))"
9507,-83.6,42.3,"POLYGON((-83.6 42.3,-83.6 42.4,-83.5 42.4,-83.5 42.3,-83.6 42.3))"
32055,-83.5,42.3,"POLYGON((-83.5 42.3,-83.5 42.4,-83.4 42.4,-83.4 42.3,-83.5 42.3))"
52847,-83.4,42.3,"POLYGON((-83.4 42.3,-83.4 42.4,-83.3 42.4,-83.3 42.3,-83.4 42.3))"
57830,-83.3,42.3,"POLYGON((-83.3 42.3,-83.3 42.4,-83.2 42.4,-83.2 42.3,-83.3 42.3))"
69485,-83.2,42.3,"POLYGON((-83.2 42.3,-83.2 42.4,-83.1 42.4,-83.1 42.3,-83.2 42.3))"
28021,-83.1,42.3,"POLYGON((-83.1 42.3,-83.1 42.4,-83.0 42.4,-83.0 42.3,-83.1 42.3))"
20457,-83.0,42.3,"POLYGON((-83.0 42.3,-83.0 42.4,-82.9 42.4,-82.9 42.3,-83.0 42.3))"
561,-82.9,42.3,"POLYGON((-82.9 42.3,-82.9 42.4,-82.8 42.4,-82.8 42.3,-82.9 42.3))"
260,-84.2,42.4,"POLYGON((-84.2 42.4,-84.2 42.5,-84.1 42.5,-84.1 42.4,-84.2 42.4))"
1993,-84.1,42.4,"POLYGON((-84.1 42.4,-84.1 42.5,-84.0 42.5,-84.0 42.4,-84.1 42.4))"
4294,-84.0,42.4,"POLYGON((-84.0 42.4,-84.0 42.5,-83.9 42.5,-83.9 42.4,-84.0 42.4))"
7410,-83.9,42.4,"POLYGON((-83.9 42.4,-83.9 42.5,-83.8 42.5,-83.8 42.4,-83.9 42.4))"
6655,-83.8,42.4,"POLYGON((-83.8 42.4,-83.8 42.5,-83.7 42.5,-83.7 42.4,-83.8 42.4))"
9690,-83.7,42.4,"POLYGON((-83.7 42.4,-83.7 42.5,-83.6 42.5,-83.6 42.4,-83.7 42.4))"
9623,-83.6,42.4,"POLYGON((-83.6 42.4,-83.6 42.5,-83.5 42.5,-83.5 42.4,-83.6 42.4))"
22423,-83.5,42.4,"POLYGON((-83.5 42.4,-83.5 42.5,-83.4 42.5,-83.4 42.4,-83.5 42.4))"
33809,-83.4,42.4,"POLYGON((-83.4 42.4,-83.4 42.5,-83.3 42.5,-83.3 42.4,-83.4 42.4))"
51417,-83.3,42.4,"POLYGON((-83.3 42.4,-83.3 42.5,-83.2 42.5,-83.2 42.4,-83.3 42.4))"
81760,-83.2,42.4,"POLYGON((-83.2 42.4,-83.2 42.5,-83.1 42.5,-83.1 42.4,-83.2 42.4))"
62335,-83.1,42.4,"POLYGON((-83.1 42.4,-83.1 42.5,-83.0 42.5,-83.0 42.4,-83.1 42.4))"
83010,-83.0,42.4,"POLYGON((-83.0 42.4,-83.0 42.5,-82.9 42.5,-82.9 42.4,-83.0 42.4))"
12653,-82.9,42.4,"POLYGON((-82.9 42.4,-82.9 42.5,-82.8 42.5,-82.8 42.4,-82.9 42.4))"
500,-84.2,42.5,"POLYGON((-84.2 42.5,-84.2 42.6,-84.1 42.6,-84.1 42.5,-84.2 42.5))"
1535,-84.1,42.5,"POLYGON((-84.1 42.5,-84.1 42.6,-84.0 42.6,-84.0 42.5,-84.1 42.5))"
4405,-84.0,42.5,"POLYGON((-84.0 42.5,-84.0 42.6,-83.9 42.6,-83.9 42.5,-84.0 42.5))"
6708,-83.9,42.5,"POLYGON((-83.9 42.5,-83.9 42.6,-83.8 42.6,-83.8 42.5,-83.9 42.5))"
11116,-83.8,42.5,"POLYGON((-83.8 42.5,-83.8 42.6,-83.7 42.6,-83.7 42.5,-83.8 42.5))"
4705,-83.7,42.5,"POLYGON((-83.7 42.5,-83.7 42.6,-83.6 42.6,-83.6 42.5,-83.7 42.5))"
11420,-83.6,42.5,"POLYGON((-83.6 42.5,-83.6 42.6,-83.5 42.6,-83.5 42.5,-83.6 42.5))"
22211,-83.5,42.5,"POLYGON((-83.5 42.5,-83.5 42.6,-83.4 42.6,-83.4 42.5,-83.5 42.5))"
21545,-83.4,42.5,"POLYGON((-83.4 42.5,-83.4 42.6,-83.3 42.6,-83.3 42.5,-83.4 42.5))"
27686,-83.3,42.5,"POLYGON((-83.3 42.5,-83.3 42.6,-83.2 42.6,-83.2 42.5,-83.3 42.5))"
40468,-83.2,42.5,"POLYGON((-83.2 42.5,-83.2 42.6,-83.1 42.6,-83.1 42.5,-83.2 42.5))"
40928,-83.1,42.5,"POLYGON((-83.1 42.5,-83.1 42.6,-83.0 42.6,-83.0 42.5,-83.1 42.5))"
46181,-83.0,42.5,"POLYGON((-83.0 42.5,-83.0 42.6,-82.9 42.6,-82.9 42.5,-83.0 42.5))"
22083,-82.9,42.5,"POLYGON((-82.9 42.5,-82.9 42.6,-82.8 42.6,-82.8 42.5,-82.9 42.5))"
1179,-82.8,42.5,"POLYGON((-82.8 42.5,-82.8 42.6,-82.7 42.6,-82.7 42.5,-82.8 42.5))"
671,-82.7,42.5,"POLYGON((-82.7 42.5,-82.7 42.6,-82.6 42.6,-82.6 42.5,-82.7 42.5))"
461,-82.6,42.5,"POLYGON((-82.6 42.5,-82.6 42.6,-82.5 42.6,-82.5 42.5,-82.6 42.5))"
1116,-84.2,42.6,"POLYGON((-84.2 42.6,-84.2 42.7,-84.1 42.7,-84.1 42.6,-84.2 42.6))"
3219,-84.1,42.6,"POLYGON((-84.1 42.6,-84.1 42.7,-84.0 42.7,-84.0 42.6,-84.1 42.6))"
6006,-84.0,42.6,"POLYGON((-84.0 42.6,-84.0 42.7,-83.9 42.7,-83.9 42.6,-84.0 42.6))"
