count,lon,lat,area
80,-94.4,46.2,"POLYGON((-94.4 46.2,-94.4 46.3,-94.3 46.3,-94.3 46.2,-94.4 46.2))"
101,-94.8,46.3,"POLYGON((-94.8 46.3,-94.8 46.4,-94.7 46.4,-94.7 46.3,-94.8 46.3))"
267,-94.7,46.3,"POLYGON((-94.7 46.3,-94.7 46.4,-94.6 46.4,-94.6 46.3,-94.7 46.3))"
382,-94.6,46.3,"POLYGON((-94.6 46.3,-94.6 46.4,-94.5 46.4,-94.5 46.3,-94.6 46.3))"
941,-94.5,46.3,"POLYGON((-94.5 46.3,-94.5 46.4,-94.4 46.4,-94.4 46.3,-94.5 46.3))"
1370,-94.4,46.3,"POLYGON((-94.4 46.3,-94.4 46.4,-94.3 46.4,-94.3 46.3,-94.4 46.3))"
89,-94.8,46.4,"POLYGON((-94.8 46.4,-94.8 46.5,-94.7 46.5,-94.7 46.4,-94.8 46.4))"
139,-94.7,46.4,"POLYGON((-94.7 46.4,-94.7 46.5,-94.6 46.5,-94.6 46.4,-94.7 46.4))"
102,-94.6,46.4,"POLYGON((-94.6 46.4,-94.6 46.5,-94.5 46.5,-94.5 46.4,-94.6 46.4))"
274,-94.5,46.4,"POLYGON((-94.5 46.4,-94.5 46.5,-94.4 46.5,-94.4 46.4,-94.5 46.4))"
1224,-94.4,46.4,"POLYGON((-94.4 46.4,-94.4 46.5,-94.3 46.5,-94.3 46.4,-94.4 46.4))"
51,-94.8,46.5,"POLYGON((-94.8 46.5,-94.8 46.6,-94.7 46.6,-94.7 46.5,-94.8 46.5))"
144,-94.7,46.5,"POLYGON((-94.7 46.5,-94.7 46.6,-94.6 46.6,-94.6 46.5,-94.7 46.5))"
438,-94.6,46.5,"POLYGON((-94.6 46.5,-94.6 46.6,-94.5 46.6,-94.5 46.5,-94.6 46.5))"
192,-94.5,46.5,"POLYGON((-94.5 46.5,-94.5 46.6,-94.4 46.6,-94.4 46.5,-94.5 46.5))"
1028,-94.4,46.5,"POLYGON((-94.4 46.5,-94.4 46.6,-94.3 46.6,-94.3 46.5,-94.4 46.5))"
60,-94.8,46.6,"POLYGON((-94.8 46.6,-94.8 46.7,-94.7 46.7,-94.7 46.6,-94.8 46.6))"
24,-94.7,46.6,"POLYGON((-94.7 46.6,-94.7 46.7,-94.6 46.7,-94.6 46.6,-94.7 46.6))"
149,-94.6,46.6,"POLYGON((-94.6 46.6,-94.6 46.7,-94.5 46.7,-94.5 46.6,-94.6 46.6))"
195,-94.5,46.6,"POLYGON((-94.5 46.6,-94.5 46.7,-94.4 46.7,-94.4 46.6,-94.5 46.6))"
269,-94.4,46.6,"POLYGON((-94.4 46.6,-94.4 46.7,-94.3 46.7,-94.3 46.6,-94.4 46.6))"
93,-94.8,46.7,"POLYGON((-94.8 46.7,-94.8 46.8,-94.7 46.8,-94.7 46.7,-94.8 46.7))"
48,-94.7,46.7,"POLYGON((-94.7 46.7,-94.7 46.8,-94.6 46.8,-94.6 46.7,-94.7 46.7))"
193,-94.6,46.7,"POLYGON((-94.6 46.7,-94.6 46.8,-94.5 46.8,-94.5 46.7,-94.6 46.7))"
1144,-94.5,46.7,"POLYGON((-94.5 46.7,-94.5 46.8,-94.4 46.8,-94.4 46.7,-94.5 46.7))"
793,-94.4,46.7,"POLYGON((-94.4 46.7,-94.4 46.8,-94.3 46.8,-94.3 46.7,-94.4 46.7))"
4,-94.8,46.8,"POLYGON((-94.8 46.8,-94.8 46.9,-94.7 46.9,-94.7 46.8,-94.8 46.8))"
79,-94.7,46.8,"POLYGON((-94.7 46.8,-94.7 46.9,-94.6 46.9,-94.6 46.8,-94.7 46.8))"
495,-94.6,46.8,"POLYGON((-94.6 46.8,-94.6 46.9,-94.5 46.9,-94.5 46.8,-94.6 46.8))"
959,-94.5,46.8,"POLYGON((-94.5 46.8,-94.5 46.9,-94.4 46.9,-94.4 46.8,-94.5 46.8))"
1067,-94.4,46.8,"POLYGON((-94.4 46.8,-94.4 46.9,-94.3 46.9,-94.3 46.8,-94.4 46.8))"
267,-94.3,46.8,"POLYGON((-94.3 46.8,-94.3 46.9,-94.2 46.9,-94.2 46.8,-94.3 46.8))"
19,-94.2,46.8,"POLYGON((-94.2 46.8,-94.2 46.9,-94.1 46.9,-94.1 46.8,-94.2 46.8))"
227,-94.1,46.8,"POLYGON((-94.1 46.8,-94.1 46.9,-94.0 46.9,-94.0 46.8,-94.1 46.8))"
1050,-94.0,46.8,"POLYGON((-94.0 46.8,-94.0 46.9,-93.9 46.9,-93.9 46.8,-94.0 46.8))"
122,-93.9,46.8,"POLYGON((-93.9 46.8,-93.9 46.9,-93.8 46.9,-93.8 46.8,-93.9 46.8))"
4,-93.8,46.8,"POLYGON((-93.8 46.8,-93.8 46.9,-93.7 46.9,-93.7 46.8,-93.8 46.8))"
231,-94.7,46.9,"POLYGON((-94.7 46.9,-94.7 47.0,-94.6 47.0,-94.6 46.9,-94.7 46.9))"
1265,-94.6,46.9,"POLYGON((-94.6 46.9,-94.6 47.0,-94.5 47.0,-94.5 46.9,-94.6 46.9))"
645,-94.5,46.9,"POLYGON((-94.5 46.9,-94.5 47.0,-94.4 47.0,-94.4 46.9,-94.5 46.9))"
1164,-94.4,46.9,"POLYGON((-94.4 46.9,-94.4 47.0,-94.3 47.0,-94.3 46.9,-94.4 46.9))"
1408,-94.3,46.9,"POLYGON((-94.3 46.9,-94.3 47.0,-94.2 47.0,-94.2 46.9,-94.3 46.9))"
530,-94.2,46.9,"POLYGON((-94.2 46.9,-94.2 47.0,-94.1 47.0,-94.1 46.9,-94.2 46.9))"
318,-94.1,46.9,"POLYGON((-94.1 46.9,-94.1 47.0,-94.0 47.0,-94.0 46.9,-94.1 46.9))"
519,-94.0,46.9,"POLYGON((-94.0 46.9,-94.0 47.0,-93.9 47.0,-93.9 46.9,-94.0 46.9))"
106,-93.9,46.9,"POLYGON((-93.9 46.9,-93.9 47.0,-93.8 47.0,-93.8 46.9,-93.9 46.9))"
28,-93.8,46.9,"POLYGON((-93.8 46.9,-93.8 47.0,-93.7 47.0,-93.7 46.9,-93.8 46.9))"
181,-94.7,47.0,"POLYGON((-94.7 47.0,-94.7 47.1,-94.6 47.1,-94.6 47.0,-94.7 47.0))"
1236,-94.6,47.0,"POLYGON((-94.6 47.0,-94.6 47.1,-94.5 47.1,-94.5 47.0,-94.6 47.0))"
344,-94.5,47.0,"POLYGON((-94.5 47.0,-94.5 47.1,-94.4 47.1,-94.4 47.0,-94.5 47.0))"
317,-94.4,47.0,"POLYGON((-94.4 47.0,-94.4 47.1,-94.3 47.1,-94.3 47.0,-94.4 47.0))"
385,-94.3,47.0,"POLYGON((-94.3 47.0,-94.3 47.1,-94.2 47.1,-94.2 47.0,-94.3 47.0))"
476,-94.2,47.0,"POLYGON((-94.2 47.0,-94.2 47.1,-94.1 47.1,-94.1 47.0,-94.2 47.0))"
72,-94.1,47.0,"POLYGON((-94.1 47.0,-94.1 47.1,-94.0 47.1,-94.0 47.0,-94.1 47.0))"
508,-94.0,47.0,"POLYGON((-94.0 47.0,-94.0 47.1,-93.9 47.1,-93.9 47.0,-94.0 47.0))"
90,-93.9,47.0,"POLYGON((-93.9 47.0,-93.9 47.1,-93.8 47.1,-93.8 47.0,-93.9 47.0))"
1,-93.8,47.0,"POLYGON((-93.8 47.0,-93.8 47.1,-93.7 47.1,-93.7 47.0,-93.8 47.0))"
703,-94.7,47.1,"POLYGON((-94.7 47.1,-94.7 47.2,-94.6 47.2,-94.6 47.1,-94.7 47.1))"
985,-94.6,47.1,"POLYGON((-94.6 47.1,-94.6 47.2,-94.5 47.2,-94.5 47.1,-94.6 47.1))"
109,-94.5,47.1,"POLYGON((-94.5 47.1,-94.5 47.2,-94.4 47.2,-94.4 47.1,-94.5 47.1))"
103,-94.4,47.1,"POLYGON((-94.4 47.1,-94.4 47.2,-94.3 47.2,-94.3 47.1,-94.4 47.1))"
126,-94.3,47.1,"POLYGON((-94.3 47.1,-94.3 47.2,-94.2 47.2,-94.2 47.1,-94.3 47.1))"
277,-94.2,47.1,"POLYGON((-94.2 47.1,-94.2 47.2,-94.1 47.2,-94.1 47.1,-94.2 47.1))"
93,-94.1,47.1,"POLYGON((-94.1 47.1,-94.1 47.2,-94.0 47.2,-94.0 47.1,-94.1 47.1))"
145,-94.0,47.1,"POLYGON((-94.0 47.1,-94.0 47.2,-93.9 47.2,-93.9 47.1,-94.0 47.1))"
182,-93.9,47.1,"POLYGON((-93.9 47.1,-93.9 47.2,-93.8 47.2,-93.8 47.1,-93.9 47.1))"
7,-93.8,47.1,"POLYGON((-93.8 47.1,-93.8 47.2,-93.7 47.2,-93.7 47.1,-93.8 47.1))"
251,-94.7,47.2,"POLYGON((-94.7 47.2,-94.7 47.3,-94.6 47.3,-94.6 47.2,-94.7 47.2))"
80,-94.6,47.2,"POLYGON((-94.6 47.2,-94.6 47.3,-94.5 47.3,-94.5 47.2,-94.6 47.2))"
114,-94.5,47.2,"POLYGON((-94.5 47.2,-94.5 47.3,-94.4 47.3,-94.4 47.2,-94.5 47.2))"
85,-94.4,47.2,"POLYGON((-94.4 47.2,-94.4 47.3,-94.3 47.3,-94.3 47.2,-94.4 47.2))"
198,-94.3,47.2,"POLYGON((-94.3 47.2,-94.3 47.3,-94.2 47.3,-94.2 47.2,-94.3 47.2))"
21,-94.2,47.2,"POLYGON((-94.2 47.2,-94.2 47.3,-94.1 47.3,-94.1 47.2,-94.2 47.2))"
32,-94.0,47.2,"POLYGON((-94.0 47.2,-94.0 47.3,-93.9 47.3,-93.9 47.2,-94.0 47.2))"
87,-93.9,47.2,"POLYGON((-93.9 47.2,-93.9 47.3,-93.8 47.3,-93.8 47.2,-93.9 47.2))"
11,-93.8,47.2,"POLYGON((-93.8 47.2,-93.8 47.3,-93.7 47.3,-93.7 47.2,-93.8 47.2))"
1220,-94.7,47.3,"POLYGON((-94.7 47.3,-94.7 47.4,-94.6 47.4,-94.6 47.3,-94.7 47.3))"
366,-94.6,47.3,"POLYGON((-94.6 47.3,-94.6 47.4,-94.5 47.4,-94.5 47.3,-94.6 47.3))"
18,-94.5,47.3,"POLYGON((-94.5 47.3,-94.5 47.4,-94.4 47.4,-94.4 47.3,-94.5 47.3))"
12,-94.4,47.3,"POLYGON((-94.4 47.3,-94.4 47.4,-94.3 47.4,-94.3 47.3,-94.4 47.3))"
300,-94.3,47.3,"POLYGON((-94.3 47.3,-94.3 47.4,-94.2 47.4,-94.2 47.3,-94.3 47.3))"
14,-94.2,47.3,"POLYGON((-94.2 47.3,-94.2 47.4,-94.1 47.4,-94.1 47.3,-94.2 47.3))"
1,-94.0,47.3,"POLYGON((-94.0 47.3,-94.0 47.4,-93.9 47.4,-93.9 47.3,-94.0 47.3))"
6,-93.9,47.3,"POLYGON((-93.9 47.3,-93.9 47.4,-93.8 47.4,-93.8 47.3,-93.9 47.3))"
73,-94.7,47.4,"POLYGON((-94.7 47.4,-94.7 47.5,-94.6 47.5,-94.6 47.4,-94.7 47.4))"
86,-94.6,47.4,"POLYGON((-94.6 47.4,-94.6 47.5,-94.5 47.5,-94.5 47.4,-94.6 47.4))"
35,-94.4,47.4,"POLYGON((-94.4 47.4,-94.4 47.5,-94.3 47.5,-94.3 47.4,-94.4 47.4))"
24,-94.2,47.4,"POLYGON((-94.2 47.4,-94.2 47.5,-94.1 47.5,-94.1 47.4,-94.2 47.4))"
14,-94.1,47.4,"POLYGON((-94.1 47.4,-94.1 47.5,-94.0 47.5,-94.0 47.4,-94.1 47.4))"
