count,lon,lat,area
86,-91.1,47.4,"POLYGON((-91.1 47.4,-91.1 47.5,-91.0 47.5,-91.0 47.4,-91.1 47.4))"
76,-91.0,47.4,"POLYGON((-91.0 47.4,-91.0 47.5,-90.9 47.5,-90.9 47.4,-91.0 47.4))"
67,-91.1,47.5,"POLYGON((-91.1 47.5,-91.1 47.6,-91.0 47.6,-91.0 47.5,-91.1 47.5))"
317,-91.0,47.5,"POLYGON((-91.0 47.5,-91.0 47.6,-90.9 47.6,-90.9 47.5,-91.0 47.5))"
599,-90.9,47.5,"POLYGON((-90.9 47.5,-90.9 47.6,-90.8 47.6,-90.8 47.5,-90.9 47.5))"
57,-90.8,47.5,"POLYGON((-90.8 47.5,-90.8 47.6,-90.7 47.6,-90.7 47.5,-90.8 47.5))"
17,-91.1,47.6,"POLYGON((-91.1 47.6,-91.1 47.7,-91.0 47.7,-91.0 47.6,-91.1 47.6))"
79,-91.0,47.6,"POLYGON((-91.0 47.6,-91.0 47.7,-90.9 47.7,-90.9 47.6,-91.0 47.6))"
54,-90.9,47.6,"POLYGON((-90.9 47.6,-90.9 47.7,-90.8 47.7,-90.8 47.6,-90.9 47.6))"
641,-90.8,47.6,"POLYGON((-90.8 47.6,-90.8 47.7,-90.7 47.7,-90.7 47.6,-90.8 47.6))"
543,-90.7,47.6,"POLYGON((-90.7 47.6,-90.7 47.7,-90.6 47.7,-90.6 47.6,-90.7 47.6))"
109,-90.6,47.6,"POLYGON((-90.6 47.6,-90.6 47.7,-90.5 47.7,-90.5 47.6,-90.6 47.6))"
13,-91.1,47.7,"POLYGON((-91.1 47.7,-91.1 47.8,-91.0 47.8,-91.0 47.7,-91.1 47.7))"
101,-91.0,47.7,"POLYGON((-91.0 47.7,-91.0 47.8,-90.9 47.8,-90.9 47.7,-91.0 47.7))"
142,-90.9,47.7,"POLYGON((-90.9 47.7,-90.9 47.8,-90.8 47.8,-90.8 47.7,-90.9 47.7))"
197,-90.8,47.7,"POLYGON((-90.8 47.7,-90.8 47.8,-90.7 47.8,-90.7 47.7,-90.8 47.7))"
431,-90.7,47.7,"POLYGON((-90.7 47.7,-90.7 47.8,-90.6 47.8,-90.6 47.7,-90.7 47.7))"
276,-90.6,47.7,"POLYGON((-90.6 47.7,-90.6 47.8,-90.5 47.8,-90.5 47.7,-90.6 47.7))"
410,-90.5,47.7,"POLYGON((-90.5 47.7,-90.5 47.8,-90.4 47.8,-90.4 47.7,-90.5 47.7))"
1697,-90.4,47.7,"POLYGON((-90.4 47.7,-90.4 47.8,-90.3 47.8,-90.3 47.7,-90.4 47.7))"
277,-90.3,47.7,"POLYGON((-90.3 47.7,-90.3 47.8,-90.2 47.8,-90.2 47.7,-90.3 47.7))"
133,-90.2,47.7,"POLYGON((-90.2 47.7,-90.2 47.8,-90.1 47.8,-90.1 47.7,-90.2 47.7))"
11,-91.1,47.8,"POLYGON((-91.1 47.8,-91.1 47.9,-91.0 47.9,-91.0 47.8,-91.1 47.8))"
