count,lon,lat,area
193,-93.6,45.4,"POLYGON((-93.6 45.4,-93.6 45.5,-93.5 45.5,-93.5 45.4,-93.6 45.4))"
967,-93.5,45.4,"POLYGON((-93.5 45.4,-93.5 45.5,-93.4 45.5,-93.4 45.4,-93.5 45.4))"
1667,-93.4,45.4,"POLYGON((-93.4 45.4,-93.4 45.5,-93.3 45.5,-93.3 45.4,-93.4 45.4))"
3439,-93.3,45.4,"POLYGON((-93.3 45.4,-93.3 45.5,-93.2 45.5,-93.2 45.4,-93.3 45.4))"
814,-93.2,45.4,"POLYGON((-93.2 45.4,-93.2 45.5,-93.1 45.5,-93.1 45.4,-93.2 45.4))"
717,-93.1,45.4,"POLYGON((-93.1 45.4,-93.1 45.5,-93.0 45.5,-93.0 45.4,-93.1 45.4))"
103,-93.6,45.5,"POLYGON((-93.6 45.5,-93.6 45.6,-93.5 45.6,-93.5 45.5,-93.6 45.5))"
1452,-93.5,45.5,"POLYGON((-93.5 45.5,-93.5 45.6,-93.4 45.6,-93.4 45.5,-93.5 45.5))"
1648,-93.4,45.5,"POLYGON((-93.4 45.5,-93.4 45.6,-93.3 45.6,-93.3 45.5,-93.4 45.5))"
5814,-93.3,45.5,"POLYGON((-93.3 45.5,-93.3 45.6,-93.2 45.6,-93.2 45.5,-93.3 45.5))"
1517,-93.2,45.5,"POLYGON((-93.2 45.5,-93.2 45.6,-93.1 45.6,-93.1 45.5,-93.2 45.5))"
478,-93.1,45.5,"POLYGON((-93.1 45.5,-93.1 45.6,-93.0 45.6,-93.0 45.5,-93.1 45.5))"
88,-93.6,45.6,"POLYGON((-93.6 45.6,-93.6 45.7,-93.5 45.7,-93.5 45.6,-93.6 45.6))"
793,-93.5,45.6,"POLYGON((-93.5 45.6,-93.5 45.7,-93.4 45.7,-93.4 45.6,-93.5 45.6))"
707,-93.4,45.6,"POLYGON((-93.4 45.6,-93.4 45.7,-93.3 45.7,-93.3 45.6,-93.4 45.6))"
904,-93.3,45.6,"POLYGON((-93.3 45.6,-93.3 45.7,-93.2 45.7,-93.2 45.6,-93.3 45.6))"
607,-93.2,45.6,"POLYGON((-93.2 45.6,-93.2 45.7,-93.1 45.7,-93.1 45.6,-93.2 45.6))"
22,-93.6,45.7,"POLYGON((-93.6 45.7,-93.6 45.8,-93.5 45.8,-93.5 45.7,-93.6 45.7))"
104,-93.5,45.7,"POLYGON((-93.5 45.7,-93.5 45.8,-93.4 45.8,-93.4 45.7,-93.5 45.7))"
202,-93.4,45.7,"POLYGON((-93.4 45.7,-93.4 45.8,-93.3 45.8,-93.3 45.7,-93.4 45.7))"
190,-93.3,45.7,"POLYGON((-93.3 45.7,-93.3 45.8,-93.2 45.8,-93.2 45.7,-93.3 45.7))"
950,-93.2,45.7,"POLYGON((-93.2 45.7,-93.2 45.8,-93.1 45.8,-93.1 45.7,-93.2 45.7))"
