count,lon,lat,area
1,-94.2,45.4,"POLYGON((-94.2 45.4,-94.2 45.5,-94.1 45.5,-94.1 45.4,-94.2 45.4))"
2,-94.1,45.4,"POLYGON((-94.1 45.4,-94.1 45.5,-94.0 45.5,-94.0 45.4,-94.1 45.4))"
105,-93.8,45.5,"POLYGON((-93.8 45.5,-93.8 45.6,-93.7 45.6,-93.7 45.5,-93.8 45.5))"
391,-93.7,45.5,"POLYGON((-93.7 45.5,-93.7 45.6,-93.6 45.6,-93.6 45.5,-93.7 45.5))"
2606,-93.6,45.5,"POLYGON((-93.6 45.5,-93.6 45.6,-93.5 45.6,-93.5 45.5,-93.6 45.5))"
314,-93.8,45.6,"POLYGON((-93.8 45.6,-93.8 45.7,-93.7 45.7,-93.7 45.6,-93.8 45.6))"
690,-93.7,45.6,"POLYGON((-93.7 45.6,-93.7 45.7,-93.6 45.7,-93.6 45.6,-93.7 45.6))"
400,-93.6,45.6,"POLYGON((-93.6 45.6,-93.6 45.7,-93.5 45.7,-93.5 45.6,-93.6 45.6))"
1,-94.6,45.7,"POLYGON((-94.6 45.7,-94.6 45.8,-94.5 45.8,-94.5 45.7,-94.6 45.7))"
778,-93.8,45.7,"POLYGON((-93.8 45.7,-93.8 45.8,-93.7 45.8,-93.7 45.7,-93.8 45.7))"
2073,-93.7,45.7,"POLYGON((-93.7 45.7,-93.7 45.8,-93.6 45.8,-93.6 45.7,-93.7 45.7))"
730,-93.6,45.7,"POLYGON((-93.6 45.7,-93.6 45.8,-93.5 45.8,-93.5 45.7,-93.6 45.7))"
232,-93.8,45.8,"POLYGON((-93.8 45.8,-93.8 45.9,-93.7 45.9,-93.7 45.8,-93.8 45.8))"
475,-93.7,45.8,"POLYGON((-93.7 45.8,-93.7 45.9,-93.6 45.9,-93.6 45.8,-93.7 45.8))"
269,-93.6,45.8,"POLYGON((-93.6 45.8,-93.6 45.9,-93.5 45.9,-93.5 45.8,-93.6 45.8))"
1,-94.2,45.9,"POLYGON((-94.2 45.9,-94.2 46.0,-94.1 46.0,-94.1 45.9,-94.2 45.9))"
72,-93.8,45.9,"POLYGON((-93.8 45.9,-93.8 46.0,-93.7 46.0,-93.7 45.9,-93.8 45.9))"
225,-93.7,45.9,"POLYGON((-93.7 45.9,-93.7 46.0,-93.6 46.0,-93.6 45.9,-93.7 45.9))"
24,-93.6,45.9,"POLYGON((-93.6 45.9,-93.6 46.0,-93.5 46.0,-93.5 45.9,-93.6 45.9))"
1,-93.5,45.9,"POLYGON((-93.5 45.9,-93.5 46.0,-93.4 46.0,-93.4 45.9,-93.5 45.9))"
3,-94.3,46.0,"POLYGON((-94.3 46.0,-94.3 46.1,-94.2 46.1,-94.2 46.0,-94.3 46.0))"
4,-93.9,46.0,"POLYGON((-93.9 46.0,-93.9 46.1,-93.8 46.1,-93.8 46.0,-93.9 46.0))"
143,-93.8,46.0,"POLYGON((-93.8 46.0,-93.8 46.1,-93.7 46.1,-93.7 46.0,-93.8 46.0))"
1035,-93.7,46.0,"POLYGON((-93.7 46.0,-93.7 46.1,-93.6 46.1,-93.6 46.0,-93.7 46.0))"
80,-93.6,46.0,"POLYGON((-93.6 46.0,-93.6 46.1,-93.5 46.1,-93.5 46.0,-93.6 46.0))"
122,-93.5,46.0,"POLYGON((-93.5 46.0,-93.5 46.1,-93.4 46.1,-93.4 46.0,-93.5 46.0))"
23,-93.9,46.1,"POLYGON((-93.9 46.1,-93.9 46.2,-93.8 46.2,-93.8 46.1,-93.9 46.1))"
273,-93.8,46.1,"POLYGON((-93.8 46.1,-93.8 46.2,-93.7 46.2,-93.7 46.1,-93.8 46.1))"
459,-93.7,46.1,"POLYGON((-93.7 46.1,-93.7 46.2,-93.6 46.2,-93.6 46.1,-93.7 46.1))"
1074,-93.6,46.1,"POLYGON((-93.6 46.1,-93.6 46.2,-93.5 46.2,-93.5 46.1,-93.6 46.1))"
1570,-93.5,46.1,"POLYGON((-93.5 46.1,-93.5 46.2,-93.4 46.2,-93.4 46.1,-93.5 46.1))"
2,-94.3,46.2,"POLYGON((-94.3 46.2,-94.3 46.3,-94.2 46.3,-94.2 46.2,-94.3 46.2))"
1,-94.1,46.2,"POLYGON((-94.1 46.2,-94.1 46.3,-94.0 46.3,-94.0 46.2,-94.1 46.2))"
245,-93.9,46.2,"POLYGON((-93.9 46.2,-93.9 46.3,-93.8 46.3,-93.8 46.2,-93.9 46.2))"
460,-93.8,46.2,"POLYGON((-93.8 46.2,-93.8 46.3,-93.7 46.3,-93.7 46.2,-93.8 46.2))"
338,-93.6,46.2,"POLYGON((-93.6 46.2,-93.6 46.3,-93.5 46.3,-93.5 46.2,-93.6 46.2))"
227,-93.5,46.2,"POLYGON((-93.5 46.2,-93.5 46.3,-93.4 46.3,-93.4 46.2,-93.5 46.2))"
