count,lon,lat,area
1,-96.9,47.4,"POLYGON((-96.9 47.4,-96.9 47.5,-96.8 47.5,-96.8 47.4,-96.9 47.4))"
1,-96.8,47.4,"POLYGON((-96.8 47.4,-96.8 47.5,-96.7 47.5,-96.7 47.4,-96.8 47.4))"
6,-96.3,47.4,"POLYGON((-96.3 47.4,-96.3 47.5,-96.2 47.5,-96.2 47.4,-96.3 47.4))"
6,-96.2,47.4,"POLYGON((-96.2 47.4,-96.2 47.5,-96.1 47.5,-96.1 47.4,-96.2 47.4))"
8,-96.1,47.4,"POLYGON((-96.1 47.4,-96.1 47.5,-96.0 47.5,-96.0 47.4,-96.1 47.4))"
1,-96.0,47.4,"POLYGON((-96.0 47.4,-96.0 47.5,-95.9 47.5,-95.9 47.4,-96.0 47.4))"
1,-95.9,47.4,"POLYGON((-95.9 47.4,-95.9 47.5,-95.8 47.5,-95.8 47.4,-95.9 47.4))"
2,-95.7,47.4,"POLYGON((-95.7 47.4,-95.7 47.5,-95.6 47.5,-95.6 47.4,-95.7 47.4))"
2,-95.6,47.4,"POLYGON((-95.6 47.4,-95.6 47.5,-95.5 47.5,-95.5 47.4,-95.6 47.4))"
58,-96.9,47.5,"POLYGON((-96.9 47.5,-96.9 47.6,-96.8 47.6,-96.8 47.5,-96.9 47.5))"
34,-96.8,47.5,"POLYGON((-96.8 47.5,-96.8 47.6,-96.7 47.6,-96.7 47.5,-96.8 47.5))"
32,-96.7,47.5,"POLYGON((-96.7 47.5,-96.7 47.6,-96.6 47.6,-96.6 47.5,-96.7 47.5))"
85,-96.6,47.5,"POLYGON((-96.6 47.5,-96.6 47.6,-96.5 47.6,-96.5 47.5,-96.6 47.5))"
32,-96.5,47.5,"POLYGON((-96.5 47.5,-96.5 47.6,-96.4 47.6,-96.4 47.5,-96.5 47.5))"
95,-96.4,47.5,"POLYGON((-96.4 47.5,-96.4 47.6,-96.3 47.6,-96.3 47.5,-96.4 47.5))"
614,-96.3,47.5,"POLYGON((-96.3 47.5,-96.3 47.6,-96.2 47.6,-96.2 47.5,-96.3 47.5))"
143,-96.2,47.5,"POLYGON((-96.2 47.5,-96.2 47.6,-96.1 47.6,-96.1 47.5,-96.2 47.5))"
195,-96.1,47.5,"POLYGON((-96.1 47.5,-96.1 47.6,-96.0 47.6,-96.0 47.5,-96.1 47.5))"
196,-96.0,47.5,"POLYGON((-96.0 47.5,-96.0 47.6,-95.9 47.6,-95.9 47.5,-96.0 47.5))"
72,-95.9,47.5,"POLYGON((-95.9 47.5,-95.9 47.6,-95.8 47.6,-95.8 47.5,-95.9 47.5))"
804,-95.8,47.5,"POLYGON((-95.8 47.5,-95.8 47.6,-95.7 47.6,-95.7 47.5,-95.8 47.5))"
273,-95.7,47.5,"POLYGON((-95.7 47.5,-95.7 47.6,-95.6 47.6,-95.6 47.5,-95.7 47.5))"
79,-95.6,47.5,"POLYGON((-95.6 47.5,-95.6 47.6,-95.5 47.6,-95.5 47.5,-95.6 47.5))"
156,-96.9,47.6,"POLYGON((-96.9 47.6,-96.9 47.7,-96.8 47.7,-96.8 47.6,-96.9 47.6))"
38,-96.8,47.6,"POLYGON((-96.8 47.6,-96.8 47.7,-96.7 47.7,-96.7 47.6,-96.8 47.6))"
24,-96.7,47.6,"POLYGON((-96.7 47.6,-96.7 47.7,-96.6 47.7,-96.6 47.6,-96.7 47.6))"
34,-96.6,47.6,"POLYGON((-96.6 47.6,-96.6 47.7,-96.5 47.7,-96.5 47.6,-96.6 47.6))"
39,-96.5,47.6,"POLYGON((-96.5 47.6,-96.5 47.7,-96.4 47.7,-96.4 47.6,-96.5 47.6))"
33,-96.4,47.6,"POLYGON((-96.4 47.6,-96.4 47.7,-96.3 47.7,-96.3 47.6,-96.4 47.6))"
280,-96.3,47.6,"POLYGON((-96.3 47.6,-96.3 47.7,-96.2 47.7,-96.2 47.6,-96.3 47.6))"
848,-96.2,47.6,"POLYGON((-96.2 47.6,-96.2 47.7,-96.1 47.7,-96.1 47.6,-96.2 47.6))"
605,-96.1,47.6,"POLYGON((-96.1 47.6,-96.1 47.7,-96.0 47.7,-96.0 47.6,-96.1 47.6))"
152,-96.0,47.6,"POLYGON((-96.0 47.6,-96.0 47.7,-95.9 47.7,-95.9 47.6,-96.0 47.6))"
361,-95.9,47.6,"POLYGON((-95.9 47.6,-95.9 47.7,-95.8 47.7,-95.8 47.6,-95.9 47.6))"
106,-95.8,47.6,"POLYGON((-95.8 47.6,-95.8 47.7,-95.7 47.7,-95.7 47.6,-95.8 47.6))"
115,-95.7,47.6,"POLYGON((-95.7 47.6,-95.7 47.7,-95.6 47.7,-95.6 47.6,-95.7 47.6))"
57,-95.6,47.6,"POLYGON((-95.6 47.6,-95.6 47.7,-95.5 47.7,-95.5 47.6,-95.6 47.6))"
50,-97.0,47.7,"POLYGON((-97.0 47.7,-97.0 47.8,-96.9 47.8,-96.9 47.7,-97.0 47.7))"
71,-96.9,47.7,"POLYGON((-96.9 47.7,-96.9 47.8,-96.8 47.8,-96.8 47.7,-96.9 47.7))"
126,-96.8,47.7,"POLYGON((-96.8 47.7,-96.8 47.8,-96.7 47.8,-96.7 47.7,-96.8 47.7))"
1931,-96.7,47.7,"POLYGON((-96.7 47.7,-96.7 47.8,-96.6 47.8,-96.6 47.7,-96.7 47.7))"
984,-96.6,47.7,"POLYGON((-96.6 47.7,-96.6 47.8,-96.5 47.8,-96.5 47.7,-96.6 47.7))"
137,-96.5,47.7,"POLYGON((-96.5 47.7,-96.5 47.8,-96.4 47.8,-96.4 47.7,-96.5 47.7))"
33,-96.4,47.7,"POLYGON((-96.4 47.7,-96.4 47.8,-96.3 47.8,-96.3 47.7,-96.4 47.7))"
24,-96.3,47.7,"POLYGON((-96.3 47.7,-96.3 47.8,-96.2 47.8,-96.2 47.7,-96.3 47.7))"
65,-96.2,47.7,"POLYGON((-96.2 47.7,-96.2 47.8,-96.1 47.8,-96.1 47.7,-96.2 47.7))"
49,-96.1,47.7,"POLYGON((-96.1 47.7,-96.1 47.8,-96.0 47.8,-96.0 47.7,-96.1 47.7))"
40,-96.0,47.7,"POLYGON((-96.0 47.7,-96.0 47.8,-95.9 47.8,-95.9 47.7,-96.0 47.7))"
68,-95.9,47.7,"POLYGON((-95.9 47.7,-95.9 47.8,-95.8 47.8,-95.8 47.7,-95.9 47.7))"
86,-95.8,47.7,"POLYGON((-95.8 47.7,-95.8 47.8,-95.7 47.8,-95.7 47.7,-95.8 47.7))"
179,-95.7,47.7,"POLYGON((-95.7 47.7,-95.7 47.8,-95.6 47.8,-95.6 47.7,-95.7 47.7))"
17,-95.6,47.7,"POLYGON((-95.6 47.7,-95.6 47.8,-95.5 47.8,-95.5 47.7,-95.6 47.7))"
32,-97.1,47.8,"POLYGON((-97.1 47.8,-97.1 47.9,-97.0 47.9,-97.0 47.8,-97.1 47.8))"
240,-97.0,47.8,"POLYGON((-97.0 47.8,-97.0 47.9,-96.9 47.9,-96.9 47.8,-97.0 47.8))"
138,-96.9,47.8,"POLYGON((-96.9 47.8,-96.9 47.9,-96.8 47.9,-96.8 47.8,-96.9 47.8))"
80,-96.8,47.8,"POLYGON((-96.8 47.8,-96.8 47.9,-96.7 47.9,-96.7 47.8,-96.8 47.8))"
62,-96.7,47.8,"POLYGON((-96.7 47.8,-96.7 47.9,-96.6 47.9,-96.6 47.8,-96.7 47.8))"
66,-96.6,47.8,"POLYGON((-96.6 47.8,-96.6 47.9,-96.5 47.9,-96.5 47.8,-96.6 47.8))"
36,-96.5,47.8,"POLYGON((-96.5 47.8,-96.5 47.9,-96.4 47.9,-96.4 47.8,-96.5 47.8))"
19,-96.4,47.8,"POLYGON((-96.4 47.8,-96.4 47.9,-96.3 47.9,-96.3 47.8,-96.4 47.8))"
12,-95.9,47.8,"POLYGON((-95.9 47.8,-95.9 47.9,-95.8 47.9,-95.8 47.8,-95.9 47.8))"
17,-95.8,47.8,"POLYGON((-95.8 47.8,-95.8 47.9,-95.7 47.9,-95.7 47.8,-95.8 47.8))"
61,-95.7,47.8,"POLYGON((-95.7 47.8,-95.7 47.9,-95.6 47.9,-95.6 47.8,-95.7 47.8))"
3,-95.6,47.8,"POLYGON((-95.6 47.8,-95.6 47.9,-95.5 47.9,-95.5 47.8,-95.6 47.8))"
2543,-97.1,47.9,"POLYGON((-97.1 47.9,-97.1 48.0,-97.0 48.0,-97.0 47.9,-97.1 47.9))"
505,-97.0,47.9,"POLYGON((-97.0 47.9,-97.0 48.0,-96.9 48.0,-96.9 47.9,-97.0 47.9))"
38,-96.9,47.9,"POLYGON((-96.9 47.9,-96.9 48.0,-96.8 48.0,-96.8 47.9,-96.9 47.9))"
42,-96.8,47.9,"POLYGON((-96.8 47.9,-96.8 48.0,-96.7 48.0,-96.7 47.9,-96.8 47.9))"
107,-96.7,47.9,"POLYGON((-96.7 47.9,-96.7 48.0,-96.6 48.0,-96.6 47.9,-96.7 47.9))"
37,-96.6,47.9,"POLYGON((-96.6 47.9,-96.6 48.0,-96.5 48.0,-96.5 47.9,-96.6 47.9))"
5,-96.5,47.9,"POLYGON((-96.5 47.9,-96.5 48.0,-96.4 48.0,-96.4 47.9,-96.5 47.9))"
3,-95.8,47.9,"POLYGON((-95.8 47.9,-95.8 48.0,-95.7 48.0,-95.7 47.9,-95.8 47.9))"
5,-95.7,47.9,"POLYGON((-95.7 47.9,-95.7 48.0,-95.6 48.0,-95.6 47.9,-95.7 47.9))"
112,-97.1,48.0,"POLYGON((-97.1 48.0,-97.1 48.1,-97.0 48.1,-97.0 48.0,-97.1 48.0))"
66,-97.0,48.0,"POLYGON((-97.0 48.0,-97.0 48.1,-96.9 48.1,-96.9 48.0,-97.0 48.0))"
79,-96.9,48.0,"POLYGON((-96.9 48.0,-96.9 48.1,-96.8 48.1,-96.8 48.0,-96.9 48.0))"
65,-96.8,48.0,"POLYGON((-96.8 48.0,-96.8 48.1,-96.7 48.1,-96.7 48.0,-96.8 48.0))"
42,-96.7,48.0,"POLYGON((-96.7 48.0,-96.7 48.1,-96.6 48.1,-96.6 48.0,-96.7 48.0))"
36,-96.6,48.0,"POLYGON((-96.6 48.0,-96.6 48.1,-96.5 48.1,-96.5 48.0,-96.6 48.0))"
18,-97.2,48.1,"POLYGON((-97.2 48.1,-97.2 48.2,-97.1 48.2,-97.1 48.1,-97.2 48.1))"
43,-97.1,48.1,"POLYGON((-97.1 48.1,-97.1 48.2,-97.0 48.2,-97.0 48.1,-97.1 48.1))"
31,-97.0,48.1,"POLYGON((-97.0 48.1,-97.0 48.2,-96.9 48.2,-96.9 48.1,-97.0 48.1))"
27,-96.9,48.1,"POLYGON((-96.9 48.1,-96.9 48.2,-96.8 48.2,-96.8 48.1,-96.9 48.1))"
27,-96.8,48.1,"POLYGON((-96.8 48.1,-96.8 48.2,-96.7 48.2,-96.7 48.1,-96.8 48.1))"
28,-96.7,48.1,"POLYGON((-96.7 48.1,-96.7 48.2,-96.6 48.2,-96.6 48.1,-96.7 48.1))"
20,-96.6,48.1,"POLYGON((-96.6 48.1,-96.6 48.2,-96.5 48.2,-96.5 48.1,-96.6 48.1))"
