count,lon,lat,area
13,-94.7,44.4,"POLYGON((-94.7 44.4,-94.7 44.5,-94.6 44.5,-94.6 44.4,-94.7 44.4))"
60,-94.6,44.4,"POLYGON((-94.6 44.4,-94.6 44.5,-94.5 44.5,-94.5 44.4,-94.6 44.4))"
47,-94.5,44.4,"POLYGON((-94.5 44.4,-94.5 44.5,-94.4 44.5,-94.4 44.4,-94.5 44.4))"
45,-94.4,44.4,"POLYGON((-94.4 44.4,-94.4 44.5,-94.3 44.5,-94.3 44.4,-94.4 44.4))"
56,-94.3,44.4,"POLYGON((-94.3 44.4,-94.3 44.5,-94.2 44.5,-94.2 44.4,-94.3 44.4))"
57,-94.2,44.4,"POLYGON((-94.2 44.4,-94.2 44.5,-94.1 44.5,-94.1 44.4,-94.2 44.4))"
57,-94.1,44.4,"POLYGON((-94.1 44.4,-94.1 44.5,-94.0 44.5,-94.0 44.4,-94.1 44.4))"
157,-94.0,44.4,"POLYGON((-94.0 44.4,-94.0 44.5,-93.9 44.5,-93.9 44.4,-94.0 44.4))"
27,-94.7,44.5,"POLYGON((-94.7 44.5,-94.7 44.6,-94.6 44.6,-94.6 44.5,-94.7 44.5))"
569,-94.6,44.5,"POLYGON((-94.6 44.5,-94.6 44.6,-94.5 44.6,-94.5 44.5,-94.6 44.5))"
109,-94.5,44.5,"POLYGON((-94.5 44.5,-94.5 44.6,-94.4 44.6,-94.4 44.5,-94.5 44.5))"
844,-94.4,44.5,"POLYGON((-94.4 44.5,-94.4 44.6,-94.3 44.6,-94.3 44.5,-94.4 44.5))"
1014,-94.3,44.5,"POLYGON((-94.3 44.5,-94.3 44.6,-94.2 44.6,-94.2 44.5,-94.3 44.5))"
168,-94.2,44.5,"POLYGON((-94.2 44.5,-94.2 44.6,-94.1 44.6,-94.1 44.5,-94.2 44.5))"
196,-94.1,44.5,"POLYGON((-94.1 44.5,-94.1 44.6,-94.0 44.6,-94.0 44.5,-94.1 44.5))"
682,-94.0,44.5,"POLYGON((-94.0 44.5,-94.0 44.6,-93.9 44.6,-93.9 44.5,-94.0 44.5))"
1,-93.9,44.5,"POLYGON((-93.9 44.5,-93.9 44.6,-93.8 44.6,-93.8 44.5,-93.9 44.5))"
23,-94.7,44.6,"POLYGON((-94.7 44.6,-94.7 44.7,-94.6 44.7,-94.6 44.6,-94.7 44.6))"
105,-94.6,44.6,"POLYGON((-94.6 44.6,-94.6 44.7,-94.5 44.7,-94.5 44.6,-94.6 44.6))"
32,-94.5,44.6,"POLYGON((-94.5 44.6,-94.5 44.7,-94.4 44.7,-94.4 44.6,-94.5 44.6))"
38,-94.4,44.6,"POLYGON((-94.4 44.6,-94.4 44.7,-94.3 44.7,-94.3 44.6,-94.4 44.6))"
268,-94.3,44.6,"POLYGON((-94.3 44.6,-94.3 44.7,-94.2 44.7,-94.2 44.6,-94.3 44.6))"
173,-94.2,44.6,"POLYGON((-94.2 44.6,-94.2 44.7,-94.1 44.7,-94.1 44.6,-94.2 44.6))"
1339,-94.1,44.6,"POLYGON((-94.1 44.6,-94.1 44.7,-94.0 44.7,-94.0 44.6,-94.1 44.6))"
247,-94.0,44.6,"POLYGON((-94.0 44.6,-94.0 44.7,-93.9 44.7,-93.9 44.6,-94.0 44.6))"
197,-93.9,44.6,"POLYGON((-93.9 44.6,-93.9 44.7,-93.8 44.7,-93.8 44.6,-93.9 44.6))"
125,-93.8,44.6,"POLYGON((-93.8 44.6,-93.8 44.7,-93.7 44.7,-93.7 44.6,-93.8 44.6))"
10,-94.7,44.7,"POLYGON((-94.7 44.7,-94.7 44.8,-94.6 44.8,-94.6 44.7,-94.7 44.7))"
13,-94.6,44.7,"POLYGON((-94.6 44.7,-94.6 44.8,-94.5 44.8,-94.5 44.7,-94.6 44.7))"
1,-94.5,44.7,"POLYGON((-94.5 44.7,-94.5 44.8,-94.4 44.8,-94.4 44.7,-94.5 44.7))"
19,-94.3,44.7,"POLYGON((-94.3 44.7,-94.3 44.8,-94.2 44.8,-94.2 44.7,-94.3 44.7))"
44,-94.2,44.7,"POLYGON((-94.2 44.7,-94.2 44.8,-94.1 44.8,-94.1 44.7,-94.2 44.7))"
38,-94.1,44.7,"POLYGON((-94.1 44.7,-94.1 44.8,-94.0 44.8,-94.0 44.7,-94.1 44.7))"
53,-94.0,44.7,"POLYGON((-94.0 44.7,-94.0 44.8,-93.9 44.8,-93.9 44.7,-94.0 44.7))"
3,-93.9,44.7,"POLYGON((-93.9 44.7,-93.9 44.8,-93.8 44.8,-93.8 44.7,-93.9 44.7))"
