count,lon,lat,area
1254,-90.7,37.6,"POLYGON((-90.7 37.6,-90.7 37.7,-90.6 37.7,-90.6 37.6,-90.7 37.6))"
1346,-90.6,37.6,"POLYGON((-90.6 37.6,-90.6 37.7,-90.5 37.7,-90.5 37.6,-90.6 37.6))"
544,-90.5,37.6,"POLYGON((-90.5 37.6,-90.5 37.7,-90.4 37.7,-90.4 37.6,-90.5 37.6))"
392,-90.4,37.6,"POLYGON((-90.4 37.6,-90.4 37.7,-90.3 37.7,-90.3 37.6,-90.4 37.6))"
361,-90.3,37.6,"POLYGON((-90.3 37.6,-90.3 37.7,-90.2 37.7,-90.2 37.6,-90.3 37.6))"
153,-90.2,37.6,"POLYGON((-90.2 37.6,-90.2 37.7,-90.1 37.7,-90.1 37.6,-90.2 37.6))"
1063,-90.7,37.7,"POLYGON((-90.7 37.7,-90.7 37.8,-90.6 37.8,-90.6 37.7,-90.7 37.7))"
833,-90.6,37.7,"POLYGON((-90.6 37.7,-90.6 37.8,-90.5 37.8,-90.5 37.7,-90.6 37.7))"
6383,-90.5,37.7,"POLYGON((-90.5 37.7,-90.5 37.8,-90.4 37.8,-90.4 37.7,-90.5 37.7))"
1185,-90.4,37.7,"POLYGON((-90.4 37.7,-90.4 37.8,-90.3 37.8,-90.3 37.7,-90.4 37.7))"
118,-90.3,37.7,"POLYGON((-90.3 37.7,-90.3 37.8,-90.2 37.8,-90.2 37.7,-90.3 37.7))"
1503,-90.7,37.8,"POLYGON((-90.7 37.8,-90.7 37.9,-90.6 37.9,-90.6 37.8,-90.7 37.8))"
6888,-90.6,37.8,"POLYGON((-90.6 37.8,-90.6 37.9,-90.5 37.9,-90.5 37.8,-90.6 37.8))"
2916,-90.5,37.8,"POLYGON((-90.5 37.8,-90.5 37.9,-90.4 37.9,-90.4 37.8,-90.5 37.8))"
125,-90.4,37.8,"POLYGON((-90.4 37.8,-90.4 37.9,-90.3 37.9,-90.3 37.8,-90.4 37.8))"
2751,-90.7,37.9,"POLYGON((-90.7 37.9,-90.7 38.0,-90.6 38.0,-90.6 37.9,-90.7 37.9))"
5331,-90.6,37.9,"POLYGON((-90.6 37.9,-90.6 38.0,-90.5 38.0,-90.5 37.9,-90.6 37.9))"
1016,-90.5,37.9,"POLYGON((-90.5 37.9,-90.5 38.0,-90.4 38.0,-90.4 37.9,-90.5 37.9))"
3850,-90.4,37.9,"POLYGON((-90.4 37.9,-90.4 38.0,-90.3 38.0,-90.3 37.9,-90.4 37.9))"
128,-90.7,38.0,"POLYGON((-90.7 38.0,-90.7 38.1,-90.6 38.1,-90.6 38.0,-90.7 38.0))"
1354,-90.6,38.0,"POLYGON((-90.6 38.0,-90.6 38.1,-90.5 38.1,-90.5 38.0,-90.6 38.0))"
534,-90.5,38.0,"POLYGON((-90.5 38.0,-90.5 38.1,-90.4 38.1,-90.4 38.0,-90.5 38.0))"
96,-90.4,38.0,"POLYGON((-90.4 38.0,-90.4 38.1,-90.3 38.1,-90.3 38.0,-90.4 38.0))"
