count,lon,lat,area
97,-90.7,32.5,"POLYGON((-90.7 32.5,-90.7 32.6,-90.6 32.6,-90.6 32.5,-90.7 32.5))"
366,-90.6,32.5,"POLYGON((-90.6 32.5,-90.6 32.6,-90.5 32.6,-90.5 32.5,-90.6 32.5))"
91,-90.5,32.5,"POLYGON((-90.5 32.5,-90.5 32.6,-90.4 32.6,-90.4 32.5,-90.5 32.5))"
11,-90.4,32.5,"POLYGON((-90.4 32.5,-90.4 32.6,-90.3 32.6,-90.3 32.5,-90.4 32.5))"
18,-90.8,32.6,"POLYGON((-90.8 32.6,-90.8 32.7,-90.7 32.7,-90.7 32.6,-90.8 32.6))"
159,-90.7,32.6,"POLYGON((-90.7 32.6,-90.7 32.7,-90.6 32.7,-90.6 32.6,-90.7 32.6))"
438,-90.6,32.6,"POLYGON((-90.6 32.6,-90.6 32.7,-90.5 32.7,-90.5 32.6,-90.6 32.6))"
815,-90.5,32.6,"POLYGON((-90.5 32.6,-90.5 32.7,-90.4 32.7,-90.4 32.6,-90.5 32.6))"
795,-90.4,32.6,"POLYGON((-90.4 32.6,-90.4 32.7,-90.3 32.7,-90.3 32.6,-90.4 32.6))"
328,-90.3,32.6,"POLYGON((-90.3 32.6,-90.3 32.7,-90.2 32.7,-90.2 32.6,-90.3 32.6))"
24,-90.2,32.6,"POLYGON((-90.2 32.6,-90.2 32.7,-90.1 32.7,-90.1 32.6,-90.2 32.6))"
43,-90.8,32.7,"POLYGON((-90.8 32.7,-90.8 32.8,-90.7 32.8,-90.7 32.7,-90.8 32.7))"
160,-90.7,32.7,"POLYGON((-90.7 32.7,-90.7 32.8,-90.6 32.8,-90.6 32.7,-90.7 32.7))"
177,-90.6,32.7,"POLYGON((-90.6 32.7,-90.6 32.8,-90.5 32.8,-90.5 32.7,-90.6 32.7))"
617,-90.5,32.7,"POLYGON((-90.5 32.7,-90.5 32.8,-90.4 32.8,-90.4 32.7,-90.5 32.7))"
890,-90.4,32.7,"POLYGON((-90.4 32.7,-90.4 32.8,-90.3 32.8,-90.3 32.7,-90.4 32.7))"
518,-90.3,32.7,"POLYGON((-90.3 32.7,-90.3 32.8,-90.2 32.8,-90.2 32.7,-90.3 32.7))"
462,-90.2,32.7,"POLYGON((-90.2 32.7,-90.2 32.8,-90.1 32.8,-90.1 32.7,-90.2 32.7))"
185,-90.1,32.7,"POLYGON((-90.1 32.7,-90.1 32.8,-90.0 32.8,-90.0 32.7,-90.1 32.7))"
218,-90.8,32.8,"POLYGON((-90.8 32.8,-90.8 32.9,-90.7 32.9,-90.7 32.8,-90.8 32.8))"
274,-90.7,32.8,"POLYGON((-90.7 32.8,-90.7 32.9,-90.6 32.9,-90.6 32.8,-90.7 32.8))"
159,-90.6,32.8,"POLYGON((-90.6 32.8,-90.6 32.9,-90.5 32.9,-90.5 32.8,-90.6 32.8))"
4842,-90.5,32.8,"POLYGON((-90.5 32.8,-90.5 32.9,-90.4 32.9,-90.4 32.8,-90.5 32.8))"
3039,-90.4,32.8,"POLYGON((-90.4 32.8,-90.4 32.9,-90.3 32.9,-90.3 32.8,-90.4 32.8))"
903,-90.3,32.8,"POLYGON((-90.3 32.8,-90.3 32.9,-90.2 32.9,-90.2 32.8,-90.3 32.8))"
416,-90.2,32.8,"POLYGON((-90.2 32.8,-90.2 32.9,-90.1 32.9,-90.1 32.8,-90.2 32.8))"
515,-90.1,32.8,"POLYGON((-90.1 32.8,-90.1 32.9,-90.0 32.9,-90.0 32.8,-90.1 32.8))"
91,-90.0,32.8,"POLYGON((-90.0 32.8,-90.0 32.9,-89.9 32.9,-89.9 32.8,-90.0 32.8))"
50,-90.7,32.9,"POLYGON((-90.7 32.9,-90.7 33.0,-90.6 33.0,-90.6 32.9,-90.7 32.9))"
82,-90.6,32.9,"POLYGON((-90.6 32.9,-90.6 33.0,-90.5 33.0,-90.5 32.9,-90.6 32.9))"
252,-90.5,32.9,"POLYGON((-90.5 32.9,-90.5 33.0,-90.4 33.0,-90.4 32.9,-90.5 32.9))"
636,-90.4,32.9,"POLYGON((-90.4 32.9,-90.4 33.0,-90.3 33.0,-90.3 32.9,-90.4 32.9))"
359,-90.3,32.9,"POLYGON((-90.3 32.9,-90.3 33.0,-90.2 33.0,-90.2 32.9,-90.3 32.9))"
176,-90.2,32.9,"POLYGON((-90.2 32.9,-90.2 33.0,-90.1 33.0,-90.1 32.9,-90.2 32.9))"
35,-90.1,32.9,"POLYGON((-90.1 32.9,-90.1 33.0,-90.0 33.0,-90.0 32.9,-90.1 32.9))"
6,-90.5,33.0,"POLYGON((-90.5 33.0,-90.5 33.1,-90.4 33.1,-90.4 33.0,-90.5 33.0))"
28,-90.4,33.0,"POLYGON((-90.4 33.0,-90.4 33.1,-90.3 33.1,-90.3 33.0,-90.4 33.0))"
