count,lon,lat,area
2,-109.8,46.6,"POLYGON((-109.8 46.6,-109.8 46.7,-109.7 46.7,-109.7 46.6,-109.8 46.6))"
6,-109.7,46.6,"POLYGON((-109.7 46.6,-109.7 46.7,-109.6 46.7,-109.6 46.6,-109.7 46.6))"
8,-109.6,46.6,"POLYGON((-109.6 46.6,-109.6 46.7,-109.5 46.7,-109.5 46.6,-109.6 46.6))"
7,-109.5,46.6,"POLYGON((-109.5 46.6,-109.5 46.7,-109.4 46.7,-109.4 46.6,-109.5 46.6))"
1,-109.4,46.6,"POLYGON((-109.4 46.6,-109.4 46.7,-109.3 46.7,-109.3 46.6,-109.4 46.6))"
126,-109.8,46.7,"POLYGON((-109.8 46.7,-109.8 46.8,-109.7 46.8,-109.7 46.7,-109.8 46.7))"
90,-109.7,46.7,"POLYGON((-109.7 46.7,-109.7 46.8,-109.6 46.8,-109.6 46.7,-109.7 46.7))"
89,-109.6,46.7,"POLYGON((-109.6 46.7,-109.6 46.8,-109.5 46.8,-109.5 46.7,-109.6 46.7))"
64,-109.5,46.7,"POLYGON((-109.5 46.7,-109.5 46.8,-109.4 46.8,-109.4 46.7,-109.5 46.7))"
21,-109.4,46.7,"POLYGON((-109.4 46.7,-109.4 46.8,-109.3 46.8,-109.3 46.7,-109.4 46.7))"
25,-109.3,46.7,"POLYGON((-109.3 46.7,-109.3 46.8,-109.2 46.8,-109.2 46.7,-109.3 46.7))"
33,-109.2,46.7,"POLYGON((-109.2 46.7,-109.2 46.8,-109.1 46.8,-109.1 46.7,-109.2 46.7))"
31,-109.1,46.7,"POLYGON((-109.1 46.7,-109.1 46.8,-109.0 46.8,-109.0 46.7,-109.1 46.7))"
51,-109.0,46.7,"POLYGON((-109.0 46.7,-109.0 46.8,-108.9 46.8,-108.9 46.7,-109.0 46.7))"
36,-108.9,46.7,"POLYGON((-108.9 46.7,-108.9 46.8,-108.8 46.8,-108.8 46.7,-108.9 46.7))"
40,-108.8,46.7,"POLYGON((-108.8 46.7,-108.8 46.8,-108.7 46.8,-108.7 46.7,-108.8 46.7))"
18,-108.7,46.7,"POLYGON((-108.7 46.7,-108.7 46.8,-108.6 46.8,-108.6 46.7,-108.7 46.7))"
62,-109.9,46.8,"POLYGON((-109.9 46.8,-109.9 46.9,-109.8 46.9,-109.8 46.8,-109.9 46.8))"
154,-109.8,46.8,"POLYGON((-109.8 46.8,-109.8 46.9,-109.7 46.9,-109.7 46.8,-109.8 46.8))"
115,-109.7,46.8,"POLYGON((-109.7 46.8,-109.7 46.9,-109.6 46.9,-109.6 46.8,-109.7 46.8))"
92,-109.6,46.8,"POLYGON((-109.6 46.8,-109.6 46.9,-109.5 46.9,-109.5 46.8,-109.6 46.8))"
81,-109.5,46.8,"POLYGON((-109.5 46.8,-109.5 46.9,-109.4 46.9,-109.4 46.8,-109.5 46.8))"
56,-109.4,46.8,"POLYGON((-109.4 46.8,-109.4 46.9,-109.3 46.9,-109.3 46.8,-109.4 46.8))"
122,-109.3,46.8,"POLYGON((-109.3 46.8,-109.3 46.9,-109.2 46.9,-109.2 46.8,-109.3 46.8))"
106,-109.2,46.8,"POLYGON((-109.2 46.8,-109.2 46.9,-109.1 46.9,-109.1 46.8,-109.2 46.8))"
200,-109.1,46.8,"POLYGON((-109.1 46.8,-109.1 46.9,-109.0 46.9,-109.0 46.8,-109.1 46.8))"
51,-109.0,46.8,"POLYGON((-109.0 46.8,-109.0 46.9,-108.9 46.9,-108.9 46.8,-109.0 46.8))"
76,-108.9,46.8,"POLYGON((-108.9 46.8,-108.9 46.9,-108.8 46.9,-108.8 46.8,-108.9 46.8))"
80,-108.8,46.8,"POLYGON((-108.8 46.8,-108.8 46.9,-108.7 46.9,-108.7 46.8,-108.8 46.8))"
71,-108.7,46.8,"POLYGON((-108.7 46.8,-108.7 46.9,-108.6 46.9,-108.6 46.8,-108.7 46.8))"
91,-109.8,46.9,"POLYGON((-109.8 46.9,-109.8 47.0,-109.7 47.0,-109.7 46.9,-109.8 46.9))"
361,-109.7,46.9,"POLYGON((-109.7 46.9,-109.7 47.0,-109.6 47.0,-109.6 46.9,-109.7 46.9))"
188,-109.6,46.9,"POLYGON((-109.6 46.9,-109.6 47.0,-109.5 47.0,-109.5 46.9,-109.6 46.9))"
198,-109.5,46.9,"POLYGON((-109.5 46.9,-109.5 47.0,-109.4 47.0,-109.4 46.9,-109.5 46.9))"
166,-109.4,46.9,"POLYGON((-109.4 46.9,-109.4 47.0,-109.3 47.0,-109.3 46.9,-109.4 46.9))"
182,-109.3,46.9,"POLYGON((-109.3 46.9,-109.3 47.0,-109.2 47.0,-109.2 46.9,-109.3 46.9))"
114,-109.2,46.9,"POLYGON((-109.2 46.9,-109.2 47.0,-109.1 47.0,-109.1 46.9,-109.2 46.9))"
