count,lon,lat,area
25,-109.6,46.0,"POLYGON((-109.6 46.0,-109.6 46.1,-109.5 46.1,-109.5 46.0,-109.6 46.0))"
21,-109.5,46.0,"POLYGON((-109.5 46.0,-109.5 46.1,-109.4 46.1,-109.4 46.0,-109.5 46.0))"
21,-109.7,46.1,"POLYGON((-109.7 46.1,-109.7 46.2,-109.6 46.2,-109.6 46.1,-109.7 46.1))"
39,-109.6,46.1,"POLYGON((-109.6 46.1,-109.6 46.2,-109.5 46.2,-109.5 46.1,-109.6 46.1))"
44,-109.5,46.1,"POLYGON((-109.5 46.1,-109.5 46.2,-109.4 46.2,-109.4 46.1,-109.5 46.1))"
38,-109.4,46.1,"POLYGON((-109.4 46.1,-109.4 46.2,-109.3 46.2,-109.3 46.1,-109.4 46.1))"
48,-109.3,46.1,"POLYGON((-109.3 46.1,-109.3 46.2,-109.2 46.2,-109.2 46.1,-109.3 46.1))"
37,-109.2,46.1,"POLYGON((-109.2 46.1,-109.2 46.2,-109.1 46.2,-109.1 46.1,-109.2 46.1))"
36,-109.1,46.1,"POLYGON((-109.1 46.1,-109.1 46.2,-109.0 46.2,-109.0 46.1,-109.1 46.1))"
42,-109.0,46.1,"POLYGON((-109.0 46.1,-109.0 46.2,-108.9 46.2,-108.9 46.1,-109.0 46.1))"
53,-108.9,46.1,"POLYGON((-108.9 46.1,-108.9 46.2,-108.8 46.2,-108.8 46.1,-108.9 46.1))"
6,-108.8,46.1,"POLYGON((-108.8 46.1,-108.8 46.2,-108.7 46.2,-108.7 46.1,-108.8 46.1))"
5,-109.7,46.2,"POLYGON((-109.7 46.2,-109.7 46.3,-109.6 46.3,-109.6 46.2,-109.7 46.2))"
9,-109.6,46.2,"POLYGON((-109.6 46.2,-109.6 46.3,-109.5 46.3,-109.5 46.2,-109.6 46.2))"
11,-109.5,46.2,"POLYGON((-109.5 46.2,-109.5 46.3,-109.4 46.3,-109.4 46.2,-109.5 46.2))"
51,-109.4,46.2,"POLYGON((-109.4 46.2,-109.4 46.3,-109.3 46.3,-109.3 46.2,-109.4 46.2))"
269,-109.3,46.2,"POLYGON((-109.3 46.2,-109.3 46.3,-109.2 46.3,-109.2 46.2,-109.3 46.2))"
51,-109.2,46.2,"POLYGON((-109.2 46.2,-109.2 46.3,-109.1 46.3,-109.1 46.2,-109.2 46.2))"
89,-109.1,46.2,"POLYGON((-109.1 46.2,-109.1 46.3,-109.0 46.3,-109.0 46.2,-109.1 46.2))"
284,-109.0,46.2,"POLYGON((-109.0 46.2,-109.0 46.3,-108.9 46.3,-108.9 46.2,-109.0 46.2))"
101,-108.9,46.2,"POLYGON((-108.9 46.2,-108.9 46.3,-108.8 46.3,-108.8 46.2,-108.9 46.2))"
7,-108.8,46.2,"POLYGON((-108.8 46.2,-108.8 46.3,-108.7 46.3,-108.7 46.2,-108.8 46.2))"
6,-109.5,46.3,"POLYGON((-109.5 46.3,-109.5 46.4,-109.4 46.4,-109.4 46.3,-109.5 46.3))"
122,-109.4,46.3,"POLYGON((-109.4 46.3,-109.4 46.4,-109.3 46.4,-109.3 46.3,-109.4 46.3))"
125,-109.3,46.3,"POLYGON((-109.3 46.3,-109.3 46.4,-109.2 46.4,-109.2 46.3,-109.3 46.3))"
64,-109.2,46.3,"POLYGON((-109.2 46.3,-109.2 46.4,-109.1 46.4,-109.1 46.3,-109.2 46.3))"
56,-109.1,46.3,"POLYGON((-109.1 46.3,-109.1 46.4,-109.0 46.4,-109.0 46.3,-109.1 46.3))"
54,-109.0,46.3,"POLYGON((-109.0 46.3,-109.0 46.4,-108.9 46.4,-108.9 46.3,-109.0 46.3))"
52,-108.9,46.3,"POLYGON((-108.9 46.3,-108.9 46.4,-108.8 46.4,-108.8 46.3,-108.9 46.3))"
9,-109.5,46.4,"POLYGON((-109.5 46.4,-109.5 46.5,-109.4 46.5,-109.4 46.4,-109.5 46.4))"
73,-109.4,46.4,"POLYGON((-109.4 46.4,-109.4 46.5,-109.3 46.5,-109.3 46.4,-109.4 46.4))"
43,-109.3,46.4,"POLYGON((-109.3 46.4,-109.3 46.5,-109.2 46.5,-109.2 46.4,-109.3 46.4))"
42,-109.2,46.4,"POLYGON((-109.2 46.4,-109.2 46.5,-109.1 46.5,-109.1 46.4,-109.2 46.4))"
40,-109.1,46.4,"POLYGON((-109.1 46.4,-109.1 46.5,-109.0 46.5,-109.0 46.4,-109.1 46.4))"
40,-109.0,46.4,"POLYGON((-109.0 46.4,-109.0 46.5,-108.9 46.5,-108.9 46.4,-109.0 46.4))"
12,-108.9,46.4,"POLYGON((-108.9 46.4,-108.9 46.5,-108.8 46.5,-108.8 46.4,-108.9 46.4))"
43,-109.4,46.5,"POLYGON((-109.4 46.5,-109.4 46.6,-109.3 46.6,-109.3 46.5,-109.4 46.5))"
55,-109.3,46.5,"POLYGON((-109.3 46.5,-109.3 46.6,-109.2 46.6,-109.2 46.5,-109.3 46.5))"
51,-109.2,46.5,"POLYGON((-109.2 46.5,-109.2 46.6,-109.1 46.6,-109.1 46.5,-109.2 46.5))"
