count,lon,lat,area
4,-110.5,46.6,"POLYGON((-110.5 46.6,-110.5 46.7,-110.4 46.7,-110.4 46.6,-110.5 46.6))"
7,-110.4,46.6,"POLYGON((-110.4 46.6,-110.4 46.7,-110.3 46.7,-110.3 46.6,-110.4 46.6))"
3,-109.9,46.6,"POLYGON((-109.9 46.6,-109.9 46.7,-109.8 46.7,-109.8 46.6,-109.9 46.6))"
5,-109.8,46.6,"POLYGON((-109.8 46.6,-109.8 46.7,-109.7 46.7,-109.7 46.6,-109.8 46.6))"
8,-110.7,46.7,"POLYGON((-110.7 46.7,-110.7 46.8,-110.6 46.8,-110.6 46.7,-110.7 46.7))"
23,-110.6,46.7,"POLYGON((-110.6 46.7,-110.6 46.8,-110.5 46.8,-110.5 46.7,-110.6 46.7))"
41,-110.5,46.7,"POLYGON((-110.5 46.7,-110.5 46.8,-110.4 46.8,-110.4 46.7,-110.5 46.7))"
230,-110.4,46.7,"POLYGON((-110.4 46.7,-110.4 46.8,-110.3 46.8,-110.3 46.7,-110.4 46.7))"
33,-110.3,46.7,"POLYGON((-110.3 46.7,-110.3 46.8,-110.2 46.8,-110.2 46.7,-110.3 46.7))"
41,-110.2,46.7,"POLYGON((-110.2 46.7,-110.2 46.8,-110.1 46.8,-110.1 46.7,-110.2 46.7))"
57,-110.1,46.7,"POLYGON((-110.1 46.7,-110.1 46.8,-110.0 46.8,-110.0 46.7,-110.1 46.7))"
50,-110.0,46.7,"POLYGON((-110.0 46.7,-110.0 46.8,-109.9 46.8,-109.9 46.7,-110.0 46.7))"
73,-109.9,46.7,"POLYGON((-109.9 46.7,-109.9 46.8,-109.8 46.8,-109.8 46.7,-109.9 46.7))"
47,-109.8,46.7,"POLYGON((-109.8 46.7,-109.8 46.8,-109.7 46.8,-109.7 46.7,-109.8 46.7))"
17,-110.7,46.8,"POLYGON((-110.7 46.8,-110.7 46.9,-110.6 46.9,-110.6 46.8,-110.7 46.8))"
43,-110.6,46.8,"POLYGON((-110.6 46.8,-110.6 46.9,-110.5 46.9,-110.5 46.8,-110.6 46.8))"
38,-110.5,46.8,"POLYGON((-110.5 46.8,-110.5 46.9,-110.4 46.9,-110.4 46.8,-110.5 46.8))"
70,-110.4,46.8,"POLYGON((-110.4 46.8,-110.4 46.9,-110.3 46.9,-110.3 46.8,-110.4 46.8))"
576,-110.3,46.8,"POLYGON((-110.3 46.8,-110.3 46.9,-110.2 46.9,-110.2 46.8,-110.3 46.8))"
74,-110.2,46.8,"POLYGON((-110.2 46.8,-110.2 46.9,-110.1 46.9,-110.1 46.8,-110.2 46.8))"
73,-110.1,46.8,"POLYGON((-110.1 46.8,-110.1 46.9,-110.0 46.9,-110.0 46.8,-110.1 46.8))"
83,-110.0,46.8,"POLYGON((-110.0 46.8,-110.0 46.9,-109.9 46.9,-109.9 46.8,-110.0 46.8))"
75,-109.9,46.8,"POLYGON((-109.9 46.8,-109.9 46.9,-109.8 46.9,-109.8 46.8,-109.9 46.8))"
5,-109.8,46.8,"POLYGON((-109.8 46.8,-109.8 46.9,-109.7 46.9,-109.7 46.8,-109.8 46.8))"
14,-110.7,46.9,"POLYGON((-110.7 46.9,-110.7 47.0,-110.6 47.0,-110.6 46.9,-110.7 46.9))"
54,-110.6,46.9,"POLYGON((-110.6 46.9,-110.6 47.0,-110.5 47.0,-110.5 46.9,-110.6 46.9))"
