count,lon,lat,area
87,0.0,0.0,"POLYGON((0.0 0.0,0.0 0.1,0.1 0.1,0.1 0.0,0.0 0.0))"
8,-113.0,44.4,"POLYGON((-113.0 44.4,-113.0 44.5,-112.9 44.5,-112.9 44.4,-113.0 44.4))"
5,-112.9,44.4,"POLYGON((-112.9 44.4,-112.9 44.5,-112.8 44.5,-112.8 44.4,-112.9 44.4))"
5,-113.0,44.5,"POLYGON((-113.0 44.5,-113.0 44.6,-112.9 44.6,-112.9 44.5,-113.0 44.5))"
14,-112.9,44.5,"POLYGON((-112.9 44.5,-112.9 44.6,-112.8 44.6,-112.8 44.5,-112.9 44.5))"
10,-112.8,44.5,"POLYGON((-112.8 44.5,-112.8 44.6,-112.7 44.6,-112.7 44.5,-112.8 44.5))"
7,-112.7,44.5,"POLYGON((-112.7 44.5,-112.7 44.6,-112.6 44.6,-112.6 44.5,-112.7 44.5))"
1,-112.6,44.5,"POLYGON((-112.6 44.5,-112.6 44.6,-112.5 44.6,-112.5 44.5,-112.6 44.5))"
4,-112.5,44.5,"POLYGON((-112.5 44.5,-112.5 44.6,-112.4 44.6,-112.4 44.5,-112.5 44.5))"
32,-112.4,44.5,"POLYGON((-112.4 44.5,-112.4 44.6,-112.3 44.6,-112.3 44.5,-112.4 44.5))"
2,-112.3,44.5,"POLYGON((-112.3 44.5,-112.3 44.6,-112.2 44.6,-112.2 44.5,-112.3 44.5))"
2,-112.2,44.5,"POLYGON((-112.2 44.5,-112.2 44.6,-112.1 44.6,-112.1 44.5,-112.2 44.5))"
11,-112.1,44.5,"POLYGON((-112.1 44.5,-112.1 44.6,-112.0 44.6,-112.0 44.5,-112.1 44.5))"
15,-112.0,44.5,"POLYGON((-112.0 44.5,-112.0 44.6,-111.9 44.6,-111.9 44.5,-112.0 44.5))"
31,-111.9,44.5,"POLYGON((-111.9 44.5,-111.9 44.6,-111.8 44.6,-111.8 44.5,-111.9 44.5))"
5,-111.8,44.5,"POLYGON((-111.8 44.5,-111.8 44.6,-111.7 44.6,-111.7 44.5,-111.8 44.5))"
2,-111.7,44.5,"POLYGON((-111.7 44.5,-111.7 44.6,-111.6 44.6,-111.6 44.5,-111.7 44.5))"
6,-111.6,44.5,"POLYGON((-111.6 44.5,-111.6 44.6,-111.5 44.6,-111.5 44.5,-111.6 44.5))"
3,-113.1,44.6,"POLYGON((-113.1 44.6,-113.1 44.7,-113.0 44.7,-113.0 44.6,-113.1 44.6))"
4,-113.0,44.6,"POLYGON((-113.0 44.6,-113.0 44.7,-112.9 44.7,-112.9 44.6,-113.0 44.6))"
6,-112.9,44.6,"POLYGON((-112.9 44.6,-112.9 44.7,-112.8 44.7,-112.8 44.6,-112.9 44.6))"
13,-112.8,44.6,"POLYGON((-112.8 44.6,-112.8 44.7,-112.7 44.7,-112.7 44.6,-112.8 44.6))"
84,-112.7,44.6,"POLYGON((-112.7 44.6,-112.7 44.7,-112.6 44.7,-112.6 44.6,-112.7 44.6))"
230,-112.6,44.6,"POLYGON((-112.6 44.6,-112.6 44.7,-112.5 44.7,-112.5 44.6,-112.6 44.6))"
6,-112.5,44.6,"POLYGON((-112.5 44.6,-112.5 44.7,-112.4 44.7,-112.4 44.6,-112.5 44.6))"
6,-112.4,44.6,"POLYGON((-112.4 44.6,-112.4 44.7,-112.3 44.7,-112.3 44.6,-112.4 44.6))"
5,-112.3,44.6,"POLYGON((-112.3 44.6,-112.3 44.7,-112.2 44.7,-112.2 44.6,-112.3 44.6))"
8,-112.2,44.6,"POLYGON((-112.2 44.6,-112.2 44.7,-112.1 44.7,-112.1 44.6,-112.2 44.6))"
16,-112.1,44.6,"POLYGON((-112.1 44.6,-112.1 44.7,-112.0 44.7,-112.0 44.6,-112.1 44.6))"
10,-112.0,44.6,"POLYGON((-112.0 44.6,-112.0 44.7,-111.9 44.7,-111.9 44.6,-112.0 44.6))"
42,-111.9,44.6,"POLYGON((-111.9 44.6,-111.9 44.7,-111.8 44.7,-111.8 44.6,-111.9 44.6))"
13,-111.7,44.6,"POLYGON((-111.7 44.6,-111.7 44.7,-111.6 44.7,-111.6 44.6,-111.7 44.6))"
8,-111.6,44.6,"POLYGON((-111.6 44.6,-111.6 44.7,-111.5 44.7,-111.5 44.6,-111.6 44.6))"
170,-111.3,44.6,"POLYGON((-111.3 44.6,-111.3 44.7,-111.2 44.7,-111.2 44.6,-111.3 44.6))"
1069,-111.2,44.6,"POLYGON((-111.2 44.6,-111.2 44.7,-111.1 44.7,-111.1 44.6,-111.2 44.6))"
173,-111.1,44.6,"POLYGON((-111.1 44.6,-111.1 44.7,-111.0 44.7,-111.0 44.6,-111.1 44.6))"
13,-113.1,44.7,"POLYGON((-113.1 44.7,-113.1 44.8,-113.0 44.8,-113.0 44.7,-113.1 44.7))"
4,-112.9,44.7,"POLYGON((-112.9 44.7,-112.9 44.8,-112.8 44.8,-112.8 44.7,-112.9 44.7))"
51,-112.8,44.7,"POLYGON((-112.8 44.7,-112.8 44.8,-112.7 44.8,-112.7 44.7,-112.8 44.7))"
71,-112.7,44.7,"POLYGON((-112.7 44.7,-112.7 44.8,-112.6 44.8,-112.6 44.7,-112.7 44.7))"
3,-112.6,44.7,"POLYGON((-112.6 44.7,-112.6 44.8,-112.5 44.8,-112.5 44.7,-112.6 44.7))"
4,-112.3,44.7,"POLYGON((-112.3 44.7,-112.3 44.8,-112.2 44.8,-112.2 44.7,-112.3 44.7))"
1,-112.2,44.7,"POLYGON((-112.2 44.7,-112.2 44.8,-112.1 44.8,-112.1 44.7,-112.2 44.7))"
1,-112.1,44.7,"POLYGON((-112.1 44.7,-112.1 44.8,-112.0 44.8,-112.0 44.7,-112.1 44.7))"
5,-111.9,44.7,"POLYGON((-111.9 44.7,-111.9 44.8,-111.8 44.8,-111.8 44.7,-111.9 44.7))"
2,-111.8,44.7,"POLYGON((-111.8 44.7,-111.8 44.8,-111.7 44.8,-111.7 44.7,-111.8 44.7))"
8,-111.6,44.7,"POLYGON((-111.6 44.7,-111.6 44.8,-111.5 44.8,-111.5 44.7,-111.6 44.7))"
70,-111.5,44.7,"POLYGON((-111.5 44.7,-111.5 44.8,-111.4 44.8,-111.4 44.7,-111.5 44.7))"
104,-111.3,44.7,"POLYGON((-111.3 44.7,-111.3 44.8,-111.2 44.8,-111.2 44.7,-111.3 44.7))"
342,-111.2,44.7,"POLYGON((-111.2 44.7,-111.2 44.8,-111.1 44.8,-111.1 44.7,-111.2 44.7))"
7,-111.1,44.7,"POLYGON((-111.1 44.7,-111.1 44.8,-111.0 44.8,-111.0 44.7,-111.1 44.7))"
