count,lon,lat,area
676,-81.6,35.7,"POLYGON((-81.6 35.7,-81.6 35.8,-81.5 35.8,-81.5 35.7,-81.6 35.7))"
2118,-81.5,35.7,"POLYGON((-81.5 35.7,-81.5 35.8,-81.4 35.8,-81.4 35.7,-81.5 35.7))"
2096,-81.4,35.7,"POLYGON((-81.4 35.7,-81.4 35.8,-81.3 35.8,-81.3 35.7,-81.4 35.7))"
14,-81.8,35.8,"POLYGON((-81.8 35.8,-81.8 35.9,-81.7 35.9,-81.7 35.8,-81.8 35.8))"
2277,-81.7,35.8,"POLYGON((-81.7 35.8,-81.7 35.9,-81.6 35.9,-81.6 35.8,-81.7 35.8))"
10302,-81.6,35.8,"POLYGON((-81.6 35.8,-81.6 35.9,-81.5 35.9,-81.5 35.8,-81.6 35.8))"
8634,-81.5,35.8,"POLYGON((-81.5 35.8,-81.5 35.9,-81.4 35.9,-81.4 35.8,-81.5 35.8))"
2478,-81.4,35.8,"POLYGON((-81.4 35.8,-81.4 35.9,-81.3 35.9,-81.3 35.8,-81.4 35.8))"
187,-81.8,35.9,"POLYGON((-81.8 35.9,-81.8 36.0,-81.7 36.0,-81.7 35.9,-81.8 35.9))"
1378,-81.7,35.9,"POLYGON((-81.7 35.9,-81.7 36.0,-81.6 36.0,-81.6 35.9,-81.7 35.9))"
8925,-81.6,35.9,"POLYGON((-81.6 35.9,-81.6 36.0,-81.5 36.0,-81.5 35.9,-81.6 35.9))"
1942,-81.5,35.9,"POLYGON((-81.5 35.9,-81.5 36.0,-81.4 36.0,-81.4 35.9,-81.5 35.9))"
708,-81.4,35.9,"POLYGON((-81.4 35.9,-81.4 36.0,-81.3 36.0,-81.3 35.9,-81.4 35.9))"
202,-81.8,36.0,"POLYGON((-81.8 36.0,-81.8 36.1,-81.7 36.1,-81.7 36.0,-81.8 36.0))"
293,-81.7,36.0,"POLYGON((-81.7 36.0,-81.7 36.1,-81.6 36.1,-81.6 36.0,-81.7 36.0))"
608,-81.6,36.0,"POLYGON((-81.6 36.0,-81.6 36.1,-81.5 36.1,-81.5 36.0,-81.6 36.0))"
663,-81.5,36.0,"POLYGON((-81.5 36.0,-81.5 36.1,-81.4 36.1,-81.4 36.0,-81.5 36.0))"
239,-81.4,36.0,"POLYGON((-81.4 36.0,-81.4 36.1,-81.3 36.1,-81.3 36.0,-81.4 36.0))"
170,-81.8,36.1,"POLYGON((-81.8 36.1,-81.8 36.2,-81.7 36.2,-81.7 36.1,-81.8 36.1))"
389,-81.7,36.1,"POLYGON((-81.7 36.1,-81.7 36.2,-81.6 36.2,-81.6 36.1,-81.7 36.1))"
62,-81.6,36.1,"POLYGON((-81.6 36.1,-81.6 36.2,-81.5 36.2,-81.5 36.1,-81.6 36.1))"
