count,lon,lat,area
103,-77.7,35.6,"POLYGON((-77.7 35.6,-77.7 35.7,-77.6 35.7,-77.6 35.6,-77.7 35.6))"
352,-77.8,35.7,"POLYGON((-77.8 35.7,-77.8 35.8,-77.7 35.8,-77.7 35.7,-77.8 35.7))"
3028,-77.7,35.7,"POLYGON((-77.7 35.7,-77.7 35.8,-77.6 35.8,-77.6 35.7,-77.7 35.7))"
645,-77.6,35.7,"POLYGON((-77.6 35.7,-77.6 35.8,-77.5 35.8,-77.5 35.7,-77.6 35.7))"
12,-77.5,35.7,"POLYGON((-77.5 35.7,-77.5 35.8,-77.4 35.8,-77.4 35.7,-77.5 35.7))"
299,-77.9,35.8,"POLYGON((-77.9 35.8,-77.9 35.9,-77.8 35.9,-77.8 35.8,-77.9 35.8))"
1484,-77.8,35.8,"POLYGON((-77.8 35.8,-77.8 35.9,-77.7 35.9,-77.7 35.8,-77.8 35.8))"
1563,-77.7,35.8,"POLYGON((-77.7 35.8,-77.7 35.9,-77.6 35.9,-77.6 35.8,-77.7 35.8))"
4004,-77.6,35.8,"POLYGON((-77.6 35.8,-77.6 35.9,-77.5 35.9,-77.5 35.8,-77.6 35.8))"
1121,-77.5,35.8,"POLYGON((-77.5 35.8,-77.5 35.9,-77.4 35.9,-77.4 35.8,-77.5 35.8))"
155,-77.4,35.8,"POLYGON((-77.4 35.8,-77.4 35.9,-77.3 35.9,-77.3 35.8,-77.4 35.8))"
312,-77.9,35.9,"POLYGON((-77.9 35.9,-77.9 36.0,-77.8 36.0,-77.8 35.9,-77.9 35.9))"
9097,-77.8,35.9,"POLYGON((-77.8 35.9,-77.8 36.0,-77.7 36.0,-77.7 35.9,-77.8 35.9))"
1021,-77.7,35.9,"POLYGON((-77.7 35.9,-77.7 36.0,-77.6 36.0,-77.6 35.9,-77.7 35.9))"
4410,-77.6,35.9,"POLYGON((-77.6 35.9,-77.6 36.0,-77.5 36.0,-77.5 35.9,-77.6 35.9))"
795,-77.5,35.9,"POLYGON((-77.5 35.9,-77.5 36.0,-77.4 36.0,-77.4 35.9,-77.5 35.9))"
122,-77.4,35.9,"POLYGON((-77.4 35.9,-77.4 36.0,-77.3 36.0,-77.3 35.9,-77.4 35.9))"
544,-77.8,36.0,"POLYGON((-77.8 36.0,-77.8 36.1,-77.7 36.1,-77.7 36.0,-77.8 36.0))"
752,-77.7,36.0,"POLYGON((-77.7 36.0,-77.7 36.1,-77.6 36.1,-77.6 36.0,-77.7 36.0))"
480,-77.6,36.0,"POLYGON((-77.6 36.0,-77.6 36.1,-77.5 36.1,-77.5 36.0,-77.6 36.0))"
157,-77.5,36.0,"POLYGON((-77.5 36.0,-77.5 36.1,-77.4 36.1,-77.4 36.0,-77.5 36.0))"
439,-77.8,36.1,"POLYGON((-77.8 36.1,-77.8 36.2,-77.7 36.2,-77.7 36.1,-77.8 36.1))"
225,-77.7,36.1,"POLYGON((-77.7 36.1,-77.7 36.2,-77.6 36.2,-77.6 36.1,-77.7 36.1))"
