count,lon,lat,area
41,-80.5,35.9,"POLYGON((-80.5 35.9,-80.5 36.0,-80.4 36.0,-80.4 35.9,-80.5 35.9))"
1249,-80.4,35.9,"POLYGON((-80.4 35.9,-80.4 36.0,-80.3 36.0,-80.3 35.9,-80.4 35.9))"
439,-80.3,35.9,"POLYGON((-80.3 35.9,-80.3 36.0,-80.2 36.0,-80.2 35.9,-80.3 35.9))"
57,-80.6,36.0,"POLYGON((-80.6 36.0,-80.6 36.1,-80.5 36.1,-80.5 36.0,-80.6 36.0))"
5740,-80.5,36.0,"POLYGON((-80.5 36.0,-80.5 36.1,-80.4 36.1,-80.4 36.0,-80.5 36.0))"
31563,-80.4,36.0,"POLYGON((-80.4 36.0,-80.4 36.1,-80.3 36.1,-80.3 36.0,-80.4 36.0))"
40051,-80.3,36.0,"POLYGON((-80.3 36.0,-80.3 36.1,-80.2 36.1,-80.2 36.0,-80.3 36.0))"
13223,-80.2,36.0,"POLYGON((-80.2 36.0,-80.2 36.1,-80.1 36.1,-80.1 36.0,-80.2 36.0))"
5381,-80.1,36.0,"POLYGON((-80.1 36.0,-80.1 36.1,-80.0 36.1,-80.0 36.0,-80.1 36.0))"
4,-80.6,36.1,"POLYGON((-80.6 36.1,-80.6 36.2,-80.5 36.2,-80.5 36.1,-80.6 36.1))"
3335,-80.5,36.1,"POLYGON((-80.5 36.1,-80.5 36.2,-80.4 36.2,-80.4 36.1,-80.5 36.1))"
20254,-80.4,36.1,"POLYGON((-80.4 36.1,-80.4 36.2,-80.3 36.2,-80.3 36.1,-80.4 36.1))"
35462,-80.3,36.1,"POLYGON((-80.3 36.1,-80.3 36.2,-80.2 36.2,-80.2 36.1,-80.3 36.1))"
12763,-80.2,36.1,"POLYGON((-80.2 36.1,-80.2 36.2,-80.1 36.2,-80.1 36.1,-80.2 36.1))"
12655,-80.1,36.1,"POLYGON((-80.1 36.1,-80.1 36.2,-80.0 36.2,-80.0 36.1,-80.1 36.1))"
609,-80.5,36.2,"POLYGON((-80.5 36.2,-80.5 36.3,-80.4 36.3,-80.4 36.2,-80.5 36.2))"
3906,-80.4,36.2,"POLYGON((-80.4 36.2,-80.4 36.3,-80.3 36.3,-80.3 36.2,-80.4 36.2))"
3852,-80.3,36.2,"POLYGON((-80.3 36.2,-80.3 36.3,-80.2 36.3,-80.2 36.2,-80.3 36.2))"
1638,-80.2,36.2,"POLYGON((-80.2 36.2,-80.2 36.3,-80.1 36.3,-80.1 36.2,-80.2 36.2))"
1075,-80.1,36.2,"POLYGON((-80.1 36.2,-80.1 36.3,-80.0 36.3,-80.0 36.2,-80.1 36.2))"
