count,lon,lat,area
3,-77.9,35.3,"POLYGON((-77.9 35.3,-77.9 35.4,-77.8 35.4,-77.8 35.3,-77.9 35.3))"
465,-77.8,35.3,"POLYGON((-77.8 35.3,-77.8 35.4,-77.7 35.4,-77.7 35.3,-77.8 35.3))"
1144,-77.7,35.3,"POLYGON((-77.7 35.3,-77.7 35.4,-77.6 35.4,-77.6 35.3,-77.7 35.3))"
161,-77.6,35.3,"POLYGON((-77.6 35.3,-77.6 35.4,-77.5 35.4,-77.5 35.3,-77.6 35.3))"
442,-77.9,35.4,"POLYGON((-77.9 35.4,-77.9 35.5,-77.8 35.5,-77.8 35.4,-77.9 35.4))"
1880,-77.8,35.4,"POLYGON((-77.8 35.4,-77.8 35.5,-77.7 35.5,-77.7 35.4,-77.8 35.4))"
2901,-77.7,35.4,"POLYGON((-77.7 35.4,-77.7 35.5,-77.6 35.5,-77.6 35.4,-77.7 35.4))"
1731,-77.6,35.4,"POLYGON((-77.6 35.4,-77.6 35.5,-77.5 35.5,-77.5 35.4,-77.6 35.4))"
190,-77.5,35.4,"POLYGON((-77.5 35.4,-77.5 35.5,-77.4 35.5,-77.4 35.4,-77.5 35.4))"
244,-77.9,35.5,"POLYGON((-77.9 35.5,-77.9 35.6,-77.8 35.6,-77.8 35.5,-77.9 35.5))"
744,-77.8,35.5,"POLYGON((-77.8 35.5,-77.8 35.6,-77.7 35.6,-77.7 35.5,-77.8 35.5))"
1287,-77.7,35.5,"POLYGON((-77.7 35.5,-77.7 35.6,-77.6 35.6,-77.6 35.5,-77.7 35.5))"
220,-77.6,35.5,"POLYGON((-77.6 35.5,-77.6 35.6,-77.5 35.6,-77.5 35.5,-77.6 35.5))"
317,-77.8,35.6,"POLYGON((-77.8 35.6,-77.8 35.7,-77.7 35.7,-77.7 35.6,-77.8 35.6))"
311,-77.7,35.6,"POLYGON((-77.7 35.6,-77.7 35.7,-77.6 35.7,-77.6 35.6,-77.7 35.6))"
