count,lon,lat,area
2,-79.6,35.8,"POLYGON((-79.6 35.8,-79.6 35.9,-79.5 35.9,-79.5 35.8,-79.6 35.8))"
14313,-80.1,35.9,"POLYGON((-80.1 35.9,-80.1 36.0,-80.0 36.0,-80.0 35.9,-80.1 35.9))"
17024,-80.0,35.9,"POLYGON((-80.0 35.9,-80.0 36.0,-79.9 36.0,-79.9 35.9,-80.0 35.9))"
4861,-79.9,35.9,"POLYGON((-79.9 35.9,-79.9 36.0,-79.8 36.0,-79.8 35.9,-79.9 35.9))"
5395,-79.8,35.9,"POLYGON((-79.8 35.9,-79.8 36.0,-79.7 36.0,-79.7 35.9,-79.8 35.9))"
3475,-79.7,35.9,"POLYGON((-79.7 35.9,-79.7 36.0,-79.6 36.0,-79.6 35.9,-79.7 35.9))"
1274,-79.6,35.9,"POLYGON((-79.6 35.9,-79.6 36.0,-79.5 36.0,-79.5 35.9,-79.6 35.9))"
6276,-80.1,36.0,"POLYGON((-80.1 36.0,-80.1 36.1,-80.0 36.1,-80.0 36.0,-80.1 36.0))"
18155,-80.0,36.0,"POLYGON((-80.0 36.0,-80.0 36.1,-79.9 36.1,-79.9 36.0,-80.0 36.0))"
35268,-79.9,36.0,"POLYGON((-79.9 36.0,-79.9 36.1,-79.8 36.1,-79.8 36.0,-79.9 36.0))"
24899,-79.8,36.0,"POLYGON((-79.8 36.0,-79.8 36.1,-79.7 36.1,-79.7 36.0,-79.8 36.0))"
5762,-79.7,36.0,"POLYGON((-79.7 36.0,-79.7 36.1,-79.6 36.1,-79.6 36.0,-79.7 36.0))"
4505,-79.6,36.0,"POLYGON((-79.6 36.0,-79.6 36.1,-79.5 36.1,-79.5 36.0,-79.6 36.0))"
2360,-80.1,36.1,"POLYGON((-80.1 36.1,-80.1 36.2,-80.0 36.2,-80.0 36.1,-80.1 36.1))"
9370,-80.0,36.1,"POLYGON((-80.0 36.1,-80.0 36.2,-79.9 36.2,-79.9 36.1,-80.0 36.1))"
22685,-79.9,36.1,"POLYGON((-79.9 36.1,-79.9 36.2,-79.8 36.2,-79.8 36.1,-79.9 36.1))"
16021,-79.8,36.1,"POLYGON((-79.8 36.1,-79.8 36.2,-79.7 36.2,-79.7 36.1,-79.8 36.1))"
3836,-79.7,36.1,"POLYGON((-79.7 36.1,-79.7 36.2,-79.6 36.2,-79.6 36.1,-79.7 36.1))"
2191,-79.6,36.1,"POLYGON((-79.6 36.1,-79.6 36.2,-79.5 36.2,-79.5 36.1,-79.6 36.1))"
764,-80.1,36.2,"POLYGON((-80.1 36.2,-80.1 36.3,-80.0 36.3,-80.0 36.2,-80.1 36.2))"
3458,-80.0,36.2,"POLYGON((-80.0 36.2,-80.0 36.3,-79.9 36.3,-79.9 36.2,-80.0 36.2))"
2147,-79.9,36.2,"POLYGON((-79.9 36.2,-79.9 36.3,-79.8 36.3,-79.8 36.2,-79.9 36.2))"
2563,-79.8,36.2,"POLYGON((-79.8 36.2,-79.8 36.3,-79.7 36.3,-79.7 36.2,-79.8 36.2))"
1214,-79.7,36.2,"POLYGON((-79.7 36.2,-79.7 36.3,-79.6 36.3,-79.6 36.2,-79.7 36.2))"
549,-79.6,36.2,"POLYGON((-79.6 36.2,-79.6 36.3,-79.5 36.3,-79.5 36.2,-79.6 36.2))"
