count,lon,lat,area
808,-83.2,35.0,"POLYGON((-83.2 35.0,-83.2 35.1,-83.1 35.1,-83.1 35.0,-83.2 35.0))"
1101,-83.1,35.0,"POLYGON((-83.1 35.0,-83.1 35.1,-83.0 35.1,-83.0 35.0,-83.1 35.0))"
354,-83.3,35.1,"POLYGON((-83.3 35.1,-83.3 35.2,-83.2 35.2,-83.2 35.1,-83.3 35.1))"
6112,-83.2,35.1,"POLYGON((-83.2 35.1,-83.2 35.2,-83.1 35.2,-83.1 35.1,-83.2 35.1))"
5130,-83.1,35.1,"POLYGON((-83.1 35.1,-83.1 35.2,-83.0 35.2,-83.0 35.1,-83.1 35.1))"
275,-83.0,35.1,"POLYGON((-83.0 35.1,-83.0 35.2,-82.9 35.2,-82.9 35.1,-83.0 35.1))"
61,-83.4,35.2,"POLYGON((-83.4 35.2,-83.4 35.3,-83.3 35.3,-83.3 35.2,-83.4 35.2))"
1994,-83.3,35.2,"POLYGON((-83.3 35.2,-83.3 35.3,-83.2 35.3,-83.2 35.2,-83.3 35.2))"
3013,-83.2,35.2,"POLYGON((-83.2 35.2,-83.2 35.3,-83.1 35.3,-83.1 35.2,-83.2 35.2))"
1928,-83.1,35.2,"POLYGON((-83.1 35.2,-83.1 35.3,-83.0 35.3,-83.0 35.2,-83.1 35.2))"
466,-83.0,35.2,"POLYGON((-83.0 35.2,-83.0 35.3,-82.9 35.3,-82.9 35.2,-83.0 35.2))"
1137,-83.4,35.3,"POLYGON((-83.4 35.3,-83.4 35.4,-83.3 35.4,-83.3 35.3,-83.4 35.3))"
7712,-83.3,35.3,"POLYGON((-83.3 35.3,-83.3 35.4,-83.2 35.4,-83.2 35.3,-83.3 35.3))"
4241,-83.2,35.3,"POLYGON((-83.2 35.3,-83.2 35.4,-83.1 35.4,-83.1 35.3,-83.2 35.3))"
433,-83.1,35.3,"POLYGON((-83.1 35.3,-83.1 35.4,-83.0 35.4,-83.0 35.3,-83.1 35.3))"
15,-83.0,35.3,"POLYGON((-83.0 35.3,-83.0 35.4,-82.9 35.4,-82.9 35.3,-83.0 35.3))"
2235,-83.4,35.4,"POLYGON((-83.4 35.4,-83.4 35.5,-83.3 35.5,-83.3 35.4,-83.4 35.4))"
1129,-83.3,35.4,"POLYGON((-83.3 35.4,-83.3 35.5,-83.2 35.5,-83.2 35.4,-83.3 35.4))"
2496,-83.2,35.4,"POLYGON((-83.2 35.4,-83.2 35.5,-83.1 35.5,-83.1 35.4,-83.2 35.4))"
862,-83.1,35.4,"POLYGON((-83.1 35.4,-83.1 35.5,-83.0 35.5,-83.0 35.4,-83.1 35.4))"
