count,lon,lat,area
216,-79.3,35.8,"POLYGON((-79.3 35.8,-79.3 35.9,-79.2 35.9,-79.2 35.8,-79.3 35.8))"
1154,-79.2,35.8,"POLYGON((-79.2 35.8,-79.2 35.9,-79.1 35.9,-79.1 35.8,-79.2 35.8))"
6280,-79.1,35.8,"POLYGON((-79.1 35.8,-79.1 35.9,-79.0 35.9,-79.0 35.8,-79.1 35.8))"
762,-79.3,35.9,"POLYGON((-79.3 35.9,-79.3 36.0,-79.2 36.0,-79.2 35.9,-79.3 35.9))"
3594,-79.2,35.9,"POLYGON((-79.2 35.9,-79.2 36.0,-79.1 36.0,-79.1 35.9,-79.2 35.9))"
35160,-79.1,35.9,"POLYGON((-79.1 35.9,-79.1 36.0,-79.0 36.0,-79.0 35.9,-79.1 35.9))"
333,-79.0,35.9,"POLYGON((-79.0 35.9,-79.0 36.0,-78.9 36.0,-78.9 35.9,-79.0 35.9))"
2908,-79.3,36.0,"POLYGON((-79.3 36.0,-79.3 36.1,-79.2 36.1,-79.2 36.0,-79.3 36.0))"
6582,-79.2,36.0,"POLYGON((-79.2 36.0,-79.2 36.1,-79.1 36.1,-79.1 36.0,-79.2 36.0))"
7282,-79.1,36.0,"POLYGON((-79.1 36.0,-79.1 36.1,-79.0 36.1,-79.0 36.0,-79.1 36.0))"
813,-79.0,36.0,"POLYGON((-79.0 36.0,-79.0 36.1,-78.9 36.1,-78.9 36.0,-79.0 36.0))"
2088,-79.3,36.1,"POLYGON((-79.3 36.1,-79.3 36.2,-79.2 36.2,-79.2 36.1,-79.3 36.1))"
2007,-79.2,36.1,"POLYGON((-79.2 36.1,-79.2 36.2,-79.1 36.2,-79.1 36.1,-79.2 36.1))"
1794,-79.1,36.1,"POLYGON((-79.1 36.1,-79.1 36.2,-79.0 36.2,-79.0 36.1,-79.1 36.1))"
891,-79.0,36.1,"POLYGON((-79.0 36.1,-79.0 36.2,-78.9 36.2,-78.9 36.1,-79.0 36.1))"
185,-79.3,36.2,"POLYGON((-79.3 36.2,-79.3 36.3,-79.2 36.3,-79.2 36.2,-79.3 36.2))"
330,-79.2,36.2,"POLYGON((-79.2 36.2,-79.2 36.3,-79.1 36.3,-79.1 36.2,-79.2 36.2))"
470,-79.1,36.2,"POLYGON((-79.1 36.2,-79.1 36.3,-79.0 36.3,-79.0 36.2,-79.1 36.2))"
272,-79.0,36.2,"POLYGON((-79.0 36.2,-79.0 36.3,-78.9 36.3,-78.9 36.2,-79.0 36.2))"
