count,lon,lat,area
119,-82.0,35.1,"POLYGON((-82.0 35.1,-82.0 35.2,-81.9 35.2,-81.9 35.1,-82.0 35.1))"
252,-81.9,35.1,"POLYGON((-81.9 35.1,-81.9 35.2,-81.8 35.2,-81.8 35.1,-81.9 35.1))"
195,-81.8,35.1,"POLYGON((-81.8 35.1,-81.8 35.2,-81.7 35.2,-81.7 35.1,-81.8 35.1))"
8,-82.1,35.2,"POLYGON((-82.1 35.2,-82.1 35.3,-82.0 35.3,-82.0 35.2,-82.1 35.2))"
1775,-82.0,35.2,"POLYGON((-82.0 35.2,-82.0 35.3,-81.9 35.3,-81.9 35.2,-82.0 35.2))"
3972,-81.9,35.2,"POLYGON((-81.9 35.2,-81.9 35.3,-81.8 35.3,-81.8 35.2,-81.9 35.2))"
2451,-81.8,35.2,"POLYGON((-81.8 35.2,-81.8 35.3,-81.7 35.3,-81.7 35.2,-81.8 35.2))"
4,-82.3,35.3,"POLYGON((-82.3 35.3,-82.3 35.4,-82.2 35.4,-82.2 35.3,-82.3 35.3))"
67,-82.2,35.3,"POLYGON((-82.2 35.3,-82.2 35.4,-82.1 35.4,-82.1 35.3,-82.2 35.3))"
719,-82.1,35.3,"POLYGON((-82.1 35.3,-82.1 35.4,-82.0 35.4,-82.0 35.3,-82.1 35.3))"
7539,-82.0,35.3,"POLYGON((-82.0 35.3,-82.0 35.4,-81.9 35.4,-81.9 35.3,-82.0 35.3))"
7076,-81.9,35.3,"POLYGON((-81.9 35.3,-81.9 35.4,-81.8 35.4,-81.8 35.3,-81.9 35.3))"
3011,-81.8,35.3,"POLYGON((-81.8 35.3,-81.8 35.4,-81.7 35.4,-81.7 35.3,-81.8 35.3))"
1255,-82.3,35.4,"POLYGON((-82.3 35.4,-82.3 35.5,-82.2 35.5,-82.2 35.4,-82.3 35.4))"
2869,-82.2,35.4,"POLYGON((-82.2 35.4,-82.2 35.5,-82.1 35.5,-82.1 35.4,-82.2 35.4))"
1662,-82.1,35.4,"POLYGON((-82.1 35.4,-82.1 35.5,-82.0 35.5,-82.0 35.4,-82.1 35.4))"
2047,-82.0,35.4,"POLYGON((-82.0 35.4,-82.0 35.5,-81.9 35.5,-81.9 35.4,-82.0 35.4))"
1424,-81.9,35.4,"POLYGON((-81.9 35.4,-81.9 35.5,-81.8 35.5,-81.8 35.4,-81.9 35.4))"
769,-81.8,35.4,"POLYGON((-81.8 35.4,-81.8 35.5,-81.7 35.5,-81.7 35.4,-81.8 35.4))"
19,-81.7,35.4,"POLYGON((-81.7 35.4,-81.7 35.5,-81.6 35.5,-81.6 35.4,-81.7 35.4))"
63,-82.3,35.5,"POLYGON((-82.3 35.5,-82.3 35.6,-82.2 35.6,-82.2 35.5,-82.3 35.5))"
253,-82.2,35.5,"POLYGON((-82.2 35.5,-82.2 35.6,-82.1 35.6,-82.1 35.5,-82.2 35.5))"
268,-82.1,35.5,"POLYGON((-82.1 35.5,-82.1 35.6,-82.0 35.6,-82.0 35.5,-82.1 35.5))"
127,-82.0,35.5,"POLYGON((-82.0 35.5,-82.0 35.6,-81.9 35.6,-81.9 35.5,-82.0 35.5))"
261,-81.9,35.5,"POLYGON((-81.9 35.5,-81.9 35.6,-81.8 35.6,-81.8 35.5,-81.9 35.5))"
458,-81.8,35.5,"POLYGON((-81.8 35.5,-81.8 35.6,-81.7 35.6,-81.7 35.5,-81.8 35.5))"
7,-81.7,35.5,"POLYGON((-81.7 35.5,-81.7 35.6,-81.6 35.6,-81.6 35.5,-81.7 35.5))"
