count,lon,lat,area
2215,-81.9,36.1,"POLYGON((-81.9 36.1,-81.9 36.2,-81.8 36.2,-81.8 36.1,-81.9 36.1))"
6527,-81.8,36.1,"POLYGON((-81.8 36.1,-81.8 36.2,-81.7 36.2,-81.7 36.1,-81.8 36.1))"
7952,-81.7,36.1,"POLYGON((-81.7 36.1,-81.7 36.2,-81.6 36.2,-81.6 36.1,-81.7 36.1))"
2429,-81.6,36.1,"POLYGON((-81.6 36.1,-81.6 36.2,-81.5 36.2,-81.5 36.1,-81.6 36.1))"
246,-81.5,36.1,"POLYGON((-81.5 36.1,-81.5 36.2,-81.4 36.2,-81.4 36.1,-81.5 36.1))"
616,-82.0,36.2,"POLYGON((-82.0 36.2,-82.0 36.3,-81.9 36.3,-81.9 36.2,-82.0 36.2))"
5891,-81.9,36.2,"POLYGON((-81.9 36.2,-81.9 36.3,-81.8 36.3,-81.8 36.2,-81.9 36.2))"
6011,-81.8,36.2,"POLYGON((-81.8 36.2,-81.8 36.3,-81.7 36.3,-81.7 36.2,-81.8 36.2))"
8389,-81.7,36.2,"POLYGON((-81.7 36.2,-81.7 36.3,-81.6 36.3,-81.6 36.2,-81.7 36.2))"
2585,-81.6,36.2,"POLYGON((-81.6 36.2,-81.6 36.3,-81.5 36.3,-81.5 36.2,-81.6 36.2))"
444,-81.5,36.2,"POLYGON((-81.5 36.2,-81.5 36.3,-81.4 36.3,-81.4 36.2,-81.5 36.2))"
8,-82.0,36.3,"POLYGON((-82.0 36.3,-82.0 36.4,-81.9 36.4,-81.9 36.3,-82.0 36.3))"
712,-81.9,36.3,"POLYGON((-81.9 36.3,-81.9 36.4,-81.8 36.4,-81.8 36.3,-81.9 36.3))"
1617,-81.8,36.3,"POLYGON((-81.8 36.3,-81.8 36.4,-81.7 36.4,-81.7 36.3,-81.8 36.3))"
1057,-81.7,36.3,"POLYGON((-81.7 36.3,-81.7 36.4,-81.6 36.4,-81.6 36.3,-81.7 36.3))"
24,-81.6,36.3,"POLYGON((-81.6 36.3,-81.6 36.4,-81.5 36.4,-81.5 36.3,-81.6 36.3))"
