count,lon,lat,area
97,-100.8,46.6,"POLYGON((-100.8 46.6,-100.8 46.7,-100.7 46.7,-100.7 46.6,-100.8 46.6))"
30,-100.7,46.6,"POLYGON((-100.7 46.6,-100.7 46.7,-100.6 46.7,-100.6 46.6,-100.7 46.6))"
32,-100.6,46.6,"POLYGON((-100.6 46.6,-100.6 46.7,-100.5 46.7,-100.5 46.6,-100.6 46.6))"
56,-100.5,46.6,"POLYGON((-100.5 46.6,-100.5 46.7,-100.4 46.7,-100.4 46.6,-100.5 46.6))"
17,-100.4,46.6,"POLYGON((-100.4 46.6,-100.4 46.7,-100.3 46.7,-100.3 46.6,-100.4 46.6))"
51,-100.3,46.6,"POLYGON((-100.3 46.6,-100.3 46.7,-100.2 46.7,-100.2 46.6,-100.3 46.6))"
8,-100.2,46.6,"POLYGON((-100.2 46.6,-100.2 46.7,-100.1 46.7,-100.1 46.6,-100.2 46.6))"
2,-100.1,46.6,"POLYGON((-100.1 46.6,-100.1 46.7,-100.0 46.7,-100.0 46.6,-100.1 46.6))"
1327,-100.9,46.7,"POLYGON((-100.9 46.7,-100.9 46.8,-100.8 46.8,-100.8 46.7,-100.9 46.7))"
9829,-100.8,46.7,"POLYGON((-100.8 46.7,-100.8 46.8,-100.7 46.8,-100.7 46.7,-100.8 46.7))"
2162,-100.7,46.7,"POLYGON((-100.7 46.7,-100.7 46.8,-100.6 46.8,-100.6 46.7,-100.7 46.7))"
71,-100.6,46.7,"POLYGON((-100.6 46.7,-100.6 46.8,-100.5 46.8,-100.5 46.7,-100.6 46.7))"
15,-100.5,46.7,"POLYGON((-100.5 46.7,-100.5 46.8,-100.4 46.8,-100.4 46.7,-100.5 46.7))"
14,-100.4,46.7,"POLYGON((-100.4 46.7,-100.4 46.8,-100.3 46.8,-100.3 46.7,-100.4 46.7))"
14,-100.3,46.7,"POLYGON((-100.3 46.7,-100.3 46.8,-100.2 46.8,-100.2 46.7,-100.3 46.7))"
7,-100.2,46.7,"POLYGON((-100.2 46.7,-100.2 46.8,-100.1 46.8,-100.1 46.7,-100.2 46.7))"
4,-101.0,46.8,"POLYGON((-101.0 46.8,-101.0 46.9,-100.9 46.9,-100.9 46.8,-101.0 46.8))"
7043,-100.9,46.8,"POLYGON((-100.9 46.8,-100.9 46.9,-100.8 46.9,-100.8 46.8,-100.9 46.8))"
25720,-100.8,46.8,"POLYGON((-100.8 46.8,-100.8 46.9,-100.7 46.9,-100.7 46.8,-100.8 46.8))"
1269,-100.7,46.8,"POLYGON((-100.7 46.8,-100.7 46.9,-100.6 46.9,-100.6 46.8,-100.7 46.8))"
229,-100.6,46.8,"POLYGON((-100.6 46.8,-100.6 46.9,-100.5 46.9,-100.5 46.8,-100.6 46.8))"
60,-100.5,46.8,"POLYGON((-100.5 46.8,-100.5 46.9,-100.4 46.9,-100.4 46.8,-100.5 46.8))"
25,-100.4,46.8,"POLYGON((-100.4 46.8,-100.4 46.9,-100.3 46.9,-100.3 46.8,-100.4 46.8))"
117,-100.3,46.8,"POLYGON((-100.3 46.8,-100.3 46.9,-100.2 46.9,-100.2 46.8,-100.3 46.8))"
99,-100.2,46.8,"POLYGON((-100.2 46.8,-100.2 46.9,-100.1 46.9,-100.1 46.8,-100.2 46.8))"
9,-100.1,46.8,"POLYGON((-100.1 46.8,-100.1 46.9,-100.0 46.9,-100.0 46.8,-100.1 46.8))"
60,-101.0,46.9,"POLYGON((-101.0 46.9,-101.0 47.0,-100.9 47.0,-100.9 46.9,-101.0 46.9))"
285,-100.9,46.9,"POLYGON((-100.9 46.9,-100.9 47.0,-100.8 47.0,-100.8 46.9,-100.9 46.9))"
732,-100.8,46.9,"POLYGON((-100.8 46.9,-100.8 47.0,-100.7 47.0,-100.7 46.9,-100.8 46.9))"
66,-100.7,46.9,"POLYGON((-100.7 46.9,-100.7 47.0,-100.6 47.0,-100.6 46.9,-100.7 46.9))"
10,-100.6,46.9,"POLYGON((-100.6 46.9,-100.6 47.0,-100.5 47.0,-100.5 46.9,-100.6 46.9))"
12,-100.5,46.9,"POLYGON((-100.5 46.9,-100.5 47.0,-100.4 47.0,-100.4 46.9,-100.5 46.9))"
14,-100.4,46.9,"POLYGON((-100.4 46.9,-100.4 47.0,-100.3 47.0,-100.3 46.9,-100.4 46.9))"
18,-100.3,46.9,"POLYGON((-100.3 46.9,-100.3 47.0,-100.2 47.0,-100.2 46.9,-100.3 46.9))"
17,-100.2,46.9,"POLYGON((-100.2 46.9,-100.2 47.0,-100.1 47.0,-100.1 46.9,-100.2 46.9))"
3,-100.1,46.9,"POLYGON((-100.1 46.9,-100.1 47.0,-100.0 47.0,-100.0 46.9,-100.1 46.9))"
6,-101.0,47.0,"POLYGON((-101.0 47.0,-101.0 47.1,-100.9 47.1,-100.9 47.0,-101.0 47.0))"
42,-100.9,47.0,"POLYGON((-100.9 47.0,-100.9 47.1,-100.8 47.1,-100.8 47.0,-100.9 47.0))"
113,-100.8,47.0,"POLYGON((-100.8 47.0,-100.8 47.1,-100.7 47.1,-100.7 47.0,-100.8 47.0))"
35,-100.7,47.0,"POLYGON((-100.7 47.0,-100.7 47.1,-100.6 47.1,-100.6 47.0,-100.7 47.0))"
18,-100.6,47.0,"POLYGON((-100.6 47.0,-100.6 47.1,-100.5 47.1,-100.5 47.0,-100.6 47.0))"
17,-100.5,47.0,"POLYGON((-100.5 47.0,-100.5 47.1,-100.4 47.1,-100.4 47.0,-100.5 47.0))"
13,-100.4,47.0,"POLYGON((-100.4 47.0,-100.4 47.1,-100.3 47.1,-100.3 47.0,-100.4 47.0))"
7,-100.3,47.0,"POLYGON((-100.3 47.0,-100.3 47.1,-100.2 47.1,-100.2 47.0,-100.3 47.0))"
20,-100.2,47.0,"POLYGON((-100.2 47.0,-100.2 47.1,-100.1 47.1,-100.1 47.0,-100.2 47.0))"
20,-101.0,47.1,"POLYGON((-101.0 47.1,-101.0 47.2,-100.9 47.2,-100.9 47.1,-101.0 47.1))"
61,-100.9,47.1,"POLYGON((-100.9 47.1,-100.9 47.2,-100.8 47.2,-100.8 47.1,-100.9 47.1))"
419,-100.8,47.1,"POLYGON((-100.8 47.1,-100.8 47.2,-100.7 47.2,-100.7 47.1,-100.8 47.1))"
35,-100.7,47.1,"POLYGON((-100.7 47.1,-100.7 47.2,-100.6 47.2,-100.6 47.1,-100.7 47.1))"
70,-100.6,47.1,"POLYGON((-100.6 47.1,-100.6 47.2,-100.5 47.2,-100.5 47.1,-100.6 47.1))"
14,-100.5,47.1,"POLYGON((-100.5 47.1,-100.5 47.2,-100.4 47.2,-100.4 47.1,-100.5 47.1))"
13,-100.4,47.1,"POLYGON((-100.4 47.1,-100.4 47.2,-100.3 47.2,-100.3 47.1,-100.4 47.1))"
115,-100.3,47.1,"POLYGON((-100.3 47.1,-100.3 47.2,-100.2 47.2,-100.2 47.1,-100.3 47.1))"
13,-100.2,47.1,"POLYGON((-100.2 47.1,-100.2 47.2,-100.1 47.2,-100.1 47.1,-100.2 47.1))"
9,-100.9,47.2,"POLYGON((-100.9 47.2,-100.9 47.3,-100.8 47.3,-100.8 47.2,-100.9 47.2))"
29,-100.8,47.2,"POLYGON((-100.8 47.2,-100.8 47.3,-100.7 47.3,-100.7 47.2,-100.8 47.2))"
17,-100.7,47.2,"POLYGON((-100.7 47.2,-100.7 47.3,-100.6 47.3,-100.6 47.2,-100.7 47.2))"
11,-100.6,47.2,"POLYGON((-100.6 47.2,-100.6 47.3,-100.5 47.3,-100.5 47.2,-100.6 47.2))"
10,-100.5,47.2,"POLYGON((-100.5 47.2,-100.5 47.3,-100.4 47.3,-100.4 47.2,-100.5 47.2))"
17,-100.4,47.2,"POLYGON((-100.4 47.2,-100.4 47.3,-100.3 47.3,-100.3 47.2,-100.4 47.2))"
14,-100.3,47.2,"POLYGON((-100.3 47.2,-100.3 47.3,-100.2 47.3,-100.2 47.2,-100.3 47.2))"
4,-100.2,47.2,"POLYGON((-100.2 47.2,-100.2 47.3,-100.1 47.3,-100.1 47.2,-100.2 47.2))"
11,-100.8,47.3,"POLYGON((-100.8 47.3,-100.8 47.4,-100.7 47.4,-100.7 47.3,-100.8 47.3))"
4,-100.7,47.3,"POLYGON((-100.7 47.3,-100.7 47.4,-100.6 47.4,-100.6 47.3,-100.7 47.3))"
3,-100.6,47.3,"POLYGON((-100.6 47.3,-100.6 47.4,-100.5 47.4,-100.5 47.3,-100.6 47.3))"
5,-100.5,47.3,"POLYGON((-100.5 47.3,-100.5 47.4,-100.4 47.4,-100.4 47.3,-100.5 47.3))"
1,-100.4,47.3,"POLYGON((-100.4 47.3,-100.4 47.4,-100.3 47.4,-100.3 47.3,-100.4 47.3))"
3,-100.3,47.3,"POLYGON((-100.3 47.3,-100.3 47.4,-100.2 47.4,-100.2 47.3,-100.3 47.3))"
2,-100.2,47.3,"POLYGON((-100.2 47.3,-100.2 47.4,-100.1 47.4,-100.1 47.3,-100.2 47.3))"
