count,lon,lat,area
2,-97.3,45.9,"POLYGON((-97.3 45.9,-97.3 46.0,-97.2 46.0,-97.2 45.9,-97.3 45.9))"
20,-97.2,45.9,"POLYGON((-97.2 45.9,-97.2 46.0,-97.1 46.0,-97.1 45.9,-97.2 45.9))"
21,-97.1,45.9,"POLYGON((-97.1 45.9,-97.1 46.0,-97.0 46.0,-97.0 45.9,-97.1 45.9))"
22,-97.0,45.9,"POLYGON((-97.0 45.9,-97.0 46.0,-96.9 46.0,-96.9 45.9,-97.0 45.9))"
33,-96.9,45.9,"POLYGON((-96.9 45.9,-96.9 46.0,-96.8 46.0,-96.8 45.9,-96.9 45.9))"
29,-96.8,45.9,"POLYGON((-96.8 45.9,-96.8 46.0,-96.7 46.0,-96.7 45.9,-96.8 45.9))"
20,-96.7,45.9,"POLYGON((-96.7 45.9,-96.7 46.0,-96.6 46.0,-96.6 45.9,-96.7 45.9))"
1,-96.6,45.9,"POLYGON((-96.6 45.9,-96.6 46.0,-96.5 46.0,-96.5 45.9,-96.6 45.9))"
21,-97.3,46.0,"POLYGON((-97.3 46.0,-97.3 46.1,-97.2 46.1,-97.2 46.0,-97.3 46.0))"
516,-97.2,46.0,"POLYGON((-97.2 46.0,-97.2 46.1,-97.1 46.1,-97.1 46.0,-97.2 46.0))"
27,-97.1,46.0,"POLYGON((-97.1 46.0,-97.1 46.1,-97.0 46.1,-97.0 46.0,-97.1 46.0))"
538,-97.0,46.0,"POLYGON((-97.0 46.0,-97.0 46.1,-96.9 46.1,-96.9 46.0,-97.0 46.0))"
247,-96.9,46.0,"POLYGON((-96.9 46.0,-96.9 46.1,-96.8 46.1,-96.8 46.0,-96.9 46.0))"
43,-96.8,46.0,"POLYGON((-96.8 46.0,-96.8 46.1,-96.7 46.1,-96.7 46.0,-96.8 46.0))"
214,-96.7,46.0,"POLYGON((-96.7 46.0,-96.7 46.1,-96.6 46.1,-96.6 46.0,-96.7 46.0))"
70,-96.6,46.0,"POLYGON((-96.6 46.0,-96.6 46.1,-96.5 46.1,-96.5 46.0,-96.6 46.0))"
18,-97.3,46.1,"POLYGON((-97.3 46.1,-97.3 46.2,-97.2 46.2,-97.2 46.1,-97.3 46.1))"
46,-97.2,46.1,"POLYGON((-97.2 46.1,-97.2 46.2,-97.1 46.2,-97.1 46.1,-97.2 46.1))"
41,-97.1,46.1,"POLYGON((-97.1 46.1,-97.1 46.2,-97.0 46.2,-97.0 46.1,-97.1 46.1))"
104,-97.0,46.1,"POLYGON((-97.0 46.1,-97.0 46.2,-96.9 46.2,-96.9 46.1,-97.0 46.1))"
96,-96.9,46.1,"POLYGON((-96.9 46.1,-96.9 46.2,-96.8 46.2,-96.8 46.1,-96.9 46.1))"
50,-96.8,46.1,"POLYGON((-96.8 46.1,-96.8 46.2,-96.7 46.2,-96.7 46.1,-96.8 46.1))"
63,-96.7,46.1,"POLYGON((-96.7 46.1,-96.7 46.2,-96.6 46.2,-96.6 46.1,-96.7 46.1))"
15,-96.6,46.1,"POLYGON((-96.6 46.1,-96.6 46.2,-96.5 46.2,-96.5 46.1,-96.6 46.1))"
15,-97.3,46.2,"POLYGON((-97.3 46.2,-97.3 46.3,-97.2 46.3,-97.2 46.2,-97.3 46.2))"
325,-97.2,46.2,"POLYGON((-97.2 46.2,-97.2 46.3,-97.1 46.3,-97.1 46.2,-97.2 46.2))"
90,-97.1,46.2,"POLYGON((-97.1 46.2,-97.1 46.3,-97.0 46.3,-97.0 46.2,-97.1 46.2))"
61,-97.0,46.2,"POLYGON((-97.0 46.2,-97.0 46.3,-96.9 46.3,-96.9 46.2,-97.0 46.2))"
158,-96.9,46.2,"POLYGON((-96.9 46.2,-96.9 46.3,-96.8 46.3,-96.8 46.2,-96.9 46.2))"
87,-96.8,46.2,"POLYGON((-96.8 46.2,-96.8 46.3,-96.7 46.3,-96.7 46.2,-96.8 46.2))"
2934,-96.7,46.2,"POLYGON((-96.7 46.2,-96.7 46.3,-96.6 46.3,-96.6 46.2,-96.7 46.2))"
110,-96.6,46.2,"POLYGON((-96.6 46.2,-96.6 46.3,-96.5 46.3,-96.5 46.2,-96.6 46.2))"
13,-97.3,46.3,"POLYGON((-97.3 46.3,-97.3 46.4,-97.2 46.4,-97.2 46.3,-97.3 46.3))"
40,-97.2,46.3,"POLYGON((-97.2 46.3,-97.2 46.4,-97.1 46.4,-97.1 46.3,-97.2 46.3))"
27,-97.1,46.3,"POLYGON((-97.1 46.3,-97.1 46.4,-97.0 46.4,-97.0 46.3,-97.1 46.3))"
42,-97.0,46.3,"POLYGON((-97.0 46.3,-97.0 46.4,-96.9 46.4,-96.9 46.3,-97.0 46.3))"
85,-96.9,46.3,"POLYGON((-96.9 46.3,-96.9 46.4,-96.8 46.4,-96.8 46.3,-96.9 46.3))"
85,-96.8,46.3,"POLYGON((-96.8 46.3,-96.8 46.4,-96.7 46.4,-96.7 46.3,-96.8 46.3))"
90,-96.7,46.3,"POLYGON((-96.7 46.3,-96.7 46.4,-96.6 46.4,-96.6 46.3,-96.7 46.3))"
1,-96.6,46.3,"POLYGON((-96.6 46.3,-96.6 46.4,-96.5 46.4,-96.5 46.3,-96.6 46.3))"
16,-97.3,46.4,"POLYGON((-97.3 46.4,-97.3 46.5,-97.2 46.5,-97.2 46.4,-97.3 46.4))"
38,-97.2,46.4,"POLYGON((-97.2 46.4,-97.2 46.5,-97.1 46.5,-97.1 46.4,-97.2 46.4))"
31,-97.1,46.4,"POLYGON((-97.1 46.4,-97.1 46.5,-97.0 46.5,-97.0 46.4,-97.1 46.4))"
43,-97.0,46.4,"POLYGON((-97.0 46.4,-97.0 46.5,-96.9 46.5,-96.9 46.4,-97.0 46.4))"
187,-96.9,46.4,"POLYGON((-96.9 46.4,-96.9 46.5,-96.8 46.5,-96.8 46.4,-96.9 46.4))"
217,-96.8,46.4,"POLYGON((-96.8 46.4,-96.8 46.5,-96.7 46.5,-96.7 46.4,-96.8 46.4))"
2,-96.7,46.4,"POLYGON((-96.7 46.4,-96.7 46.5,-96.6 46.5,-96.6 46.4,-96.7 46.4))"
30,-97.3,46.5,"POLYGON((-97.3 46.5,-97.3 46.6,-97.2 46.6,-97.2 46.5,-97.3 46.5))"
36,-97.2,46.5,"POLYGON((-97.2 46.5,-97.2 46.6,-97.1 46.6,-97.1 46.5,-97.2 46.5))"
58,-97.1,46.5,"POLYGON((-97.1 46.5,-97.1 46.6,-97.0 46.6,-97.0 46.5,-97.1 46.5))"
169,-97.0,46.5,"POLYGON((-97.0 46.5,-97.0 46.6,-96.9 46.6,-96.9 46.5,-97.0 46.5))"
190,-96.9,46.5,"POLYGON((-96.9 46.5,-96.9 46.6,-96.8 46.6,-96.8 46.5,-96.9 46.5))"
42,-96.8,46.5,"POLYGON((-96.8 46.5,-96.8 46.6,-96.7 46.6,-96.7 46.5,-96.8 46.5))"
14,-97.3,46.6,"POLYGON((-97.3 46.6,-97.3 46.7,-97.2 46.7,-97.2 46.6,-97.3 46.6))"
29,-97.2,46.6,"POLYGON((-97.2 46.6,-97.2 46.7,-97.1 46.7,-97.1 46.6,-97.2 46.6))"
63,-97.1,46.6,"POLYGON((-97.1 46.6,-97.1 46.7,-97.0 46.7,-97.0 46.6,-97.1 46.6))"
15,-97.0,46.6,"POLYGON((-97.0 46.6,-97.0 46.7,-96.9 46.7,-96.9 46.6,-97.0 46.6))"
25,-96.9,46.6,"POLYGON((-96.9 46.6,-96.9 46.7,-96.8 46.7,-96.8 46.6,-96.9 46.6))"
14,-96.8,46.6,"POLYGON((-96.8 46.6,-96.8 46.7,-96.7 46.7,-96.7 46.6,-96.8 46.6))"
