count,lon,lat,area
41,-96.5,40.2,"POLYGON((-96.5 40.2,-96.5 40.3,-96.4 40.3,-96.4 40.2,-96.5 40.2))"
74,-96.4,40.2,"POLYGON((-96.4 40.2,-96.4 40.3,-96.3 40.3,-96.3 40.2,-96.4 40.2))"
93,-96.3,40.2,"POLYGON((-96.3 40.2,-96.3 40.3,-96.2 40.3,-96.2 40.2,-96.3 40.2))"
303,-96.2,40.2,"POLYGON((-96.2 40.2,-96.2 40.3,-96.1 40.3,-96.1 40.2,-96.2 40.2))"
39,-96.1,40.2,"POLYGON((-96.1 40.2,-96.1 40.3,-96.0 40.3,-96.0 40.2,-96.1 40.2))"
300,-96.5,40.3,"POLYGON((-96.5 40.3,-96.5 40.4,-96.4 40.4,-96.4 40.3,-96.5 40.3))"
275,-96.4,40.3,"POLYGON((-96.4 40.3,-96.4 40.4,-96.3 40.4,-96.3 40.3,-96.4 40.3))"
352,-96.3,40.3,"POLYGON((-96.3 40.3,-96.3 40.4,-96.2 40.4,-96.2 40.3,-96.3 40.3))"
1519,-96.2,40.3,"POLYGON((-96.2 40.3,-96.2 40.4,-96.1 40.4,-96.1 40.3,-96.2 40.3))"
89,-96.1,40.3,"POLYGON((-96.1 40.3,-96.1 40.4,-96.0 40.4,-96.0 40.3,-96.1 40.3))"
213,-96.5,40.4,"POLYGON((-96.5 40.4,-96.5 40.5,-96.4 40.5,-96.4 40.4,-96.5 40.4))"
712,-96.4,40.4,"POLYGON((-96.4 40.4,-96.4 40.5,-96.3 40.5,-96.3 40.4,-96.4 40.4))"
302,-96.3,40.4,"POLYGON((-96.3 40.4,-96.3 40.5,-96.2 40.5,-96.2 40.4,-96.3 40.4))"
272,-96.2,40.4,"POLYGON((-96.2 40.4,-96.2 40.5,-96.1 40.5,-96.1 40.4,-96.2 40.4))"
83,-96.1,40.4,"POLYGON((-96.1 40.4,-96.1 40.5,-96.0 40.5,-96.0 40.4,-96.1 40.4))"
24,-96.5,40.5,"POLYGON((-96.5 40.5,-96.5 40.6,-96.4 40.6,-96.4 40.5,-96.5 40.5))"
54,-96.4,40.5,"POLYGON((-96.4 40.5,-96.4 40.6,-96.3 40.6,-96.3 40.5,-96.4 40.5))"
52,-96.3,40.5,"POLYGON((-96.3 40.5,-96.3 40.6,-96.2 40.6,-96.2 40.5,-96.3 40.5))"
306,-96.2,40.5,"POLYGON((-96.2 40.5,-96.2 40.6,-96.1 40.6,-96.1 40.5,-96.2 40.5))"
20,-96.1,40.5,"POLYGON((-96.1 40.5,-96.1 40.6,-96.0 40.6,-96.0 40.5,-96.1 40.5))"
