count,lon,lat,area
28,-97.0,40.5,"POLYGON((-97.0 40.5,-97.0 40.6,-96.9 40.6,-96.9 40.5,-97.0 40.5))"
326,-96.9,40.5,"POLYGON((-96.9 40.5,-96.9 40.6,-96.8 40.6,-96.8 40.5,-96.9 40.5))"
503,-96.8,40.5,"POLYGON((-96.8 40.5,-96.8 40.6,-96.7 40.6,-96.7 40.5,-96.8 40.5))"
760,-96.7,40.5,"POLYGON((-96.7 40.5,-96.7 40.6,-96.6 40.6,-96.6 40.5,-96.7 40.5))"
640,-96.6,40.5,"POLYGON((-96.6 40.5,-96.6 40.6,-96.5 40.6,-96.5 40.5,-96.6 40.5))"
119,-96.5,40.5,"POLYGON((-96.5 40.5,-96.5 40.6,-96.4 40.6,-96.4 40.5,-96.5 40.5))"
53,-97.0,40.6,"POLYGON((-97.0 40.6,-97.0 40.7,-96.9 40.7,-96.9 40.6,-97.0 40.6))"
500,-96.9,40.6,"POLYGON((-96.9 40.6,-96.9 40.7,-96.8 40.7,-96.8 40.6,-96.9 40.6))"
797,-96.8,40.6,"POLYGON((-96.8 40.6,-96.8 40.7,-96.7 40.7,-96.7 40.6,-96.8 40.6))"
2309,-96.7,40.6,"POLYGON((-96.7 40.6,-96.7 40.7,-96.6 40.7,-96.6 40.6,-96.7 40.6))"
1089,-96.6,40.6,"POLYGON((-96.6 40.6,-96.6 40.7,-96.5 40.7,-96.5 40.6,-96.6 40.6))"
333,-96.5,40.6,"POLYGON((-96.5 40.6,-96.5 40.7,-96.4 40.7,-96.4 40.6,-96.5 40.6))"
58,-97.0,40.7,"POLYGON((-97.0 40.7,-97.0 40.8,-96.9 40.8,-96.9 40.7,-97.0 40.7))"
1008,-96.9,40.7,"POLYGON((-96.9 40.7,-96.9 40.8,-96.8 40.8,-96.8 40.7,-96.9 40.7))"
8716,-96.8,40.7,"POLYGON((-96.8 40.7,-96.8 40.8,-96.7 40.8,-96.7 40.7,-96.8 40.7))"
37891,-96.7,40.7,"POLYGON((-96.7 40.7,-96.7 40.8,-96.6 40.8,-96.6 40.7,-96.7 40.7))"
3429,-96.6,40.7,"POLYGON((-96.6 40.7,-96.6 40.8,-96.5 40.8,-96.5 40.7,-96.6 40.7))"
226,-96.5,40.7,"POLYGON((-96.5 40.7,-96.5 40.8,-96.4 40.8,-96.4 40.7,-96.5 40.7))"
79,-97.0,40.8,"POLYGON((-97.0 40.8,-97.0 40.9,-96.9 40.9,-96.9 40.8,-97.0 40.8))"
714,-96.9,40.8,"POLYGON((-96.9 40.8,-96.9 40.9,-96.8 40.9,-96.8 40.8,-96.9 40.8))"
14024,-96.8,40.8,"POLYGON((-96.8 40.8,-96.8 40.9,-96.7 40.9,-96.7 40.8,-96.8 40.8))"
32400,-96.7,40.8,"POLYGON((-96.7 40.8,-96.7 40.9,-96.6 40.9,-96.6 40.8,-96.7 40.8))"
3067,-96.6,40.8,"POLYGON((-96.6 40.8,-96.6 40.9,-96.5 40.9,-96.5 40.8,-96.6 40.8))"
225,-96.5,40.8,"POLYGON((-96.5 40.8,-96.5 40.9,-96.4 40.9,-96.4 40.8,-96.5 40.8))"
72,-97.0,40.9,"POLYGON((-97.0 40.9,-97.0 41.0,-96.9 41.0,-96.9 40.9,-97.0 40.9))"
687,-96.9,40.9,"POLYGON((-96.9 40.9,-96.9 41.0,-96.8 41.0,-96.8 40.9,-96.9 40.9))"
823,-96.8,40.9,"POLYGON((-96.8 40.9,-96.8 41.0,-96.7 41.0,-96.7 40.9,-96.8 40.9))"
652,-96.7,40.9,"POLYGON((-96.7 40.9,-96.7 41.0,-96.6 41.0,-96.6 40.9,-96.7 40.9))"
2108,-96.6,40.9,"POLYGON((-96.6 40.9,-96.6 41.0,-96.5 41.0,-96.5 40.9,-96.6 40.9))"
144,-96.5,40.9,"POLYGON((-96.5 40.9,-96.5 41.0,-96.4 41.0,-96.4 40.9,-96.5 40.9))"
15,-97.0,41.0,"POLYGON((-97.0 41.0,-97.0 41.1,-96.9 41.1,-96.9 41.0,-97.0 41.0))"
223,-96.9,41.0,"POLYGON((-96.9 41.0,-96.9 41.1,-96.8 41.1,-96.8 41.0,-96.9 41.0))"
187,-96.8,41.0,"POLYGON((-96.8 41.0,-96.8 41.1,-96.7 41.1,-96.7 41.0,-96.8 41.0))"
191,-96.7,41.0,"POLYGON((-96.7 41.0,-96.7 41.1,-96.6 41.1,-96.6 41.0,-96.7 41.0))"
147,-96.6,41.0,"POLYGON((-96.6 41.0,-96.6 41.1,-96.5 41.1,-96.5 41.0,-96.6 41.0))"
42,-96.5,41.0,"POLYGON((-96.5 41.0,-96.5 41.1,-96.4 41.1,-96.4 41.0,-96.5 41.0))"
