count,lon,lat,area
89,-97.4,41.7,"POLYGON((-97.4 41.7,-97.4 41.8,-97.3 41.8,-97.3 41.7,-97.4 41.7))"
171,-97.3,41.7,"POLYGON((-97.3 41.7,-97.3 41.8,-97.2 41.8,-97.2 41.7,-97.3 41.7))"
159,-97.2,41.7,"POLYGON((-97.2 41.7,-97.2 41.8,-97.1 41.8,-97.1 41.7,-97.2 41.7))"
144,-97.1,41.7,"POLYGON((-97.1 41.7,-97.1 41.8,-97.0 41.8,-97.0 41.7,-97.1 41.7))"
185,-97.4,41.8,"POLYGON((-97.4 41.8,-97.4 41.9,-97.3 41.9,-97.3 41.8,-97.4 41.8))"
349,-97.3,41.8,"POLYGON((-97.3 41.8,-97.3 41.9,-97.2 41.9,-97.2 41.8,-97.3 41.8))"
302,-97.2,41.8,"POLYGON((-97.2 41.8,-97.2 41.9,-97.1 41.9,-97.1 41.8,-97.2 41.8))"
288,-97.1,41.8,"POLYGON((-97.1 41.8,-97.1 41.9,-97.0 41.9,-97.0 41.8,-97.1 41.8))"
253,-97.4,41.9,"POLYGON((-97.4 41.9,-97.4 42.0,-97.3 42.0,-97.3 41.9,-97.4 41.9))"
1326,-97.3,41.9,"POLYGON((-97.3 41.9,-97.3 42.0,-97.2 42.0,-97.2 41.9,-97.3 41.9))"
335,-97.2,41.9,"POLYGON((-97.2 41.9,-97.2 42.0,-97.1 42.0,-97.1 41.9,-97.2 41.9))"
293,-97.1,41.9,"POLYGON((-97.1 41.9,-97.1 42.0,-97.0 42.0,-97.0 41.9,-97.1 41.9))"
1127,-97.4,42.0,"POLYGON((-97.4 42.0,-97.4 42.1,-97.3 42.1,-97.3 42.0,-97.4 42.0))"
379,-97.3,42.0,"POLYGON((-97.3 42.0,-97.3 42.1,-97.2 42.1,-97.2 42.0,-97.3 42.0))"
275,-97.2,42.0,"POLYGON((-97.2 42.0,-97.2 42.1,-97.1 42.1,-97.1 42.0,-97.2 42.0))"
576,-97.1,42.0,"POLYGON((-97.1 42.0,-97.1 42.1,-97.0 42.1,-97.0 42.0,-97.1 42.0))"
