count,lon,lat,area
1321,-74.6,40.6,"POLYGON((-74.6 40.6,-74.6 40.7,-74.5 40.7,-74.5 40.6,-74.6 40.6))"
2392,-74.5,40.6,"POLYGON((-74.5 40.6,-74.5 40.7,-74.4 40.7,-74.4 40.6,-74.5 40.6))"
1594,-74.9,40.7,"POLYGON((-74.9 40.7,-74.9 40.8,-74.8 40.8,-74.8 40.7,-74.9 40.7))"
3064,-74.8,40.7,"POLYGON((-74.8 40.7,-74.8 40.8,-74.7 40.8,-74.7 40.7,-74.8 40.7))"
4287,-74.7,40.7,"POLYGON((-74.7 40.7,-74.7 40.8,-74.6 40.8,-74.6 40.7,-74.7 40.7))"
4125,-74.6,40.7,"POLYGON((-74.6 40.7,-74.6 40.8,-74.5 40.8,-74.5 40.7,-74.6 40.7))"
18337,-74.5,40.7,"POLYGON((-74.5 40.7,-74.5 40.8,-74.4 40.8,-74.4 40.7,-74.5 40.7))"
9089,-74.4,40.7,"POLYGON((-74.4 40.7,-74.4 40.8,-74.3 40.8,-74.3 40.7,-74.4 40.7))"
2160,-74.9,40.8,"POLYGON((-74.9 40.8,-74.9 40.9,-74.8 40.9,-74.8 40.8,-74.9 40.8))"
12638,-74.8,40.8,"POLYGON((-74.8 40.8,-74.8 40.9,-74.7 40.9,-74.7 40.8,-74.8 40.8))"
14177,-74.7,40.8,"POLYGON((-74.7 40.8,-74.7 40.9,-74.6 40.9,-74.6 40.8,-74.7 40.8))"
24295,-74.6,40.8,"POLYGON((-74.6 40.8,-74.6 40.9,-74.5 40.9,-74.5 40.8,-74.6 40.8))"
31903,-74.5,40.8,"POLYGON((-74.5 40.8,-74.5 40.9,-74.4 40.9,-74.4 40.8,-74.5 40.8))"
17650,-74.4,40.8,"POLYGON((-74.4 40.8,-74.4 40.9,-74.3 40.9,-74.3 40.8,-74.4 40.8))"
8,-74.3,40.8,"POLYGON((-74.3 40.8,-74.3 40.9,-74.2 40.9,-74.2 40.8,-74.3 40.8))"
201,-74.8,40.9,"POLYGON((-74.8 40.9,-74.8 41.0,-74.7 41.0,-74.7 40.9,-74.8 40.9))"
8612,-74.7,40.9,"POLYGON((-74.7 40.9,-74.7 41.0,-74.6 41.0,-74.6 40.9,-74.7 40.9))"
11089,-74.6,40.9,"POLYGON((-74.6 40.9,-74.6 41.0,-74.5 41.0,-74.5 40.9,-74.6 40.9))"
7538,-74.5,40.9,"POLYGON((-74.5 40.9,-74.5 41.0,-74.4 41.0,-74.4 40.9,-74.5 40.9))"
18400,-74.4,40.9,"POLYGON((-74.4 40.9,-74.4 41.0,-74.3 41.0,-74.3 40.9,-74.4 40.9))"
4988,-74.3,40.9,"POLYGON((-74.3 40.9,-74.3 41.0,-74.2 41.0,-74.2 40.9,-74.3 40.9))"
3014,-74.6,41.0,"POLYGON((-74.6 41.0,-74.6 41.1,-74.5 41.1,-74.5 41.0,-74.6 41.0))"
1905,-74.5,41.0,"POLYGON((-74.5 41.0,-74.5 41.1,-74.4 41.1,-74.4 41.0,-74.5 41.0))"
2483,-74.4,41.0,"POLYGON((-74.4 41.0,-74.4 41.1,-74.3 41.1,-74.3 41.0,-74.4 41.0))"
27,-74.3,41.0,"POLYGON((-74.3 41.0,-74.3 41.1,-74.2 41.1,-74.2 41.0,-74.3 41.0))"
