count,lon,lat,area
12,-106.8,34.8,"POLYGON((-106.8 34.8,-106.8 34.9,-106.7 34.9,-106.7 34.8,-106.8 34.8))"
2,-107.2,34.9,"POLYGON((-107.2 34.9,-107.2 35.0,-107.1 35.0,-107.1 34.9,-107.2 34.9))"
8,-107.1,34.9,"POLYGON((-107.1 34.9,-107.1 35.0,-107.0 35.0,-107.0 34.9,-107.1 34.9))"
16,-106.8,34.9,"POLYGON((-106.8 34.9,-106.8 35.0,-106.7 35.0,-106.7 34.9,-106.8 34.9))"
29,-106.7,34.9,"POLYGON((-106.7 34.9,-106.7 35.0,-106.6 35.0,-106.6 34.9,-106.7 34.9))"
8,-107.1,35.0,"POLYGON((-107.1 35.0,-107.1 35.1,-107.0 35.1,-107.0 35.0,-107.1 35.0))"
18,-107.0,35.0,"POLYGON((-107.0 35.0,-107.0 35.1,-106.9 35.1,-106.9 35.0,-107.0 35.0))"
12,-106.9,35.0,"POLYGON((-106.9 35.0,-106.9 35.1,-106.8 35.1,-106.8 35.0,-106.9 35.0))"
33,-106.8,35.0,"POLYGON((-106.8 35.0,-106.8 35.1,-106.7 35.1,-106.7 35.0,-106.8 35.0))"
69,-106.7,35.0,"POLYGON((-106.7 35.0,-106.7 35.1,-106.6 35.1,-106.6 35.0,-106.7 35.0))"
40,-106.6,35.0,"POLYGON((-106.6 35.0,-106.6 35.1,-106.5 35.1,-106.5 35.0,-106.6 35.0))"
39,-106.5,35.0,"POLYGON((-106.5 35.0,-106.5 35.1,-106.4 35.1,-106.4 35.0,-106.5 35.0))"
17,-106.4,35.0,"POLYGON((-106.4 35.0,-106.4 35.1,-106.3 35.1,-106.3 35.0,-106.4 35.0))"
11,-106.3,35.0,"POLYGON((-106.3 35.0,-106.3 35.1,-106.2 35.1,-106.2 35.0,-106.3 35.0))"
13,-106.8,35.1,"POLYGON((-106.8 35.1,-106.8 35.2,-106.7 35.2,-106.7 35.1,-106.8 35.1))"
127,-106.7,35.1,"POLYGON((-106.7 35.1,-106.7 35.2,-106.6 35.2,-106.6 35.1,-106.7 35.1))"
60,-106.6,35.1,"POLYGON((-106.6 35.1,-106.6 35.2,-106.5 35.2,-106.5 35.1,-106.6 35.1))"
18,-106.4,35.1,"POLYGON((-106.4 35.1,-106.4 35.2,-106.3 35.2,-106.3 35.1,-106.4 35.1))"
7,-106.3,35.1,"POLYGON((-106.3 35.1,-106.3 35.2,-106.2 35.2,-106.2 35.1,-106.3 35.1))"
13,-106.6,35.2,"POLYGON((-106.6 35.2,-106.6 35.3,-106.5 35.3,-106.5 35.2,-106.6 35.2))"
