count,lon,lat,area
4,-117.8,39.1,"POLYGON((-117.8 39.1,-117.8 39.2,-117.7 39.2,-117.7 39.1,-117.8 39.1))"
1,-117.7,39.1,"POLYGON((-117.7 39.1,-117.7 39.2,-117.6 39.2,-117.6 39.1,-117.7 39.1))"
6,-117.6,39.1,"POLYGON((-117.6 39.1,-117.6 39.2,-117.5 39.2,-117.5 39.1,-117.6 39.1))"
1,-117.5,39.1,"POLYGON((-117.5 39.1,-117.5 39.2,-117.4 39.2,-117.4 39.1,-117.5 39.1))"
4,-117.4,39.1,"POLYGON((-117.4 39.1,-117.4 39.2,-117.3 39.2,-117.3 39.1,-117.4 39.1))"
2,-117.3,39.1,"POLYGON((-117.3 39.1,-117.3 39.2,-117.2 39.2,-117.2 39.1,-117.3 39.1))"
3,-117.2,39.1,"POLYGON((-117.2 39.1,-117.2 39.2,-117.1 39.2,-117.1 39.1,-117.2 39.1))"
3,-117.1,39.1,"POLYGON((-117.1 39.1,-117.1 39.2,-117.0 39.2,-117.0 39.1,-117.1 39.1))"
1,-117.0,39.1,"POLYGON((-117.0 39.1,-117.0 39.2,-116.9 39.2,-116.9 39.1,-117.0 39.1))"
1,-116.9,39.1,"POLYGON((-116.9 39.1,-116.9 39.2,-116.8 39.2,-116.8 39.1,-116.9 39.1))"
1,-116.8,39.1,"POLYGON((-116.8 39.1,-116.8 39.2,-116.7 39.2,-116.7 39.1,-116.8 39.1))"
14,-117.7,39.2,"POLYGON((-117.7 39.2,-117.7 39.3,-117.6 39.3,-117.6 39.2,-117.7 39.2))"
4,-117.6,39.2,"POLYGON((-117.6 39.2,-117.6 39.3,-117.5 39.3,-117.5 39.2,-117.6 39.2))"
5,-117.5,39.2,"POLYGON((-117.5 39.2,-117.5 39.3,-117.4 39.3,-117.4 39.2,-117.5 39.2))"
8,-117.4,39.2,"POLYGON((-117.4 39.2,-117.4 39.3,-117.3 39.3,-117.3 39.2,-117.4 39.2))"
10,-117.3,39.2,"POLYGON((-117.3 39.2,-117.3 39.3,-117.2 39.3,-117.2 39.2,-117.3 39.2))"
81,-117.2,39.2,"POLYGON((-117.2 39.2,-117.2 39.3,-117.1 39.3,-117.1 39.2,-117.2 39.2))"
975,-117.1,39.2,"POLYGON((-117.1 39.2,-117.1 39.3,-117.0 39.3,-117.0 39.2,-117.1 39.2))"
4,-117.0,39.2,"POLYGON((-117.0 39.2,-117.0 39.3,-116.9 39.3,-116.9 39.2,-117.0 39.2))"
2,-116.9,39.2,"POLYGON((-116.9 39.2,-116.9 39.3,-116.8 39.3,-116.8 39.2,-116.9 39.2))"
2,-116.8,39.2,"POLYGON((-116.8 39.2,-116.8 39.3,-116.7 39.3,-116.7 39.2,-116.8 39.2))"
3,-116.7,39.2,"POLYGON((-116.7 39.2,-116.7 39.3,-116.6 39.3,-116.6 39.2,-116.7 39.2))"
2,-117.8,39.3,"POLYGON((-117.8 39.3,-117.8 39.4,-117.7 39.4,-117.7 39.3,-117.8 39.3))"
9,-117.7,39.3,"POLYGON((-117.7 39.3,-117.7 39.4,-117.6 39.4,-117.6 39.3,-117.7 39.3))"
7,-117.6,39.3,"POLYGON((-117.6 39.3,-117.6 39.4,-117.5 39.4,-117.5 39.3,-117.6 39.3))"
2,-117.5,39.3,"POLYGON((-117.5 39.3,-117.5 39.4,-117.4 39.4,-117.4 39.3,-117.5 39.3))"
28,-117.4,39.3,"POLYGON((-117.4 39.3,-117.4 39.4,-117.3 39.4,-117.3 39.3,-117.4 39.3))"
12,-117.3,39.3,"POLYGON((-117.3 39.3,-117.3 39.4,-117.2 39.4,-117.2 39.3,-117.3 39.3))"
11,-117.2,39.3,"POLYGON((-117.2 39.3,-117.2 39.4,-117.1 39.4,-117.1 39.3,-117.2 39.3))"
9,-117.1,39.3,"POLYGON((-117.1 39.3,-117.1 39.4,-117.0 39.4,-117.0 39.3,-117.1 39.3))"
6,-117.0,39.3,"POLYGON((-117.0 39.3,-117.0 39.4,-116.9 39.4,-116.9 39.3,-117.0 39.3))"
2,-116.9,39.3,"POLYGON((-116.9 39.3,-116.9 39.4,-116.8 39.4,-116.8 39.3,-116.9 39.3))"
2,-116.8,39.3,"POLYGON((-116.8 39.3,-116.8 39.4,-116.7 39.4,-116.7 39.3,-116.8 39.3))"
3,-116.7,39.3,"POLYGON((-116.7 39.3,-116.7 39.4,-116.6 39.4,-116.6 39.3,-116.7 39.3))"
4,-117.7,39.4,"POLYGON((-117.7 39.4,-117.7 39.5,-117.6 39.5,-117.6 39.4,-117.7 39.4))"
3,-117.6,39.4,"POLYGON((-117.6 39.4,-117.6 39.5,-117.5 39.5,-117.5 39.4,-117.6 39.4))"
2,-117.5,39.4,"POLYGON((-117.5 39.4,-117.5 39.5,-117.4 39.5,-117.4 39.4,-117.5 39.4))"
3,-117.4,39.4,"POLYGON((-117.4 39.4,-117.4 39.5,-117.3 39.5,-117.3 39.4,-117.4 39.4))"
40,-117.3,39.4,"POLYGON((-117.3 39.4,-117.3 39.5,-117.2 39.5,-117.2 39.4,-117.3 39.4))"
12,-117.2,39.4,"POLYGON((-117.2 39.4,-117.2 39.5,-117.1 39.5,-117.1 39.4,-117.2 39.4))"
649,-117.1,39.4,"POLYGON((-117.1 39.4,-117.1 39.5,-117.0 39.5,-117.0 39.4,-117.1 39.4))"
14,-117.0,39.4,"POLYGON((-117.0 39.4,-117.0 39.5,-116.9 39.5,-116.9 39.4,-117.0 39.4))"
4,-116.9,39.4,"POLYGON((-116.9 39.4,-116.9 39.5,-116.8 39.5,-116.8 39.4,-116.9 39.4))"
1,-116.8,39.4,"POLYGON((-116.8 39.4,-116.8 39.5,-116.7 39.5,-116.7 39.4,-116.8 39.4))"
11,-116.7,39.4,"POLYGON((-116.7 39.4,-116.7 39.5,-116.6 39.5,-116.6 39.4,-116.7 39.4))"
6,-117.5,39.5,"POLYGON((-117.5 39.5,-117.5 39.6,-117.4 39.6,-117.4 39.5,-117.5 39.5))"
4,-117.4,39.5,"POLYGON((-117.4 39.5,-117.4 39.6,-117.3 39.6,-117.3 39.5,-117.4 39.5))"
2,-117.3,39.5,"POLYGON((-117.3 39.5,-117.3 39.6,-117.2 39.6,-117.2 39.5,-117.3 39.5))"
22,-117.2,39.5,"POLYGON((-117.2 39.5,-117.2 39.6,-117.1 39.6,-117.1 39.5,-117.2 39.5))"
63,-117.1,39.5,"POLYGON((-117.1 39.5,-117.1 39.6,-117.0 39.6,-117.0 39.5,-117.1 39.5))"
9,-117.0,39.5,"POLYGON((-117.0 39.5,-117.0 39.6,-116.9 39.6,-116.9 39.5,-117.0 39.5))"
3,-116.9,39.5,"POLYGON((-116.9 39.5,-116.9 39.6,-116.8 39.6,-116.8 39.5,-116.9 39.5))"
8,-116.8,39.5,"POLYGON((-116.8 39.5,-116.8 39.6,-116.7 39.6,-116.7 39.5,-116.8 39.5))"
23,-116.7,39.5,"POLYGON((-116.7 39.5,-116.7 39.6,-116.6 39.6,-116.6 39.5,-116.7 39.5))"
15,-117.5,39.6,"POLYGON((-117.5 39.6,-117.5 39.7,-117.4 39.7,-117.4 39.6,-117.5 39.6))"
3,-117.4,39.6,"POLYGON((-117.4 39.6,-117.4 39.7,-117.3 39.7,-117.3 39.6,-117.4 39.6))"
3,-117.3,39.6,"POLYGON((-117.3 39.6,-117.3 39.7,-117.2 39.7,-117.2 39.6,-117.3 39.6))"
13,-117.2,39.6,"POLYGON((-117.2 39.6,-117.2 39.7,-117.1 39.7,-117.1 39.6,-117.2 39.6))"
11,-117.1,39.6,"POLYGON((-117.1 39.6,-117.1 39.7,-117.0 39.7,-117.0 39.6,-117.1 39.6))"
6,-117.0,39.6,"POLYGON((-117.0 39.6,-117.0 39.7,-116.9 39.7,-116.9 39.6,-117.0 39.6))"
7,-116.9,39.6,"POLYGON((-116.9 39.6,-116.9 39.7,-116.8 39.7,-116.8 39.6,-116.9 39.6))"
1,-116.8,39.6,"POLYGON((-116.8 39.6,-116.8 39.7,-116.7 39.7,-116.7 39.6,-116.8 39.6))"
5,-116.7,39.6,"POLYGON((-116.7 39.6,-116.7 39.7,-116.6 39.7,-116.6 39.6,-116.7 39.6))"
3,-117.5,39.7,"POLYGON((-117.5 39.7,-117.5 39.8,-117.4 39.8,-117.4 39.7,-117.5 39.7))"
1,-117.4,39.7,"POLYGON((-117.4 39.7,-117.4 39.8,-117.3 39.8,-117.3 39.7,-117.4 39.7))"
15,-117.3,39.7,"POLYGON((-117.3 39.7,-117.3 39.8,-117.2 39.8,-117.2 39.7,-117.3 39.7))"
9,-117.2,39.7,"POLYGON((-117.2 39.7,-117.2 39.8,-117.1 39.8,-117.1 39.7,-117.2 39.7))"
5,-117.1,39.7,"POLYGON((-117.1 39.7,-117.1 39.8,-117.0 39.8,-117.0 39.7,-117.1 39.7))"
1,-117.0,39.7,"POLYGON((-117.0 39.7,-117.0 39.8,-116.9 39.8,-116.9 39.7,-117.0 39.7))"
5,-116.9,39.7,"POLYGON((-116.9 39.7,-116.9 39.8,-116.8 39.8,-116.8 39.7,-116.9 39.7))"
3,-116.8,39.7,"POLYGON((-116.8 39.7,-116.8 39.8,-116.7 39.8,-116.7 39.7,-116.8 39.7))"
4,-116.7,39.7,"POLYGON((-116.7 39.7,-116.7 39.8,-116.6 39.8,-116.6 39.7,-116.7 39.7))"
1,-116.6,39.7,"POLYGON((-116.6 39.7,-116.6 39.8,-116.5 39.8,-116.5 39.7,-116.6 39.7))"
1,-117.5,39.8,"POLYGON((-117.5 39.8,-117.5 39.9,-117.4 39.9,-117.4 39.8,-117.5 39.8))"
1,-117.4,39.8,"POLYGON((-117.4 39.8,-117.4 39.9,-117.3 39.9,-117.3 39.8,-117.4 39.8))"
1,-117.3,39.8,"POLYGON((-117.3 39.8,-117.3 39.9,-117.2 39.9,-117.2 39.8,-117.3 39.8))"
5,-117.2,39.8,"POLYGON((-117.2 39.8,-117.2 39.9,-117.1 39.9,-117.1 39.8,-117.2 39.8))"
5,-117.1,39.8,"POLYGON((-117.1 39.8,-117.1 39.9,-117.0 39.9,-117.0 39.8,-117.1 39.8))"
2,-117.0,39.8,"POLYGON((-117.0 39.8,-117.0 39.9,-116.9 39.9,-116.9 39.8,-117.0 39.8))"
2,-116.9,39.8,"POLYGON((-116.9 39.8,-116.9 39.9,-116.8 39.9,-116.8 39.8,-116.9 39.8))"
1,-116.8,39.8,"POLYGON((-116.8 39.8,-116.8 39.9,-116.7 39.9,-116.7 39.8,-116.8 39.8))"
5,-116.7,39.8,"POLYGON((-116.7 39.8,-116.7 39.9,-116.6 39.9,-116.6 39.8,-116.7 39.8))"
2,-116.6,39.8,"POLYGON((-116.6 39.8,-116.6 39.9,-116.5 39.9,-116.5 39.8,-116.6 39.8))"
2,-117.6,39.9,"POLYGON((-117.6 39.9,-117.6 40.0,-117.5 40.0,-117.5 39.9,-117.6 39.9))"
15,-117.5,39.9,"POLYGON((-117.5 39.9,-117.5 40.0,-117.4 40.0,-117.4 39.9,-117.5 39.9))"
11,-117.4,39.9,"POLYGON((-117.4 39.9,-117.4 40.0,-117.3 40.0,-117.3 39.9,-117.4 39.9))"
2,-117.3,39.9,"POLYGON((-117.3 39.9,-117.3 40.0,-117.2 40.0,-117.2 39.9,-117.3 39.9))"
10,-117.2,39.9,"POLYGON((-117.2 39.9,-117.2 40.0,-117.1 40.0,-117.1 39.9,-117.2 39.9))"
1,-117.1,39.9,"POLYGON((-117.1 39.9,-117.1 40.0,-117.0 40.0,-117.0 39.9,-117.1 39.9))"
2,-117.0,39.9,"POLYGON((-117.0 39.9,-117.0 40.0,-116.9 40.0,-116.9 39.9,-117.0 39.9))"
1,-116.8,39.9,"POLYGON((-116.8 39.9,-116.8 40.0,-116.7 40.0,-116.7 39.9,-116.8 39.9))"
4,-116.7,39.9,"POLYGON((-116.7 39.9,-116.7 40.0,-116.6 40.0,-116.6 39.9,-116.7 39.9))"
1,-116.6,39.9,"POLYGON((-116.6 39.9,-116.6 40.0,-116.5 40.0,-116.5 39.9,-116.6 39.9))"
1,-117.6,40.0,"POLYGON((-117.6 40.0,-117.6 40.1,-117.5 40.1,-117.5 40.0,-117.6 40.0))"
4,-117.5,40.0,"POLYGON((-117.5 40.0,-117.5 40.1,-117.4 40.1,-117.4 40.0,-117.5 40.0))"
15,-117.4,40.0,"POLYGON((-117.4 40.0,-117.4 40.1,-117.3 40.1,-117.3 40.0,-117.4 40.0))"
29,-117.3,40.0,"POLYGON((-117.3 40.0,-117.3 40.1,-117.2 40.1,-117.2 40.0,-117.3 40.0))"
12,-117.2,40.0,"POLYGON((-117.2 40.0,-117.2 40.1,-117.1 40.1,-117.1 40.0,-117.2 40.0))"
2,-117.1,40.0,"POLYGON((-117.1 40.0,-117.1 40.1,-117.0 40.1,-117.0 40.0,-117.1 40.0))"
11,-117.0,40.0,"POLYGON((-117.0 40.0,-117.0 40.1,-116.9 40.1,-116.9 40.0,-117.0 40.0))"
1,-116.8,40.0,"POLYGON((-116.8 40.0,-116.8 40.1,-116.7 40.1,-116.7 40.0,-116.8 40.0))"
3,-116.7,40.0,"POLYGON((-116.7 40.0,-116.7 40.1,-116.6 40.1,-116.6 40.0,-116.7 40.0))"
3,-117.5,40.1,"POLYGON((-117.5 40.1,-117.5 40.2,-117.4 40.2,-117.4 40.1,-117.5 40.1))"
