count,lon,lat,area
72,-73.7,42.9,"POLYGON((-73.7 42.9,-73.7 43.0,-73.6 43.0,-73.6 42.9,-73.7 42.9))"
371,-73.6,42.9,"POLYGON((-73.6 42.9,-73.6 43.0,-73.5 43.0,-73.5 42.9,-73.6 42.9))"
481,-73.5,42.9,"POLYGON((-73.5 42.9,-73.5 43.0,-73.4 43.0,-73.4 42.9,-73.5 42.9))"
601,-73.4,42.9,"POLYGON((-73.4 42.9,-73.4 43.0,-73.3 43.0,-73.3 42.9,-73.4 42.9))"
201,-73.3,42.9,"POLYGON((-73.3 42.9,-73.3 43.0,-73.2 43.0,-73.2 42.9,-73.3 42.9))"
1223,-73.6,43.0,"POLYGON((-73.6 43.0,-73.6 43.1,-73.5 43.1,-73.5 43.0,-73.6 43.0))"
1255,-73.5,43.0,"POLYGON((-73.5 43.0,-73.5 43.1,-73.4 43.1,-73.4 43.0,-73.5 43.0))"
2076,-73.4,43.0,"POLYGON((-73.4 43.0,-73.4 43.1,-73.3 43.1,-73.3 43.0,-73.4 43.0))"
140,-73.3,43.0,"POLYGON((-73.3 43.0,-73.3 43.1,-73.2 43.1,-73.2 43.0,-73.3 43.0))"
1090,-73.6,43.1,"POLYGON((-73.6 43.1,-73.6 43.2,-73.5 43.2,-73.5 43.1,-73.6 43.1))"
1077,-73.5,43.1,"POLYGON((-73.5 43.1,-73.5 43.2,-73.4 43.2,-73.4 43.1,-73.5 43.1))"
1749,-73.4,43.1,"POLYGON((-73.4 43.1,-73.4 43.2,-73.3 43.2,-73.3 43.1,-73.4 43.1))"
209,-73.3,43.1,"POLYGON((-73.3 43.1,-73.3 43.2,-73.2 43.2,-73.2 43.1,-73.3 43.1))"
5,-73.7,43.2,"POLYGON((-73.7 43.2,-73.7 43.3,-73.6 43.3,-73.6 43.2,-73.7 43.2))"
3928,-73.6,43.2,"POLYGON((-73.6 43.2,-73.6 43.3,-73.5 43.3,-73.5 43.2,-73.6 43.2))"
1748,-73.5,43.2,"POLYGON((-73.5 43.2,-73.5 43.3,-73.4 43.3,-73.4 43.2,-73.5 43.2))"
852,-73.4,43.2,"POLYGON((-73.4 43.2,-73.4 43.3,-73.3 43.3,-73.3 43.2,-73.4 43.2))"
525,-73.3,43.2,"POLYGON((-73.3 43.2,-73.3 43.3,-73.2 43.3,-73.2 43.2,-73.3 43.2))"
149,-73.7,43.3,"POLYGON((-73.7 43.3,-73.7 43.4,-73.6 43.4,-73.6 43.3,-73.7 43.3))"
3746,-73.6,43.3,"POLYGON((-73.6 43.3,-73.6 43.4,-73.5 43.4,-73.5 43.3,-73.6 43.3))"
976,-73.5,43.3,"POLYGON((-73.5 43.3,-73.5 43.4,-73.4 43.4,-73.4 43.3,-73.5 43.3))"
1264,-73.4,43.3,"POLYGON((-73.4 43.3,-73.4 43.4,-73.3 43.4,-73.3 43.3,-73.4 43.3))"
543,-73.3,43.3,"POLYGON((-73.3 43.3,-73.3 43.4,-73.2 43.4,-73.2 43.3,-73.3 43.3))"
381,-73.7,43.4,"POLYGON((-73.7 43.4,-73.7 43.5,-73.6 43.5,-73.6 43.4,-73.7 43.4))"
1256,-73.6,43.4,"POLYGON((-73.6 43.4,-73.6 43.5,-73.5 43.5,-73.5 43.4,-73.6 43.4))"
818,-73.5,43.4,"POLYGON((-73.5 43.4,-73.5 43.5,-73.4 43.5,-73.4 43.4,-73.5 43.4))"
1333,-73.4,43.4,"POLYGON((-73.4 43.4,-73.4 43.5,-73.3 43.5,-73.3 43.4,-73.4 43.4))"
1823,-73.3,43.4,"POLYGON((-73.3 43.4,-73.3 43.5,-73.2 43.5,-73.2 43.4,-73.3 43.4))"
192,-73.7,43.5,"POLYGON((-73.7 43.5,-73.7 43.6,-73.6 43.6,-73.6 43.5,-73.7 43.5))"
211,-73.6,43.5,"POLYGON((-73.6 43.5,-73.6 43.6,-73.5 43.6,-73.5 43.5,-73.6 43.5))"
1125,-73.5,43.5,"POLYGON((-73.5 43.5,-73.5 43.6,-73.4 43.6,-73.4 43.5,-73.5 43.5))"
1328,-73.4,43.5,"POLYGON((-73.4 43.5,-73.4 43.6,-73.3 43.6,-73.3 43.5,-73.4 43.5))"
481,-73.3,43.5,"POLYGON((-73.3 43.5,-73.3 43.6,-73.2 43.6,-73.2 43.5,-73.3 43.5))"
383,-73.6,43.6,"POLYGON((-73.6 43.6,-73.6 43.7,-73.5 43.7,-73.5 43.6,-73.6 43.6))"
387,-73.5,43.6,"POLYGON((-73.5 43.6,-73.5 43.7,-73.4 43.7,-73.4 43.6,-73.5 43.6))"
144,-73.4,43.6,"POLYGON((-73.4 43.6,-73.4 43.7,-73.3 43.7,-73.3 43.6,-73.4 43.6))"
5,-73.3,43.6,"POLYGON((-73.3 43.6,-73.3 43.7,-73.2 43.7,-73.2 43.6,-73.3 43.6))"
810,-73.5,43.7,"POLYGON((-73.5 43.7,-73.5 43.8,-73.4 43.8,-73.4 43.7,-73.5 43.7))"
170,-73.4,43.7,"POLYGON((-73.4 43.7,-73.4 43.8,-73.3 43.8,-73.3 43.7,-73.4 43.7))"
38,-73.5,43.8,"POLYGON((-73.5 43.8,-73.5 43.9,-73.4 43.9,-73.4 43.8,-73.5 43.8))"
17,-73.4,43.8,"POLYGON((-73.4 43.8,-73.4 43.9,-73.3 43.9,-73.3 43.8,-73.4 43.8))"
