count,lon,lat,area
320,-81.3,39.8,"POLYGON((-81.3 39.8,-81.3 39.9,-81.2 39.9,-81.2 39.8,-81.3 39.8))"
621,-81.2,39.8,"POLYGON((-81.2 39.8,-81.2 39.9,-81.1 39.9,-81.1 39.8,-81.2 39.8))"
662,-81.1,39.8,"POLYGON((-81.1 39.8,-81.1 39.9,-81.0 39.9,-81.0 39.8,-81.1 39.8))"
1068,-81.0,39.8,"POLYGON((-81.0 39.8,-81.0 39.9,-80.9 39.9,-80.9 39.8,-81.0 39.8))"
1139,-80.9,39.8,"POLYGON((-80.9 39.8,-80.9 39.9,-80.8 39.9,-80.8 39.8,-80.9 39.8))"
126,-80.8,39.8,"POLYGON((-80.8 39.8,-80.8 39.9,-80.7 39.9,-80.7 39.8,-80.8 39.8))"
751,-81.3,39.9,"POLYGON((-81.3 39.9,-81.3 40.0,-81.2 40.0,-81.2 39.9,-81.3 39.9))"
1388,-81.2,39.9,"POLYGON((-81.2 39.9,-81.2 40.0,-81.1 40.0,-81.1 39.9,-81.2 39.9))"
1488,-81.1,39.9,"POLYGON((-81.1 39.9,-81.1 40.0,-81.0 40.0,-81.0 39.9,-81.1 39.9))"
1736,-81.0,39.9,"POLYGON((-81.0 39.9,-81.0 40.0,-80.9 40.0,-80.9 39.9,-81.0 39.9))"
1992,-80.9,39.9,"POLYGON((-80.9 39.9,-80.9 40.0,-80.8 40.0,-80.8 39.9,-80.9 39.9))"
932,-80.8,39.9,"POLYGON((-80.8 39.9,-80.8 40.0,-80.7 40.0,-80.7 39.9,-80.8 39.9))"
666,-81.3,40.0,"POLYGON((-81.3 40.0,-81.3 40.1,-81.2 40.1,-81.2 40.0,-81.3 40.0))"
1340,-81.2,40.0,"POLYGON((-81.2 40.0,-81.2 40.1,-81.1 40.1,-81.1 40.0,-81.2 40.0))"
1169,-81.1,40.0,"POLYGON((-81.1 40.0,-81.1 40.1,-81.0 40.1,-81.0 40.0,-81.1 40.0))"
1153,-81.0,40.0,"POLYGON((-81.0 40.0,-81.0 40.1,-80.9 40.1,-80.9 40.0,-81.0 40.0))"
1540,-80.9,40.0,"POLYGON((-80.9 40.0,-80.9 40.1,-80.8 40.1,-80.8 40.0,-80.9 40.0))"
1194,-80.8,40.0,"POLYGON((-80.8 40.0,-80.8 40.1,-80.7 40.1,-80.7 40.0,-80.8 40.0))"
712,-81.3,40.1,"POLYGON((-81.3 40.1,-81.3 40.2,-81.2 40.2,-81.2 40.1,-81.3 40.1))"
1496,-81.2,40.1,"POLYGON((-81.2 40.1,-81.2 40.2,-81.1 40.2,-81.1 40.1,-81.2 40.1))"
990,-81.1,40.1,"POLYGON((-81.1 40.1,-81.1 40.2,-81.0 40.2,-81.0 40.1,-81.1 40.1))"
919,-81.0,40.1,"POLYGON((-81.0 40.1,-81.0 40.2,-80.9 40.2,-80.9 40.1,-81.0 40.1))"
766,-80.9,40.1,"POLYGON((-80.9 40.1,-80.9 40.2,-80.8 40.2,-80.8 40.1,-80.9 40.1))"
921,-80.8,40.1,"POLYGON((-80.8 40.1,-80.8 40.2,-80.7 40.2,-80.7 40.1,-80.8 40.1))"
