count,lon,lat,area
225,-83.4,41.4,"POLYGON((-83.4 41.4,-83.4 41.5,-83.3 41.5,-83.3 41.4,-83.4 41.4))"
1059,-83.3,41.4,"POLYGON((-83.3 41.4,-83.3 41.5,-83.2 41.5,-83.2 41.4,-83.3 41.4))"
473,-83.2,41.4,"POLYGON((-83.2 41.4,-83.2 41.5,-83.1 41.5,-83.1 41.4,-83.2 41.4))"
405,-83.1,41.4,"POLYGON((-83.1 41.4,-83.1 41.5,-83.0 41.5,-83.0 41.4,-83.1 41.4))"
460,-83.0,41.4,"POLYGON((-83.0 41.4,-83.0 41.5,-82.9 41.5,-82.9 41.4,-83.0 41.4))"
201,-82.9,41.4,"POLYGON((-82.9 41.4,-82.9 41.5,-82.8 41.5,-82.8 41.4,-82.9 41.4))"
200,-82.8,41.4,"POLYGON((-82.8 41.4,-82.8 41.5,-82.7 41.5,-82.7 41.4,-82.8 41.4))"
184,-83.5,41.5,"POLYGON((-83.5 41.5,-83.5 41.6,-83.4 41.6,-83.4 41.5,-83.5 41.5))"
2638,-83.4,41.5,"POLYGON((-83.4 41.5,-83.4 41.6,-83.3 41.6,-83.3 41.5,-83.4 41.5))"
957,-83.3,41.5,"POLYGON((-83.3 41.5,-83.3 41.6,-83.2 41.6,-83.2 41.5,-83.3 41.5))"
2399,-83.2,41.5,"POLYGON((-83.2 41.5,-83.2 41.6,-83.1 41.6,-83.1 41.5,-83.2 41.5))"
1671,-83.1,41.5,"POLYGON((-83.1 41.5,-83.1 41.6,-83.0 41.6,-83.0 41.5,-83.1 41.5))"
4474,-83.0,41.5,"POLYGON((-83.0 41.5,-83.0 41.6,-82.9 41.6,-82.9 41.5,-83.0 41.5))"
7181,-82.9,41.5,"POLYGON((-82.9 41.5,-82.9 41.6,-82.8 41.6,-82.8 41.5,-82.9 41.5))"
4975,-82.8,41.5,"POLYGON((-82.8 41.5,-82.8 41.6,-82.7 41.6,-82.7 41.5,-82.8 41.5))"
104,-83.5,41.6,"POLYGON((-83.5 41.6,-83.5 41.7,-83.4 41.7,-83.4 41.6,-83.5 41.6))"
878,-83.4,41.6,"POLYGON((-83.4 41.6,-83.4 41.7,-83.3 41.7,-83.3 41.6,-83.4 41.6))"
161,-83.3,41.6,"POLYGON((-83.3 41.6,-83.3 41.7,-83.2 41.7,-83.2 41.6,-83.3 41.6))"
776,-83.2,41.6,"POLYGON((-83.2 41.6,-83.2 41.7,-83.1 41.7,-83.1 41.6,-83.2 41.6))"
112,-83.1,41.6,"POLYGON((-83.1 41.6,-83.1 41.7,-83.0 41.7,-83.0 41.6,-83.1 41.6))"
1462,-82.9,41.6,"POLYGON((-82.9 41.6,-82.9 41.7,-82.8 41.7,-82.8 41.6,-82.9 41.6))"
134,-82.8,41.6,"POLYGON((-82.8 41.6,-82.8 41.7,-82.7 41.7,-82.7 41.6,-82.8 41.6))"
6,-82.9,41.7,"POLYGON((-82.9 41.7,-82.9 41.8,-82.8 41.8,-82.8 41.7,-82.9 41.7))"
