count,lon,lat,area
61,-83.3,38.9,"POLYGON((-83.3 38.9,-83.3 39.0,-83.2 39.0,-83.2 38.9,-83.3 38.9))"
233,-83.2,38.9,"POLYGON((-83.2 38.9,-83.2 39.0,-83.1 39.0,-83.1 38.9,-83.2 38.9))"
375,-83.1,38.9,"POLYGON((-83.1 38.9,-83.1 39.0,-83.0 39.0,-83.0 38.9,-83.1 38.9))"
471,-83.0,38.9,"POLYGON((-83.0 38.9,-83.0 39.0,-82.9 39.0,-82.9 38.9,-83.0 38.9))"
391,-82.9,38.9,"POLYGON((-82.9 38.9,-82.9 39.0,-82.8 39.0,-82.8 38.9,-82.9 38.9))"
172,-83.4,39.0,"POLYGON((-83.4 39.0,-83.4 39.1,-83.3 39.1,-83.3 39.0,-83.4 39.0))"
481,-83.3,39.0,"POLYGON((-83.3 39.0,-83.3 39.1,-83.2 39.1,-83.2 39.0,-83.3 39.0))"
1132,-83.2,39.0,"POLYGON((-83.2 39.0,-83.2 39.1,-83.1 39.1,-83.1 39.0,-83.2 39.0))"
1560,-83.1,39.0,"POLYGON((-83.1 39.0,-83.1 39.1,-83.0 39.1,-83.0 39.0,-83.1 39.0))"
1207,-83.0,39.0,"POLYGON((-83.0 39.0,-83.0 39.1,-82.9 39.1,-82.9 39.0,-83.0 39.0))"
928,-82.9,39.0,"POLYGON((-82.9 39.0,-82.9 39.1,-82.8 39.1,-82.8 39.0,-82.9 39.0))"
356,-83.4,39.1,"POLYGON((-83.4 39.1,-83.4 39.2,-83.3 39.2,-83.3 39.1,-83.4 39.1))"
507,-83.3,39.1,"POLYGON((-83.3 39.1,-83.3 39.2,-83.2 39.2,-83.2 39.1,-83.3 39.1))"
903,-83.2,39.1,"POLYGON((-83.2 39.1,-83.2 39.2,-83.1 39.2,-83.1 39.1,-83.2 39.1))"
1661,-83.1,39.1,"POLYGON((-83.1 39.1,-83.1 39.2,-83.0 39.2,-83.0 39.1,-83.1 39.1))"
3189,-83.0,39.1,"POLYGON((-83.0 39.1,-83.0 39.2,-82.9 39.2,-82.9 39.1,-83.0 39.1))"
327,-82.9,39.1,"POLYGON((-82.9 39.1,-82.9 39.2,-82.8 39.2,-82.8 39.1,-82.9 39.1))"
32,-82.8,39.1,"POLYGON((-82.8 39.1,-82.8 39.2,-82.7 39.2,-82.7 39.1,-82.8 39.1))"
