count,lon,lat,area
117,-83.5,41.2,"POLYGON((-83.5 41.2,-83.5 41.3,-83.4 41.3,-83.4 41.2,-83.5 41.2))"
292,-83.4,41.2,"POLYGON((-83.4 41.2,-83.4 41.3,-83.3 41.3,-83.3 41.2,-83.4 41.2))"
325,-83.3,41.2,"POLYGON((-83.3 41.2,-83.3 41.3,-83.2 41.3,-83.2 41.2,-83.3 41.2))"
367,-83.2,41.2,"POLYGON((-83.2 41.2,-83.2 41.3,-83.1 41.3,-83.1 41.2,-83.2 41.2))"
866,-83.1,41.2,"POLYGON((-83.1 41.2,-83.1 41.3,-83.0 41.3,-83.0 41.2,-83.1 41.2))"
1608,-83.0,41.2,"POLYGON((-83.0 41.2,-83.0 41.3,-82.9 41.3,-82.9 41.2,-83.0 41.2))"
2539,-82.9,41.2,"POLYGON((-82.9 41.2,-82.9 41.3,-82.8 41.3,-82.8 41.2,-82.9 41.2))"
127,-83.5,41.3,"POLYGON((-83.5 41.3,-83.5 41.4,-83.4 41.4,-83.4 41.3,-83.5 41.3))"
1881,-83.4,41.3,"POLYGON((-83.4 41.3,-83.4 41.4,-83.3 41.4,-83.3 41.3,-83.4 41.3))"
779,-83.3,41.3,"POLYGON((-83.3 41.3,-83.3 41.4,-83.2 41.4,-83.2 41.3,-83.3 41.3))"
10626,-83.2,41.3,"POLYGON((-83.2 41.3,-83.2 41.4,-83.1 41.4,-83.1 41.3,-83.2 41.3))"
2924,-83.1,41.3,"POLYGON((-83.1 41.3,-83.1 41.4,-83.0 41.4,-83.0 41.3,-83.1 41.3))"
2677,-83.0,41.3,"POLYGON((-83.0 41.3,-83.0 41.4,-82.9 41.4,-82.9 41.3,-83.0 41.3))"
495,-82.9,41.3,"POLYGON((-82.9 41.3,-82.9 41.4,-82.8 41.4,-82.8 41.3,-82.9 41.3))"
138,-83.5,41.4,"POLYGON((-83.5 41.4,-83.5 41.5,-83.4 41.5,-83.4 41.4,-83.5 41.4))"
1545,-83.4,41.4,"POLYGON((-83.4 41.4,-83.4 41.5,-83.3 41.5,-83.3 41.4,-83.4 41.4))"
820,-83.3,41.4,"POLYGON((-83.3 41.4,-83.3 41.5,-83.2 41.5,-83.2 41.4,-83.3 41.4))"
410,-83.2,41.4,"POLYGON((-83.2 41.4,-83.2 41.5,-83.1 41.5,-83.1 41.4,-83.2 41.4))"
698,-83.1,41.4,"POLYGON((-83.1 41.4,-83.1 41.5,-83.0 41.5,-83.0 41.4,-83.1 41.4))"
221,-83.0,41.4,"POLYGON((-83.0 41.4,-83.0 41.5,-82.9 41.5,-82.9 41.4,-83.0 41.4))"
107,-82.9,41.4,"POLYGON((-82.9 41.4,-82.9 41.5,-82.8 41.5,-82.8 41.4,-82.9 41.4))"
2,-83.5,41.5,"POLYGON((-83.5 41.5,-83.5 41.6,-83.4 41.6,-83.4 41.5,-83.5 41.5))"
20,-83.4,41.5,"POLYGON((-83.4 41.5,-83.4 41.6,-83.3 41.6,-83.3 41.5,-83.4 41.5))"
