count,lon,lat,area
64,-81.1,41.1,"POLYGON((-81.1 41.1,-81.1 41.2,-81.0 41.2,-81.0 41.1,-81.1 41.1))"
4191,-81.0,41.1,"POLYGON((-81.0 41.1,-81.0 41.2,-80.9 41.2,-80.9 41.1,-81.0 41.1))"
1968,-80.9,41.1,"POLYGON((-80.9 41.1,-80.9 41.2,-80.8 41.2,-80.8 41.1,-80.9 41.1))"
13111,-80.8,41.1,"POLYGON((-80.8 41.1,-80.8 41.2,-80.7 41.2,-80.7 41.1,-80.8 41.1))"
9911,-80.7,41.1,"POLYGON((-80.7 41.1,-80.7 41.2,-80.6 41.2,-80.6 41.1,-80.7 41.1))"
5396,-80.6,41.1,"POLYGON((-80.6 41.1,-80.6 41.2,-80.5 41.2,-80.5 41.1,-80.6 41.1))"
53,-81.1,41.2,"POLYGON((-81.1 41.2,-81.1 41.3,-81.0 41.3,-81.0 41.2,-81.1 41.2))"
2350,-81.0,41.2,"POLYGON((-81.0 41.2,-81.0 41.3,-80.9 41.3,-80.9 41.2,-81.0 41.2))"
17710,-80.9,41.2,"POLYGON((-80.9 41.2,-80.9 41.3,-80.8 41.3,-80.8 41.2,-80.9 41.2))"
19813,-80.8,41.2,"POLYGON((-80.8 41.2,-80.8 41.3,-80.7 41.3,-80.7 41.2,-80.8 41.2))"
2910,-80.7,41.2,"POLYGON((-80.7 41.2,-80.7 41.3,-80.6 41.3,-80.6 41.2,-80.7 41.2))"
4467,-80.6,41.2,"POLYGON((-80.6 41.2,-80.6 41.3,-80.5 41.3,-80.5 41.2,-80.6 41.2))"
34,-81.1,41.3,"POLYGON((-81.1 41.3,-81.1 41.4,-81.0 41.4,-81.0 41.3,-81.1 41.3))"
1584,-81.0,41.3,"POLYGON((-81.0 41.3,-81.0 41.4,-80.9 41.4,-80.9 41.3,-81.0 41.3))"
2980,-80.9,41.3,"POLYGON((-80.9 41.3,-80.9 41.4,-80.8 41.4,-80.8 41.3,-80.9 41.3))"
5242,-80.8,41.3,"POLYGON((-80.8 41.3,-80.8 41.4,-80.7 41.4,-80.7 41.3,-80.8 41.3))"
1448,-80.7,41.3,"POLYGON((-80.7 41.3,-80.7 41.4,-80.6 41.4,-80.6 41.3,-80.7 41.3))"
1091,-80.6,41.3,"POLYGON((-80.6 41.3,-80.6 41.4,-80.5 41.4,-80.5 41.3,-80.6 41.3))"
137,-81.1,41.4,"POLYGON((-81.1 41.4,-81.1 41.5,-81.0 41.5,-81.0 41.4,-81.1 41.4))"
927,-81.0,41.4,"POLYGON((-81.0 41.4,-81.0 41.5,-80.9 41.5,-80.9 41.4,-81.0 41.4))"
815,-80.9,41.4,"POLYGON((-80.9 41.4,-80.9 41.5,-80.8 41.5,-80.8 41.4,-80.9 41.4))"
684,-80.8,41.4,"POLYGON((-80.8 41.4,-80.8 41.5,-80.7 41.5,-80.7 41.4,-80.8 41.4))"
684,-80.7,41.4,"POLYGON((-80.7 41.4,-80.7 41.5,-80.6 41.5,-80.6 41.4,-80.7 41.4))"
881,-80.6,41.4,"POLYGON((-80.6 41.4,-80.6 41.5,-80.5 41.5,-80.5 41.4,-80.6 41.4))"
4,-81.1,41.5,"POLYGON((-81.1 41.5,-81.1 41.6,-81.0 41.6,-81.0 41.5,-81.1 41.5))"
2,-81.0,41.5,"POLYGON((-81.0 41.5,-81.0 41.6,-80.9 41.6,-80.9 41.5,-81.0 41.5))"
13,-80.9,41.5,"POLYGON((-80.9 41.5,-80.9 41.6,-80.8 41.6,-80.8 41.5,-80.9 41.5))"
