count,lon,lat,area
392,-124.1,42.8,"POLYGON((-124.1 42.8,-124.1 42.9,-124.0 42.9,-124.0 42.8,-124.1 42.8))"
1,-123.9,42.8,"POLYGON((-123.9 42.8,-123.9 42.9,-123.8 42.9,-123.8 42.8,-123.9 42.8))"
144,-124.5,42.9,"POLYGON((-124.5 42.9,-124.5 43.0,-124.4 43.0,-124.4 42.9,-124.5 42.9))"
16,-124.4,42.9,"POLYGON((-124.4 42.9,-124.4 43.0,-124.3 43.0,-124.3 42.9,-124.4 42.9))"
14,-124.3,42.9,"POLYGON((-124.3 42.9,-124.3 43.0,-124.2 43.0,-124.2 42.9,-124.3 42.9))"
96,-124.2,42.9,"POLYGON((-124.2 42.9,-124.2 43.0,-124.1 43.0,-124.1 42.9,-124.2 42.9))"
88,-124.1,42.9,"POLYGON((-124.1 42.9,-124.1 43.0,-124.0 43.0,-124.0 42.9,-124.1 42.9))"
17,-124.0,42.9,"POLYGON((-124.0 42.9,-124.0 43.0,-123.9 43.0,-123.9 42.9,-124.0 42.9))"
6,-123.9,42.9,"POLYGON((-123.9 42.9,-123.9 43.0,-123.8 43.0,-123.8 42.9,-123.9 42.9))"
1039,-124.5,43.0,"POLYGON((-124.5 43.0,-124.5 43.1,-124.4 43.1,-124.4 43.0,-124.5 43.0))"
315,-124.4,43.0,"POLYGON((-124.4 43.0,-124.4 43.1,-124.3 43.1,-124.3 43.0,-124.4 43.0))"
108,-124.3,43.0,"POLYGON((-124.3 43.0,-124.3 43.1,-124.2 43.1,-124.2 43.0,-124.3 43.0))"
1598,-124.2,43.0,"POLYGON((-124.2 43.0,-124.2 43.1,-124.1 43.1,-124.1 43.0,-124.2 43.0))"
198,-124.1,43.0,"POLYGON((-124.1 43.0,-124.1 43.1,-124.0 43.1,-124.0 43.0,-124.1 43.0))"
86,-124.0,43.0,"POLYGON((-124.0 43.0,-124.0 43.1,-123.9 43.1,-123.9 43.0,-124.0 43.0))"
29,-123.9,43.0,"POLYGON((-123.9 43.0,-123.9 43.1,-123.8 43.1,-123.8 43.0,-123.9 43.0))"
1,-123.8,43.0,"POLYGON((-123.8 43.0,-123.8 43.1,-123.7 43.1,-123.7 43.0,-123.8 43.0))"
1704,-124.5,43.1,"POLYGON((-124.5 43.1,-124.5 43.2,-124.4 43.2,-124.4 43.1,-124.5 43.1))"
1318,-124.4,43.1,"POLYGON((-124.4 43.1,-124.4 43.2,-124.3 43.2,-124.3 43.1,-124.4 43.1))"
683,-124.3,43.1,"POLYGON((-124.3 43.1,-124.3 43.2,-124.2 43.2,-124.2 43.1,-124.3 43.1))"
2359,-124.2,43.1,"POLYGON((-124.2 43.1,-124.2 43.2,-124.1 43.2,-124.1 43.1,-124.2 43.1))"
204,-124.1,43.1,"POLYGON((-124.1 43.1,-124.1 43.2,-124.0 43.2,-124.0 43.1,-124.1 43.1))"
99,-124.0,43.1,"POLYGON((-124.0 43.1,-124.0 43.2,-123.9 43.2,-123.9 43.1,-124.0 43.1))"
37,-123.9,43.1,"POLYGON((-123.9 43.1,-123.9 43.2,-123.8 43.2,-123.8 43.1,-123.9 43.1))"
285,-124.4,43.2,"POLYGON((-124.4 43.2,-124.4 43.3,-124.3 43.3,-124.3 43.2,-124.4 43.2))"
663,-124.3,43.2,"POLYGON((-124.3 43.2,-124.3 43.3,-124.2 43.3,-124.2 43.2,-124.3 43.2))"
388,-124.2,43.2,"POLYGON((-124.2 43.2,-124.2 43.3,-124.1 43.3,-124.1 43.2,-124.2 43.2))"
273,-124.1,43.2,"POLYGON((-124.1 43.2,-124.1 43.3,-124.0 43.3,-124.0 43.2,-124.1 43.2))"
20,-124.0,43.2,"POLYGON((-124.0 43.2,-124.0 43.3,-123.9 43.3,-123.9 43.2,-124.0 43.2))"
1370,-124.4,43.3,"POLYGON((-124.4 43.3,-124.4 43.4,-124.3 43.4,-124.3 43.3,-124.4 43.3))"
8314,-124.3,43.3,"POLYGON((-124.3 43.3,-124.3 43.4,-124.2 43.4,-124.2 43.3,-124.3 43.3))"
1922,-124.2,43.3,"POLYGON((-124.2 43.3,-124.2 43.4,-124.1 43.4,-124.1 43.3,-124.2 43.3))"
147,-124.1,43.3,"POLYGON((-124.1 43.3,-124.1 43.4,-124.0 43.4,-124.0 43.3,-124.1 43.3))"
1,-124.0,43.3,"POLYGON((-124.0 43.3,-124.0 43.4,-123.9 43.4,-123.9 43.3,-124.0 43.3))"
3021,-124.3,43.4,"POLYGON((-124.3 43.4,-124.3 43.5,-124.2 43.5,-124.2 43.4,-124.3 43.4))"
724,-124.2,43.4,"POLYGON((-124.2 43.4,-124.2 43.5,-124.1 43.5,-124.1 43.4,-124.2 43.4))"
164,-124.1,43.4,"POLYGON((-124.1 43.4,-124.1 43.5,-124.0 43.5,-124.0 43.4,-124.1 43.4))"
39,-124.0,43.4,"POLYGON((-124.0 43.4,-124.0 43.5,-123.9 43.5,-123.9 43.4,-124.0 43.4))"
525,-124.3,43.5,"POLYGON((-124.3 43.5,-124.3 43.6,-124.2 43.6,-124.2 43.5,-124.3 43.5))"
1632,-124.2,43.5,"POLYGON((-124.2 43.5,-124.2 43.6,-124.1 43.6,-124.1 43.5,-124.2 43.5))"
14,-124.1,43.5,"POLYGON((-124.1 43.5,-124.1 43.6,-124.0 43.6,-124.0 43.5,-124.1 43.5))"
39,-124.2,43.6,"POLYGON((-124.2 43.6,-124.2 43.7,-124.1 43.7,-124.1 43.6,-124.2 43.6))"
2,-124.1,43.6,"POLYGON((-124.1 43.6,-124.1 43.7,-124.0 43.7,-124.0 43.6,-124.1 43.6))"
