count,lon,lat,area
1,-119.4,41.9,"POLYGON((-119.4 41.9,-119.4 42.0,-119.3 42.0,-119.3 41.9,-119.4 41.9))"
7,-118.7,41.9,"POLYGON((-118.7 41.9,-118.7 42.0,-118.6 42.0,-118.6 41.9,-118.7 41.9))"
2,-118.4,41.9,"POLYGON((-118.4 41.9,-118.4 42.0,-118.3 42.0,-118.3 41.9,-118.4 41.9))"
2,-119.4,42.0,"POLYGON((-119.4 42.0,-119.4 42.1,-119.3 42.1,-119.3 42.0,-119.4 42.0))"
1,-119.3,42.0,"POLYGON((-119.3 42.0,-119.3 42.1,-119.2 42.1,-119.2 42.0,-119.3 42.0))"
2,-119.2,42.0,"POLYGON((-119.2 42.0,-119.2 42.1,-119.1 42.1,-119.1 42.0,-119.2 42.0))"
2,-119.1,42.0,"POLYGON((-119.1 42.0,-119.1 42.1,-119.0 42.1,-119.0 42.0,-119.1 42.0))"
2,-119.0,42.0,"POLYGON((-119.0 42.0,-119.0 42.1,-118.9 42.1,-118.9 42.0,-119.0 42.0))"
5,-118.9,42.0,"POLYGON((-118.9 42.0,-118.9 42.1,-118.8 42.1,-118.8 42.0,-118.9 42.0))"
2,-118.8,42.0,"POLYGON((-118.8 42.0,-118.8 42.1,-118.7 42.1,-118.7 42.0,-118.8 42.0))"
16,-118.7,42.0,"POLYGON((-118.7 42.0,-118.7 42.1,-118.6 42.1,-118.6 42.0,-118.7 42.0))"
20,-118.6,42.0,"POLYGON((-118.6 42.0,-118.6 42.1,-118.5 42.1,-118.5 42.0,-118.6 42.0))"
22,-118.5,42.0,"POLYGON((-118.5 42.0,-118.5 42.1,-118.4 42.1,-118.4 42.0,-118.5 42.0))"
19,-118.4,42.0,"POLYGON((-118.4 42.0,-118.4 42.1,-118.3 42.1,-118.3 42.0,-118.4 42.0))"
20,-118.3,42.0,"POLYGON((-118.3 42.0,-118.3 42.1,-118.2 42.1,-118.2 42.0,-118.3 42.0))"
2,-119.4,42.1,"POLYGON((-119.4 42.1,-119.4 42.2,-119.3 42.2,-119.3 42.1,-119.4 42.1))"
1,-119.3,42.1,"POLYGON((-119.3 42.1,-119.3 42.2,-119.2 42.2,-119.2 42.1,-119.3 42.1))"
4,-119.2,42.1,"POLYGON((-119.2 42.1,-119.2 42.2,-119.1 42.2,-119.1 42.1,-119.2 42.1))"
3,-119.1,42.1,"POLYGON((-119.1 42.1,-119.1 42.2,-119.0 42.2,-119.0 42.1,-119.1 42.1))"
1,-119.0,42.1,"POLYGON((-119.0 42.1,-119.0 42.2,-118.9 42.2,-118.9 42.1,-119.0 42.1))"
4,-118.9,42.1,"POLYGON((-118.9 42.1,-118.9 42.2,-118.8 42.2,-118.8 42.1,-118.9 42.1))"
8,-118.8,42.1,"POLYGON((-118.8 42.1,-118.8 42.2,-118.7 42.2,-118.7 42.1,-118.8 42.1))"
10,-118.7,42.1,"POLYGON((-118.7 42.1,-118.7 42.2,-118.6 42.2,-118.6 42.1,-118.7 42.1))"
72,-118.6,42.1,"POLYGON((-118.6 42.1,-118.6 42.2,-118.5 42.2,-118.5 42.1,-118.6 42.1))"
19,-118.5,42.1,"POLYGON((-118.5 42.1,-118.5 42.2,-118.4 42.2,-118.4 42.1,-118.5 42.1))"
18,-118.4,42.1,"POLYGON((-118.4 42.1,-118.4 42.2,-118.3 42.2,-118.3 42.1,-118.4 42.1))"
16,-118.3,42.1,"POLYGON((-118.3 42.1,-118.3 42.2,-118.2 42.2,-118.2 42.1,-118.3 42.1))"
2,-119.4,42.2,"POLYGON((-119.4 42.2,-119.4 42.3,-119.3 42.3,-119.3 42.2,-119.4 42.2))"
1,-119.2,42.2,"POLYGON((-119.2 42.2,-119.2 42.3,-119.1 42.3,-119.1 42.2,-119.2 42.2))"
1,-119.1,42.2,"POLYGON((-119.1 42.2,-119.1 42.3,-119.0 42.3,-119.0 42.2,-119.1 42.2))"
1,-119.0,42.2,"POLYGON((-119.0 42.2,-119.0 42.3,-118.9 42.3,-118.9 42.2,-119.0 42.2))"
7,-118.9,42.2,"POLYGON((-118.9 42.2,-118.9 42.3,-118.8 42.3,-118.8 42.2,-118.9 42.2))"
13,-118.8,42.2,"POLYGON((-118.8 42.2,-118.8 42.3,-118.7 42.3,-118.7 42.2,-118.8 42.2))"
33,-118.7,42.2,"POLYGON((-118.7 42.2,-118.7 42.3,-118.6 42.3,-118.6 42.2,-118.7 42.2))"
5,-118.6,42.2,"POLYGON((-118.6 42.2,-118.6 42.3,-118.5 42.3,-118.5 42.2,-118.6 42.2))"
2,-118.5,42.2,"POLYGON((-118.5 42.2,-118.5 42.3,-118.4 42.3,-118.4 42.2,-118.5 42.2))"
7,-118.4,42.2,"POLYGON((-118.4 42.2,-118.4 42.3,-118.3 42.3,-118.3 42.2,-118.4 42.2))"
6,-118.3,42.2,"POLYGON((-118.3 42.2,-118.3 42.3,-118.2 42.3,-118.2 42.2,-118.3 42.2))"
1,-118.2,42.2,"POLYGON((-118.2 42.2,-118.2 42.3,-118.1 42.3,-118.1 42.2,-118.2 42.2))"
15,-119.4,42.3,"POLYGON((-119.4 42.3,-119.4 42.4,-119.3 42.4,-119.3 42.3,-119.4 42.3))"
2,-119.3,42.3,"POLYGON((-119.3 42.3,-119.3 42.4,-119.2 42.4,-119.2 42.3,-119.3 42.3))"
1,-119.2,42.3,"POLYGON((-119.2 42.3,-119.2 42.4,-119.1 42.4,-119.1 42.3,-119.2 42.3))"
2,-119.1,42.3,"POLYGON((-119.1 42.3,-119.1 42.4,-119.0 42.4,-119.0 42.3,-119.1 42.3))"
18,-119.0,42.3,"POLYGON((-119.0 42.3,-119.0 42.4,-118.9 42.4,-118.9 42.3,-119.0 42.3))"
11,-118.9,42.3,"POLYGON((-118.9 42.3,-118.9 42.4,-118.8 42.4,-118.8 42.3,-118.9 42.3))"
14,-118.8,42.3,"POLYGON((-118.8 42.3,-118.8 42.4,-118.7 42.4,-118.7 42.3,-118.8 42.3))"
24,-118.7,42.3,"POLYGON((-118.7 42.3,-118.7 42.4,-118.6 42.4,-118.6 42.3,-118.7 42.3))"
3,-118.6,42.3,"POLYGON((-118.6 42.3,-118.6 42.4,-118.5 42.4,-118.5 42.3,-118.6 42.3))"
5,-118.5,42.3,"POLYGON((-118.5 42.3,-118.5 42.4,-118.4 42.4,-118.4 42.3,-118.5 42.3))"
40,-118.4,42.3,"POLYGON((-118.4 42.3,-118.4 42.4,-118.3 42.4,-118.3 42.3,-118.4 42.3))"
67,-118.3,42.3,"POLYGON((-118.3 42.3,-118.3 42.4,-118.2 42.4,-118.2 42.3,-118.3 42.3))"
58,-119.4,42.4,"POLYGON((-119.4 42.4,-119.4 42.5,-119.3 42.5,-119.3 42.4,-119.4 42.4))"
107,-119.3,42.4,"POLYGON((-119.3 42.4,-119.3 42.5,-119.2 42.5,-119.2 42.4,-119.3 42.4))"
76,-119.2,42.4,"POLYGON((-119.2 42.4,-119.2 42.5,-119.1 42.5,-119.1 42.4,-119.2 42.4))"
125,-119.1,42.4,"POLYGON((-119.1 42.4,-119.1 42.5,-119.0 42.5,-119.0 42.4,-119.1 42.4))"
91,-119.0,42.4,"POLYGON((-119.0 42.4,-119.0 42.5,-118.9 42.5,-118.9 42.4,-119.0 42.4))"
100,-118.9,42.4,"POLYGON((-118.9 42.4,-118.9 42.5,-118.8 42.5,-118.8 42.4,-118.9 42.4))"
15,-118.8,42.4,"POLYGON((-118.8 42.4,-118.8 42.5,-118.7 42.5,-118.7 42.4,-118.8 42.4))"
131,-118.7,42.4,"POLYGON((-118.7 42.4,-118.7 42.5,-118.6 42.5,-118.6 42.4,-118.7 42.4))"
58,-118.6,42.4,"POLYGON((-118.6 42.4,-118.6 42.5,-118.5 42.5,-118.5 42.4,-118.6 42.4))"
20,-118.5,42.4,"POLYGON((-118.5 42.4,-118.5 42.5,-118.4 42.5,-118.4 42.4,-118.5 42.4))"
23,-118.4,42.4,"POLYGON((-118.4 42.4,-118.4 42.5,-118.3 42.5,-118.3 42.4,-118.4 42.4))"
13,-118.3,42.4,"POLYGON((-118.3 42.4,-118.3 42.5,-118.2 42.5,-118.2 42.4,-118.3 42.4))"
2,-119.4,42.5,"POLYGON((-119.4 42.5,-119.4 42.6,-119.3 42.6,-119.3 42.5,-119.4 42.5))"
8,-119.3,42.5,"POLYGON((-119.3 42.5,-119.3 42.6,-119.2 42.6,-119.2 42.5,-119.3 42.5))"
34,-119.2,42.5,"POLYGON((-119.2 42.5,-119.2 42.6,-119.1 42.6,-119.1 42.5,-119.2 42.5))"
33,-119.1,42.5,"POLYGON((-119.1 42.5,-119.1 42.6,-119.0 42.6,-119.0 42.5,-119.1 42.5))"
30,-119.0,42.5,"POLYGON((-119.0 42.5,-119.0 42.6,-118.9 42.6,-118.9 42.5,-119.0 42.5))"
15,-118.9,42.5,"POLYGON((-118.9 42.5,-118.9 42.6,-118.8 42.6,-118.8 42.5,-118.9 42.5))"
18,-118.8,42.5,"POLYGON((-118.8 42.5,-118.8 42.6,-118.7 42.6,-118.7 42.5,-118.8 42.5))"
29,-118.7,42.5,"POLYGON((-118.7 42.5,-118.7 42.6,-118.6 42.6,-118.6 42.5,-118.7 42.5))"
35,-118.6,42.5,"POLYGON((-118.6 42.5,-118.6 42.6,-118.5 42.6,-118.5 42.5,-118.6 42.5))"
5,-118.5,42.5,"POLYGON((-118.5 42.5,-118.5 42.6,-118.4 42.6,-118.4 42.5,-118.5 42.5))"
1,-118.4,42.5,"POLYGON((-118.4 42.5,-118.4 42.6,-118.3 42.6,-118.3 42.5,-118.4 42.5))"
1,-118.3,42.5,"POLYGON((-118.3 42.5,-118.3 42.6,-118.2 42.6,-118.2 42.5,-118.3 42.5))"
3,-119.4,42.6,"POLYGON((-119.4 42.6,-119.4 42.7,-119.3 42.7,-119.3 42.6,-119.4 42.6))"
4,-119.3,42.6,"POLYGON((-119.3 42.6,-119.3 42.7,-119.2 42.7,-119.2 42.6,-119.3 42.6))"
26,-119.2,42.6,"POLYGON((-119.2 42.6,-119.2 42.7,-119.1 42.7,-119.1 42.6,-119.2 42.6))"
18,-119.1,42.6,"POLYGON((-119.1 42.6,-119.1 42.7,-119.0 42.7,-119.0 42.6,-119.1 42.6))"
22,-119.0,42.6,"POLYGON((-119.0 42.6,-119.0 42.7,-118.9 42.7,-118.9 42.6,-119.0 42.6))"
3,-118.9,42.6,"POLYGON((-118.9 42.6,-118.9 42.7,-118.8 42.7,-118.8 42.6,-118.9 42.6))"
7,-118.8,42.6,"POLYGON((-118.8 42.6,-118.8 42.7,-118.7 42.7,-118.7 42.6,-118.8 42.6))"
12,-118.7,42.6,"POLYGON((-118.7 42.6,-118.7 42.7,-118.6 42.7,-118.6 42.6,-118.7 42.6))"
4,-118.6,42.6,"POLYGON((-118.6 42.6,-118.6 42.7,-118.5 42.7,-118.5 42.6,-118.6 42.6))"
4,-118.5,42.6,"POLYGON((-118.5 42.6,-118.5 42.7,-118.4 42.7,-118.4 42.6,-118.5 42.6))"
2,-118.4,42.6,"POLYGON((-118.4 42.6,-118.4 42.7,-118.3 42.7,-118.3 42.6,-118.4 42.6))"
2,-118.3,42.6,"POLYGON((-118.3 42.6,-118.3 42.7,-118.2 42.7,-118.2 42.6,-118.3 42.6))"
2,-120.0,42.7,"POLYGON((-120.0 42.7,-120.0 42.8,-119.9 42.8,-119.9 42.7,-120.0 42.7))"
4,-119.9,42.7,"POLYGON((-119.9 42.7,-119.9 42.8,-119.8 42.8,-119.8 42.7,-119.9 42.7))"
1,-119.8,42.7,"POLYGON((-119.8 42.7,-119.8 42.8,-119.7 42.8,-119.7 42.7,-119.8 42.7))"
8,-119.7,42.7,"POLYGON((-119.7 42.7,-119.7 42.8,-119.6 42.8,-119.6 42.7,-119.7 42.7))"
2,-119.6,42.7,"POLYGON((-119.6 42.7,-119.6 42.8,-119.5 42.8,-119.5 42.7,-119.6 42.7))"
1,-119.5,42.7,"POLYGON((-119.5 42.7,-119.5 42.8,-119.4 42.8,-119.4 42.7,-119.5 42.7))"
2,-119.4,42.7,"POLYGON((-119.4 42.7,-119.4 42.8,-119.3 42.8,-119.3 42.7,-119.4 42.7))"
6,-119.3,42.7,"POLYGON((-119.3 42.7,-119.3 42.8,-119.2 42.8,-119.2 42.7,-119.3 42.7))"
30,-119.2,42.7,"POLYGON((-119.2 42.7,-119.2 42.8,-119.1 42.8,-119.1 42.7,-119.2 42.7))"
39,-119.1,42.7,"POLYGON((-119.1 42.7,-119.1 42.8,-119.0 42.8,-119.0 42.7,-119.1 42.7))"
