count,lon,lat,area
3,-121.7,41.9,"POLYGON((-121.7 41.9,-121.7 42.0,-121.6 42.0,-121.6 41.9,-121.7 41.9))"
10,-121.6,41.9,"POLYGON((-121.6 41.9,-121.6 42.0,-121.5 42.0,-121.5 41.9,-121.6 41.9))"
18,-121.5,41.9,"POLYGON((-121.5 41.9,-121.5 42.0,-121.4 42.0,-121.4 41.9,-121.5 41.9))"
10,-121.4,41.9,"POLYGON((-121.4 41.9,-121.4 42.0,-121.3 42.0,-121.3 41.9,-121.4 41.9))"
4,-121.3,41.9,"POLYGON((-121.3 41.9,-121.3 42.0,-121.2 42.0,-121.2 41.9,-121.3 41.9))"
20,-122.3,42.0,"POLYGON((-122.3 42.0,-122.3 42.1,-122.2 42.1,-122.2 42.0,-122.3 42.0))"
21,-122.2,42.0,"POLYGON((-122.2 42.0,-122.2 42.1,-122.1 42.1,-122.1 42.0,-122.2 42.0))"
43,-122.1,42.0,"POLYGON((-122.1 42.0,-122.1 42.1,-122.0 42.1,-122.0 42.0,-122.1 42.0))"
136,-122.0,42.0,"POLYGON((-122.0 42.0,-122.0 42.1,-121.9 42.1,-121.9 42.0,-122.0 42.0))"
41,-121.9,42.0,"POLYGON((-121.9 42.0,-121.9 42.1,-121.8 42.1,-121.8 42.0,-121.9 42.0))"
22,-121.8,42.0,"POLYGON((-121.8 42.0,-121.8 42.1,-121.7 42.1,-121.7 42.0,-121.8 42.0))"
388,-121.7,42.0,"POLYGON((-121.7 42.0,-121.7 42.1,-121.6 42.1,-121.6 42.0,-121.7 42.0))"
471,-121.6,42.0,"POLYGON((-121.6 42.0,-121.6 42.1,-121.5 42.1,-121.5 42.0,-121.6 42.0))"
754,-121.5,42.0,"POLYGON((-121.5 42.0,-121.5 42.1,-121.4 42.1,-121.4 42.0,-121.5 42.0))"
238,-121.4,42.0,"POLYGON((-121.4 42.0,-121.4 42.1,-121.3 42.1,-121.3 42.0,-121.4 42.0))"
149,-121.3,42.0,"POLYGON((-121.3 42.0,-121.3 42.1,-121.2 42.1,-121.2 42.0,-121.3 42.0))"
36,-121.2,42.0,"POLYGON((-121.2 42.0,-121.2 42.1,-121.1 42.1,-121.1 42.0,-121.2 42.0))"
12,-121.1,42.0,"POLYGON((-121.1 42.0,-121.1 42.1,-121.0 42.1,-121.0 42.0,-121.1 42.0))"
