count,lon,lat,area
40,-123.1,45.3,"POLYGON((-123.1 45.3,-123.1 45.4,-123.0 45.4,-123.0 45.3,-123.1 45.3))"
1096,-123.0,45.3,"POLYGON((-123.0 45.3,-123.0 45.4,-122.9 45.4,-122.9 45.3,-123.0 45.3))"
11624,-122.9,45.3,"POLYGON((-122.9 45.3,-122.9 45.4,-122.8 45.4,-122.8 45.3,-122.9 45.3))"
13493,-122.8,45.3,"POLYGON((-122.8 45.3,-122.8 45.4,-122.7 45.4,-122.7 45.3,-122.8 45.3))"
1,-123.5,45.4,"POLYGON((-123.5 45.4,-123.5 45.5,-123.4 45.5,-123.4 45.4,-123.5 45.4))"
12,-123.4,45.4,"POLYGON((-123.4 45.4,-123.4 45.5,-123.3 45.5,-123.3 45.4,-123.4 45.4))"
375,-123.3,45.4,"POLYGON((-123.3 45.4,-123.3 45.5,-123.2 45.5,-123.2 45.4,-123.3 45.4))"
1146,-123.2,45.4,"POLYGON((-123.2 45.4,-123.2 45.5,-123.1 45.5,-123.1 45.4,-123.2 45.4))"
1594,-123.1,45.4,"POLYGON((-123.1 45.4,-123.1 45.5,-123.0 45.5,-123.0 45.4,-123.1 45.4))"
4907,-123.0,45.4,"POLYGON((-123.0 45.4,-123.0 45.5,-122.9 45.5,-122.9 45.4,-123.0 45.4))"
57842,-122.9,45.4,"POLYGON((-122.9 45.4,-122.9 45.5,-122.8 45.5,-122.8 45.4,-122.9 45.4))"
34116,-122.8,45.4,"POLYGON((-122.8 45.4,-122.8 45.5,-122.7 45.5,-122.7 45.4,-122.8 45.4))"
1,-123.5,45.5,"POLYGON((-123.5 45.5,-123.5 45.6,-123.4 45.6,-123.4 45.5,-123.5 45.5))"
15,-123.4,45.5,"POLYGON((-123.4 45.5,-123.4 45.6,-123.3 45.6,-123.3 45.5,-123.4 45.5))"
469,-123.3,45.5,"POLYGON((-123.3 45.5,-123.3 45.6,-123.2 45.6,-123.2 45.5,-123.3 45.5))"
6654,-123.2,45.5,"POLYGON((-123.2 45.5,-123.2 45.6,-123.1 45.6,-123.1 45.5,-123.2 45.5))"
8217,-123.1,45.5,"POLYGON((-123.1 45.5,-123.1 45.6,-123.0 45.6,-123.0 45.5,-123.1 45.5))"
32008,-123.0,45.5,"POLYGON((-123.0 45.5,-123.0 45.6,-122.9 45.6,-122.9 45.5,-123.0 45.5))"
51586,-122.9,45.5,"POLYGON((-122.9 45.5,-122.9 45.6,-122.8 45.6,-122.8 45.5,-122.9 45.5))"
11270,-122.8,45.5,"POLYGON((-122.8 45.5,-122.8 45.6,-122.7 45.6,-122.7 45.5,-122.8 45.5))"
14,-123.5,45.6,"POLYGON((-123.5 45.6,-123.5 45.7,-123.4 45.7,-123.4 45.6,-123.5 45.6))"
117,-123.4,45.6,"POLYGON((-123.4 45.6,-123.4 45.7,-123.3 45.7,-123.3 45.6,-123.4 45.6))"
780,-123.3,45.6,"POLYGON((-123.3 45.6,-123.3 45.7,-123.2 45.7,-123.2 45.6,-123.3 45.6))"
2313,-123.2,45.6,"POLYGON((-123.2 45.6,-123.2 45.7,-123.1 45.7,-123.1 45.6,-123.2 45.6))"
1342,-123.1,45.6,"POLYGON((-123.1 45.6,-123.1 45.7,-123.0 45.7,-123.0 45.6,-123.1 45.6))"
964,-123.0,45.6,"POLYGON((-123.0 45.6,-123.0 45.7,-122.9 45.7,-122.9 45.6,-123.0 45.6))"
85,-122.9,45.6,"POLYGON((-122.9 45.6,-122.9 45.7,-122.8 45.7,-122.8 45.6,-122.9 45.6))"
4,-123.5,45.7,"POLYGON((-123.5 45.7,-123.5 45.8,-123.4 45.8,-123.4 45.7,-123.5 45.7))"
117,-123.4,45.7,"POLYGON((-123.4 45.7,-123.4 45.8,-123.3 45.8,-123.3 45.7,-123.4 45.7))"
608,-123.3,45.7,"POLYGON((-123.3 45.7,-123.3 45.8,-123.2 45.8,-123.2 45.7,-123.3 45.7))"
357,-123.2,45.7,"POLYGON((-123.2 45.7,-123.2 45.8,-123.1 45.8,-123.1 45.7,-123.2 45.7))"
232,-123.1,45.7,"POLYGON((-123.1 45.7,-123.1 45.8,-123.0 45.8,-123.0 45.7,-123.1 45.7))"
30,-123.0,45.7,"POLYGON((-123.0 45.7,-123.0 45.8,-122.9 45.8,-122.9 45.7,-123.0 45.7))"
