count,lon,lat,area
302,-123.7,45.0,"POLYGON((-123.7 45.0,-123.7 45.1,-123.6 45.1,-123.6 45.0,-123.7 45.0))"
276,-123.6,45.0,"POLYGON((-123.6 45.0,-123.6 45.1,-123.5 45.1,-123.5 45.0,-123.6 45.0))"
1739,-123.5,45.0,"POLYGON((-123.5 45.0,-123.5 45.1,-123.4 45.1,-123.4 45.0,-123.5 45.0))"
783,-123.4,45.0,"POLYGON((-123.4 45.0,-123.4 45.1,-123.3 45.1,-123.3 45.0,-123.4 45.0))"
111,-123.3,45.0,"POLYGON((-123.3 45.0,-123.3 45.1,-123.2 45.1,-123.2 45.0,-123.3 45.0))"
293,-123.2,45.0,"POLYGON((-123.2 45.0,-123.2 45.1,-123.1 45.1,-123.1 45.0,-123.2 45.0))"
148,-123.1,45.0,"POLYGON((-123.1 45.0,-123.1 45.1,-123.0 45.1,-123.0 45.0,-123.1 45.0))"
42,-123.8,45.1,"POLYGON((-123.8 45.1,-123.8 45.2,-123.7 45.2,-123.7 45.1,-123.8 45.1))"
10,-123.7,45.1,"POLYGON((-123.7 45.1,-123.7 45.2,-123.6 45.2,-123.6 45.1,-123.7 45.1))"
121,-123.6,45.1,"POLYGON((-123.6 45.1,-123.6 45.2,-123.5 45.2,-123.5 45.1,-123.6 45.1))"
511,-123.5,45.1,"POLYGON((-123.5 45.1,-123.5 45.2,-123.4 45.2,-123.4 45.1,-123.5 45.1))"
1110,-123.4,45.1,"POLYGON((-123.4 45.1,-123.4 45.2,-123.3 45.2,-123.3 45.1,-123.4 45.1))"
4482,-123.3,45.1,"POLYGON((-123.3 45.1,-123.3 45.2,-123.2 45.2,-123.2 45.1,-123.3 45.1))"
2529,-123.2,45.1,"POLYGON((-123.2 45.1,-123.2 45.2,-123.1 45.2,-123.1 45.1,-123.2 45.1))"
494,-123.1,45.1,"POLYGON((-123.1 45.1,-123.1 45.2,-123.0 45.2,-123.0 45.1,-123.1 45.1))"
1,-123.8,45.2,"POLYGON((-123.8 45.2,-123.8 45.3,-123.7 45.3,-123.7 45.2,-123.8 45.2))"
7,-123.5,45.2,"POLYGON((-123.5 45.2,-123.5 45.3,-123.4 45.3,-123.4 45.2,-123.5 45.2))"
237,-123.4,45.2,"POLYGON((-123.4 45.2,-123.4 45.3,-123.3 45.3,-123.3 45.2,-123.4 45.2))"
22941,-123.3,45.2,"POLYGON((-123.3 45.2,-123.3 45.3,-123.2 45.3,-123.2 45.2,-123.3 45.2))"
21211,-123.2,45.2,"POLYGON((-123.2 45.2,-123.2 45.3,-123.1 45.3,-123.1 45.2,-123.2 45.2))"
3266,-123.1,45.2,"POLYGON((-123.1 45.2,-123.1 45.3,-123.0 45.3,-123.0 45.2,-123.1 45.2))"
3503,-123.0,45.2,"POLYGON((-123.0 45.2,-123.0 45.3,-122.9 45.3,-122.9 45.2,-123.0 45.2))"
217,-122.9,45.2,"POLYGON((-122.9 45.2,-122.9 45.3,-122.8 45.3,-122.8 45.2,-122.9 45.2))"
4,-123.5,45.3,"POLYGON((-123.5 45.3,-123.5 45.4,-123.4 45.4,-123.4 45.3,-123.5 45.3))"
134,-123.4,45.3,"POLYGON((-123.4 45.3,-123.4 45.4,-123.3 45.4,-123.3 45.3,-123.4 45.3))"
520,-123.3,45.3,"POLYGON((-123.3 45.3,-123.3 45.4,-123.2 45.4,-123.2 45.3,-123.3 45.3))"
1284,-123.2,45.3,"POLYGON((-123.2 45.3,-123.2 45.4,-123.1 45.4,-123.1 45.3,-123.2 45.3))"
1119,-123.1,45.3,"POLYGON((-123.1 45.3,-123.1 45.4,-123.0 45.4,-123.0 45.3,-123.1 45.3))"
7136,-123.0,45.3,"POLYGON((-123.0 45.3,-123.0 45.4,-122.9 45.4,-122.9 45.3,-123.0 45.3))"
72,-122.9,45.3,"POLYGON((-122.9 45.3,-122.9 45.4,-122.8 45.4,-122.8 45.3,-122.9 45.3))"
1,-123.4,45.4,"POLYGON((-123.4 45.4,-123.4 45.5,-123.3 45.5,-123.3 45.4,-123.4 45.4))"
65,-123.3,45.4,"POLYGON((-123.3 45.4,-123.3 45.5,-123.2 45.5,-123.2 45.4,-123.3 45.4))"
254,-123.2,45.4,"POLYGON((-123.2 45.4,-123.2 45.5,-123.1 45.5,-123.1 45.4,-123.2 45.4))"
70,-123.1,45.4,"POLYGON((-123.1 45.4,-123.1 45.5,-123.0 45.5,-123.0 45.4,-123.1 45.4))"
