count,lon,lat,area
32,-76.9,41.5,"POLYGON((-76.9 41.5,-76.9 41.6,-76.8 41.6,-76.8 41.5,-76.9 41.5))"
5,-76.8,41.5,"POLYGON((-76.8 41.5,-76.8 41.6,-76.7 41.6,-76.7 41.5,-76.8 41.5))"
58,-76.7,41.5,"POLYGON((-76.7 41.5,-76.7 41.6,-76.6 41.6,-76.6 41.5,-76.7 41.5))"
163,-76.6,41.5,"POLYGON((-76.6 41.5,-76.6 41.6,-76.5 41.6,-76.5 41.5,-76.6 41.5))"
379,-76.5,41.5,"POLYGON((-76.5 41.5,-76.5 41.6,-76.4 41.6,-76.4 41.5,-76.5 41.5))"
331,-76.4,41.5,"POLYGON((-76.4 41.5,-76.4 41.6,-76.3 41.6,-76.3 41.5,-76.4 41.5))"
253,-76.3,41.5,"POLYGON((-76.3 41.5,-76.3 41.6,-76.2 41.6,-76.2 41.5,-76.3 41.5))"
2007,-76.9,41.6,"POLYGON((-76.9 41.6,-76.9 41.7,-76.8 41.7,-76.8 41.6,-76.9 41.6))"
464,-76.8,41.6,"POLYGON((-76.8 41.6,-76.8 41.7,-76.7 41.7,-76.7 41.6,-76.8 41.6))"
347,-76.7,41.6,"POLYGON((-76.7 41.6,-76.7 41.7,-76.6 41.7,-76.6 41.6,-76.7 41.6))"
258,-76.6,41.6,"POLYGON((-76.6 41.6,-76.6 41.7,-76.5 41.7,-76.5 41.6,-76.6 41.6))"
630,-76.5,41.6,"POLYGON((-76.5 41.6,-76.5 41.7,-76.4 41.7,-76.4 41.6,-76.5 41.6))"
633,-76.4,41.6,"POLYGON((-76.4 41.6,-76.4 41.7,-76.3 41.7,-76.3 41.6,-76.4 41.6))"
1356,-76.3,41.6,"POLYGON((-76.3 41.6,-76.3 41.7,-76.2 41.7,-76.2 41.6,-76.3 41.6))"
403,-76.2,41.6,"POLYGON((-76.2 41.6,-76.2 41.7,-76.1 41.7,-76.1 41.6,-76.2 41.6))"
735,-76.9,41.7,"POLYGON((-76.9 41.7,-76.9 41.8,-76.8 41.8,-76.8 41.7,-76.9 41.7))"
1569,-76.8,41.7,"POLYGON((-76.8 41.7,-76.8 41.8,-76.7 41.8,-76.7 41.7,-76.8 41.7))"
590,-76.7,41.7,"POLYGON((-76.7 41.7,-76.7 41.8,-76.6 41.8,-76.6 41.7,-76.7 41.7))"
821,-76.6,41.7,"POLYGON((-76.6 41.7,-76.6 41.8,-76.5 41.8,-76.5 41.7,-76.6 41.7))"
4082,-76.5,41.7,"POLYGON((-76.5 41.7,-76.5 41.8,-76.4 41.8,-76.4 41.7,-76.5 41.7))"
1178,-76.4,41.7,"POLYGON((-76.4 41.7,-76.4 41.8,-76.3 41.8,-76.3 41.7,-76.4 41.7))"
751,-76.3,41.7,"POLYGON((-76.3 41.7,-76.3 41.8,-76.2 41.8,-76.2 41.7,-76.3 41.7))"
550,-76.2,41.7,"POLYGON((-76.2 41.7,-76.2 41.8,-76.1 41.8,-76.1 41.7,-76.2 41.7))"
19,-77.0,41.8,"POLYGON((-77.0 41.8,-77.0 41.9,-76.9 41.9,-76.9 41.8,-77.0 41.8))"
756,-76.9,41.8,"POLYGON((-76.9 41.8,-76.9 41.9,-76.8 41.9,-76.8 41.8,-76.9 41.8))"
679,-76.8,41.8,"POLYGON((-76.8 41.8,-76.8 41.9,-76.7 41.9,-76.7 41.8,-76.8 41.8))"
687,-76.7,41.8,"POLYGON((-76.7 41.8,-76.7 41.9,-76.6 41.9,-76.6 41.8,-76.7 41.8))"
903,-76.6,41.8,"POLYGON((-76.6 41.8,-76.6 41.9,-76.5 41.9,-76.5 41.8,-76.6 41.8))"
802,-76.5,41.8,"POLYGON((-76.5 41.8,-76.5 41.9,-76.4 41.9,-76.4 41.8,-76.5 41.8))"
1015,-76.4,41.8,"POLYGON((-76.4 41.8,-76.4 41.9,-76.3 41.9,-76.3 41.8,-76.4 41.8))"
