count,lon,lat,area
45,-80.6,41.8,"POLYGON((-80.6 41.8,-80.6 41.9,-80.5 41.9,-80.5 41.8,-80.6 41.8))"
294,-80.5,41.8,"POLYGON((-80.5 41.8,-80.5 41.9,-80.4 41.9,-80.4 41.8,-80.5 41.8))"
1331,-80.4,41.8,"POLYGON((-80.4 41.8,-80.4 41.9,-80.3 41.9,-80.3 41.8,-80.4 41.8))"
299,-80.3,41.8,"POLYGON((-80.3 41.8,-80.3 41.9,-80.2 41.9,-80.2 41.8,-80.3 41.8))"
2491,-80.2,41.8,"POLYGON((-80.2 41.8,-80.2 41.9,-80.1 41.9,-80.1 41.8,-80.2 41.8))"
521,-80.1,41.8,"POLYGON((-80.1 41.8,-80.1 41.9,-80.0 41.9,-80.0 41.8,-80.1 41.8))"
579,-80.0,41.8,"POLYGON((-80.0 41.8,-80.0 41.9,-79.9 41.9,-79.9 41.8,-80.0 41.8))"
1268,-79.9,41.8,"POLYGON((-79.9 41.8,-79.9 41.9,-79.8 41.9,-79.8 41.8,-79.9 41.8))"
217,-79.8,41.8,"POLYGON((-79.8 41.8,-79.8 41.9,-79.7 41.9,-79.7 41.8,-79.8 41.8))"
223,-79.7,41.8,"POLYGON((-79.7 41.8,-79.7 41.9,-79.6 41.9,-79.6 41.8,-79.7 41.8))"
61,-80.6,41.9,"POLYGON((-80.6 41.9,-80.6 42.0,-80.5 42.0,-80.5 41.9,-80.6 41.9))"
1539,-80.5,41.9,"POLYGON((-80.5 41.9,-80.5 42.0,-80.4 42.0,-80.4 41.9,-80.5 41.9))"
1687,-80.4,41.9,"POLYGON((-80.4 41.9,-80.4 42.0,-80.3 42.0,-80.3 41.9,-80.4 41.9))"
871,-80.3,41.9,"POLYGON((-80.3 41.9,-80.3 42.0,-80.2 42.0,-80.2 41.9,-80.3 41.9))"
1335,-80.2,41.9,"POLYGON((-80.2 41.9,-80.2 42.0,-80.1 42.0,-80.1 41.9,-80.2 41.9))"
1060,-80.1,41.9,"POLYGON((-80.1 41.9,-80.1 42.0,-80.0 42.0,-80.0 41.9,-80.1 41.9))"
1665,-80.0,41.9,"POLYGON((-80.0 41.9,-80.0 42.0,-79.9 42.0,-79.9 41.9,-80.0 41.9))"
1031,-79.9,41.9,"POLYGON((-79.9 41.9,-79.9 42.0,-79.8 42.0,-79.8 41.9,-79.9 41.9))"
624,-79.8,41.9,"POLYGON((-79.8 41.9,-79.8 42.0,-79.7 42.0,-79.7 41.9,-79.8 41.9))"
3508,-79.7,41.9,"POLYGON((-79.7 41.9,-79.7 42.0,-79.6 42.0,-79.6 41.9,-79.7 41.9))"
97,-80.5,42.0,"POLYGON((-80.5 42.0,-80.5 42.1,-80.4 42.1,-80.4 42.0,-80.5 42.0))"
2972,-80.4,42.0,"POLYGON((-80.4 42.0,-80.4 42.1,-80.3 42.1,-80.3 42.0,-80.4 42.0))"
4622,-80.3,42.0,"POLYGON((-80.3 42.0,-80.3 42.1,-80.2 42.1,-80.2 42.0,-80.3 42.0))"
18248,-80.2,42.0,"POLYGON((-80.2 42.0,-80.2 42.1,-80.1 42.1,-80.1 42.0,-80.2 42.0))"
11352,-80.1,42.0,"POLYGON((-80.1 42.0,-80.1 42.1,-80.0 42.1,-80.0 42.0,-80.1 42.0))"
1843,-80.0,42.0,"POLYGON((-80.0 42.0,-80.0 42.1,-79.9 42.1,-79.9 42.0,-80.0 42.0))"
882,-79.9,42.0,"POLYGON((-79.9 42.0,-79.9 42.1,-79.8 42.1,-79.8 42.0,-79.9 42.0))"
113,-79.8,42.0,"POLYGON((-79.8 42.0,-79.8 42.1,-79.7 42.1,-79.7 42.0,-79.8 42.0))"
7197,-80.2,42.1,"POLYGON((-80.2 42.1,-80.2 42.2,-80.1 42.2,-80.1 42.1,-80.2 42.1))"
32113,-80.1,42.1,"POLYGON((-80.1 42.1,-80.1 42.2,-80.0 42.2,-80.0 42.1,-80.1 42.1))"
4608,-80.0,42.1,"POLYGON((-80.0 42.1,-80.0 42.2,-79.9 42.2,-79.9 42.1,-80.0 42.1))"
1204,-79.9,42.1,"POLYGON((-79.9 42.1,-79.9 42.2,-79.8 42.2,-79.8 42.1,-79.9 42.1))"
314,-79.8,42.1,"POLYGON((-79.8 42.1,-79.8 42.2,-79.7 42.2,-79.7 42.1,-79.8 42.1))"
206,-80.0,42.2,"POLYGON((-80.0 42.2,-80.0 42.3,-79.9 42.3,-79.9 42.2,-80.0 42.2))"
3386,-79.9,42.2,"POLYGON((-79.9 42.2,-79.9 42.3,-79.8 42.3,-79.8 42.2,-79.9 42.2))"
447,-79.8,42.2,"POLYGON((-79.8 42.2,-79.8 42.3,-79.7 42.3,-79.7 42.2,-79.8 42.2))"
