count,lon,lat,area
66,-77.7,40.2,"POLYGON((-77.7 40.2,-77.7 40.3,-77.6 40.3,-77.6 40.2,-77.7 40.2))"
241,-77.6,40.2,"POLYGON((-77.6 40.2,-77.6 40.3,-77.5 40.3,-77.5 40.2,-77.6 40.2))"
46,-77.5,40.2,"POLYGON((-77.5 40.2,-77.5 40.3,-77.4 40.3,-77.4 40.2,-77.5 40.2))"
103,-77.4,40.2,"POLYGON((-77.4 40.2,-77.4 40.3,-77.3 40.3,-77.3 40.2,-77.4 40.2))"
184,-77.3,40.2,"POLYGON((-77.3 40.2,-77.3 40.3,-77.2 40.3,-77.2 40.2,-77.3 40.2))"
104,-77.2,40.2,"POLYGON((-77.2 40.2,-77.2 40.3,-77.1 40.3,-77.1 40.2,-77.2 40.2))"
53,-77.7,40.3,"POLYGON((-77.7 40.3,-77.7 40.4,-77.6 40.4,-77.6 40.3,-77.7 40.3))"
649,-77.6,40.3,"POLYGON((-77.6 40.3,-77.6 40.4,-77.5 40.4,-77.5 40.3,-77.6 40.3))"
658,-77.5,40.3,"POLYGON((-77.5 40.3,-77.5 40.4,-77.4 40.4,-77.4 40.3,-77.5 40.3))"
1301,-77.4,40.3,"POLYGON((-77.4 40.3,-77.4 40.4,-77.3 40.4,-77.3 40.3,-77.4 40.3))"
1234,-77.3,40.3,"POLYGON((-77.3 40.3,-77.3 40.4,-77.2 40.4,-77.2 40.3,-77.3 40.3))"
2501,-77.2,40.3,"POLYGON((-77.2 40.3,-77.2 40.4,-77.1 40.4,-77.1 40.3,-77.2 40.3))"
1790,-77.1,40.3,"POLYGON((-77.1 40.3,-77.1 40.4,-77.0 40.4,-77.0 40.3,-77.1 40.3))"
1991,-77.0,40.3,"POLYGON((-77.0 40.3,-77.0 40.4,-76.9 40.4,-76.9 40.3,-77.0 40.3))"
13,-77.6,40.4,"POLYGON((-77.6 40.4,-77.6 40.5,-77.5 40.5,-77.5 40.4,-77.6 40.4))"
286,-77.5,40.4,"POLYGON((-77.5 40.4,-77.5 40.5,-77.4 40.5,-77.4 40.4,-77.5 40.4))"
838,-77.4,40.4,"POLYGON((-77.4 40.4,-77.4 40.5,-77.3 40.5,-77.3 40.4,-77.4 40.4))"
1061,-77.3,40.4,"POLYGON((-77.3 40.4,-77.3 40.5,-77.2 40.5,-77.2 40.4,-77.3 40.4))"
3564,-77.2,40.4,"POLYGON((-77.2 40.4,-77.2 40.5,-77.1 40.5,-77.1 40.4,-77.2 40.4))"
2011,-77.1,40.4,"POLYGON((-77.1 40.4,-77.1 40.5,-77.0 40.5,-77.0 40.4,-77.1 40.4))"
456,-77.0,40.4,"POLYGON((-77.0 40.4,-77.0 40.5,-76.9 40.5,-76.9 40.4,-77.0 40.4))"
201,-77.3,40.5,"POLYGON((-77.3 40.5,-77.3 40.6,-77.2 40.6,-77.2 40.5,-77.3 40.5))"
935,-77.2,40.5,"POLYGON((-77.2 40.5,-77.2 40.6,-77.1 40.6,-77.1 40.5,-77.2 40.5))"
687,-77.1,40.5,"POLYGON((-77.1 40.5,-77.1 40.6,-77.0 40.6,-77.0 40.5,-77.1 40.5))"
986,-77.0,40.5,"POLYGON((-77.0 40.5,-77.0 40.6,-76.9 40.6,-76.9 40.5,-77.0 40.5))"
22,-77.1,40.6,"POLYGON((-77.1 40.6,-77.1 40.7,-77.0 40.7,-77.0 40.6,-77.1 40.6))"
81,-77.0,40.6,"POLYGON((-77.0 40.6,-77.0 40.7,-76.9 40.7,-76.9 40.6,-77.0 40.6))"
