count,lon,lat,area
1,-80.5,32.8,"POLYGON((-80.5 32.8,-80.5 32.9,-80.4 32.9,-80.4 32.8,-80.5 32.8))"
139,-80.4,32.8,"POLYGON((-80.4 32.8,-80.4 32.9,-80.3 32.9,-80.3 32.8,-80.4 32.8))"
195,-80.3,32.8,"POLYGON((-80.3 32.8,-80.3 32.9,-80.2 32.9,-80.2 32.8,-80.3 32.8))"
257,-80.2,32.8,"POLYGON((-80.2 32.8,-80.2 32.9,-80.1 32.9,-80.1 32.8,-80.2 32.8))"
296,-80.1,32.8,"POLYGON((-80.1 32.8,-80.1 32.9,-80.0 32.9,-80.0 32.8,-80.1 32.8))"
6,-80.5,32.9,"POLYGON((-80.5 32.9,-80.5 33.0,-80.4 33.0,-80.4 32.9,-80.5 32.9))"
420,-80.4,32.9,"POLYGON((-80.4 32.9,-80.4 33.0,-80.3 33.0,-80.3 32.9,-80.4 32.9))"
9714,-80.3,32.9,"POLYGON((-80.3 32.9,-80.3 33.0,-80.2 33.0,-80.2 32.9,-80.3 32.9))"
29211,-80.2,32.9,"POLYGON((-80.2 32.9,-80.2 33.0,-80.1 33.0,-80.1 32.9,-80.2 32.9))"
2911,-80.1,32.9,"POLYGON((-80.1 32.9,-80.1 33.0,-80.0 33.0,-80.0 32.9,-80.1 32.9))"
10,-80.7,33.0,"POLYGON((-80.7 33.0,-80.7 33.1,-80.6 33.1,-80.6 33.0,-80.7 33.0))"
184,-80.6,33.0,"POLYGON((-80.6 33.0,-80.6 33.1,-80.5 33.1,-80.5 33.0,-80.6 33.0))"
298,-80.5,33.0,"POLYGON((-80.5 33.0,-80.5 33.1,-80.4 33.1,-80.4 33.0,-80.5 33.0))"
1943,-80.4,33.0,"POLYGON((-80.4 33.0,-80.4 33.1,-80.3 33.1,-80.3 33.0,-80.4 33.0))"
12655,-80.3,33.0,"POLYGON((-80.3 33.0,-80.3 33.1,-80.2 33.1,-80.2 33.0,-80.3 33.0))"
6272,-80.2,33.0,"POLYGON((-80.2 33.0,-80.2 33.1,-80.1 33.1,-80.1 33.0,-80.2 33.0))"
90,-80.8,33.1,"POLYGON((-80.8 33.1,-80.8 33.2,-80.7 33.2,-80.7 33.1,-80.8 33.1))"
653,-80.7,33.1,"POLYGON((-80.7 33.1,-80.7 33.2,-80.6 33.2,-80.6 33.1,-80.7 33.1))"
2284,-80.6,33.1,"POLYGON((-80.6 33.1,-80.6 33.2,-80.5 33.2,-80.5 33.1,-80.6 33.1))"
289,-80.5,33.1,"POLYGON((-80.5 33.1,-80.5 33.2,-80.4 33.2,-80.4 33.1,-80.5 33.1))"
925,-80.4,33.1,"POLYGON((-80.4 33.1,-80.4 33.2,-80.3 33.2,-80.3 33.1,-80.4 33.1))"
161,-80.3,33.1,"POLYGON((-80.3 33.1,-80.3 33.2,-80.2 33.2,-80.2 33.1,-80.3 33.1))"
49,-80.8,33.2,"POLYGON((-80.8 33.2,-80.8 33.3,-80.7 33.3,-80.7 33.2,-80.8 33.2))"
656,-80.7,33.2,"POLYGON((-80.7 33.2,-80.7 33.3,-80.6 33.3,-80.6 33.2,-80.7 33.2))"
1109,-80.6,33.2,"POLYGON((-80.6 33.2,-80.6 33.3,-80.5 33.3,-80.5 33.2,-80.6 33.2))"
973,-80.5,33.2,"POLYGON((-80.5 33.2,-80.5 33.3,-80.4 33.3,-80.4 33.2,-80.5 33.2))"
155,-80.4,33.2,"POLYGON((-80.4 33.2,-80.4 33.3,-80.3 33.3,-80.3 33.2,-80.4 33.2))"
20,-80.6,33.3,"POLYGON((-80.6 33.3,-80.6 33.4,-80.5 33.4,-80.5 33.3,-80.6 33.3))"
