count,lon,lat,area
41,-87.1,35.7,"POLYGON((-87.1 35.7,-87.1 35.8,-87.0 35.8,-87.0 35.7,-87.1 35.7))"
5173,-87.0,35.7,"POLYGON((-87.0 35.7,-87.0 35.8,-86.9 35.8,-86.9 35.7,-87.0 35.7))"
7816,-86.9,35.7,"POLYGON((-86.9 35.7,-86.9 35.8,-86.8 35.8,-86.8 35.7,-86.9 35.7))"
1114,-86.8,35.7,"POLYGON((-86.8 35.7,-86.8 35.8,-86.7 35.8,-86.7 35.7,-86.8 35.7))"
448,-86.7,35.7,"POLYGON((-86.7 35.7,-86.7 35.8,-86.6 35.8,-86.6 35.7,-86.7 35.7))"
61,-87.3,35.8,"POLYGON((-87.3 35.8,-87.3 35.9,-87.2 35.9,-87.2 35.8,-87.3 35.8))"
651,-87.2,35.8,"POLYGON((-87.2 35.8,-87.2 35.9,-87.1 35.9,-87.1 35.8,-87.2 35.8))"
1056,-87.1,35.8,"POLYGON((-87.1 35.8,-87.1 35.9,-87.0 35.9,-87.0 35.8,-87.1 35.8))"
1085,-87.0,35.8,"POLYGON((-87.0 35.8,-87.0 35.9,-86.9 35.9,-86.9 35.8,-87.0 35.8))"
11527,-86.9,35.8,"POLYGON((-86.9 35.8,-86.9 35.9,-86.8 35.9,-86.8 35.8,-86.9 35.8))"
3507,-86.8,35.8,"POLYGON((-86.8 35.8,-86.8 35.9,-86.7 35.9,-86.7 35.8,-86.8 35.8))"
2017,-86.7,35.8,"POLYGON((-86.7 35.8,-86.7 35.9,-86.6 35.9,-86.6 35.8,-86.7 35.8))"
1,-86.6,35.8,"POLYGON((-86.6 35.8,-86.6 35.9,-86.5 35.9,-86.5 35.8,-86.6 35.8))"
46,-87.3,35.9,"POLYGON((-87.3 35.9,-87.3 36.0,-87.2 36.0,-87.2 35.9,-87.3 35.9))"
4271,-87.2,35.9,"POLYGON((-87.2 35.9,-87.2 36.0,-87.1 36.0,-87.1 35.9,-87.2 35.9))"
1193,-87.1,35.9,"POLYGON((-87.1 35.9,-87.1 36.0,-87.0 36.0,-87.0 35.9,-87.1 35.9))"
5942,-87.0,35.9,"POLYGON((-87.0 35.9,-87.0 36.0,-86.9 36.0,-86.9 35.9,-87.0 35.9))"
19652,-86.9,35.9,"POLYGON((-86.9 35.9,-86.9 36.0,-86.8 36.0,-86.8 35.9,-86.9 35.9))"
13224,-86.8,35.9,"POLYGON((-86.8 35.9,-86.8 36.0,-86.7 36.0,-86.7 35.9,-86.8 35.9))"
6522,-86.7,35.9,"POLYGON((-86.7 35.9,-86.7 36.0,-86.6 36.0,-86.6 35.9,-86.7 35.9))"
686,-87.2,36.0,"POLYGON((-87.2 36.0,-87.2 36.1,-87.1 36.1,-87.1 36.0,-87.2 36.0))"
264,-87.1,36.0,"POLYGON((-87.1 36.0,-87.1 36.1,-87.0 36.1,-87.0 36.0,-87.1 36.0))"
2360,-87.0,36.0,"POLYGON((-87.0 36.0,-87.0 36.1,-86.9 36.1,-86.9 36.0,-87.0 36.0))"
4754,-86.9,36.0,"POLYGON((-86.9 36.0,-86.9 36.1,-86.8 36.1,-86.8 36.0,-86.9 36.0))"
3418,-86.8,36.0,"POLYGON((-86.8 36.0,-86.8 36.1,-86.7 36.1,-86.7 36.0,-86.8 36.0))"
