count,lon,lat,area
231,-96.8,30.3,"POLYGON((-96.8 30.3,-96.8 30.4,-96.7 30.4,-96.7 30.3,-96.8 30.3))"
1885,-96.7,30.3,"POLYGON((-96.7 30.3,-96.7 30.4,-96.6 30.4,-96.6 30.3,-96.7 30.3))"
1849,-96.6,30.3,"POLYGON((-96.6 30.3,-96.6 30.4,-96.5 30.4,-96.5 30.3,-96.6 30.3))"
155,-96.5,30.3,"POLYGON((-96.5 30.3,-96.5 30.4,-96.4 30.4,-96.4 30.3,-96.5 30.3))"
176,-96.4,30.3,"POLYGON((-96.4 30.3,-96.4 30.4,-96.3 30.4,-96.3 30.3,-96.4 30.3))"
375,-96.9,30.4,"POLYGON((-96.9 30.4,-96.9 30.5,-96.8 30.5,-96.8 30.4,-96.9 30.4))"
741,-96.8,30.4,"POLYGON((-96.8 30.4,-96.8 30.5,-96.7 30.5,-96.7 30.4,-96.8 30.4))"
560,-96.7,30.4,"POLYGON((-96.7 30.4,-96.7 30.5,-96.6 30.5,-96.6 30.4,-96.7 30.4))"
959,-96.6,30.4,"POLYGON((-96.6 30.4,-96.6 30.5,-96.5 30.5,-96.5 30.4,-96.6 30.4))"
817,-96.5,30.4,"POLYGON((-96.5 30.4,-96.5 30.5,-96.4 30.5,-96.4 30.4,-96.5 30.4))"
113,-96.4,30.4,"POLYGON((-96.4 30.4,-96.4 30.5,-96.3 30.5,-96.3 30.4,-96.4 30.4))"
133,-97.0,30.5,"POLYGON((-97.0 30.5,-97.0 30.6,-96.9 30.6,-96.9 30.5,-97.0 30.5))"
361,-96.9,30.5,"POLYGON((-96.9 30.5,-96.9 30.6,-96.8 30.6,-96.8 30.5,-96.9 30.5))"
2072,-96.8,30.5,"POLYGON((-96.8 30.5,-96.8 30.6,-96.7 30.6,-96.7 30.5,-96.8 30.5))"
1932,-96.7,30.5,"POLYGON((-96.7 30.5,-96.7 30.6,-96.6 30.6,-96.6 30.5,-96.7 30.5))"
695,-96.6,30.5,"POLYGON((-96.6 30.5,-96.6 30.6,-96.5 30.6,-96.5 30.5,-96.6 30.5))"
295,-96.5,30.5,"POLYGON((-96.5 30.5,-96.5 30.6,-96.4 30.6,-96.4 30.5,-96.5 30.5))"
13,-96.4,30.5,"POLYGON((-96.4 30.5,-96.4 30.6,-96.3 30.6,-96.3 30.5,-96.4 30.5))"
105,-96.9,30.6,"POLYGON((-96.9 30.6,-96.9 30.7,-96.8 30.7,-96.8 30.6,-96.9 30.6))"
269,-96.8,30.6,"POLYGON((-96.8 30.6,-96.8 30.7,-96.7 30.7,-96.7 30.6,-96.8 30.6))"
517,-96.7,30.6,"POLYGON((-96.7 30.6,-96.7 30.7,-96.6 30.7,-96.6 30.6,-96.7 30.6))"
272,-96.6,30.6,"POLYGON((-96.6 30.6,-96.6 30.7,-96.5 30.7,-96.5 30.6,-96.6 30.6))"
34,-96.7,30.7,"POLYGON((-96.7 30.7,-96.7 30.8,-96.6 30.8,-96.6 30.7,-96.7 30.7))"
13,-96.6,30.7,"POLYGON((-96.6 30.7,-96.6 30.8,-96.5 30.8,-96.5 30.7,-96.6 30.7))"
