count,lon,lat,area
3,-100.5,34.3,"POLYGON((-100.5 34.3,-100.5 34.4,-100.4 34.4,-100.4 34.3,-100.5 34.3))"
50,-100.4,34.3,"POLYGON((-100.4 34.3,-100.4 34.4,-100.3 34.4,-100.3 34.3,-100.4 34.3))"
44,-100.3,34.3,"POLYGON((-100.3 34.3,-100.3 34.4,-100.2 34.4,-100.2 34.3,-100.3 34.3))"
18,-100.2,34.3,"POLYGON((-100.2 34.3,-100.2 34.4,-100.1 34.4,-100.1 34.3,-100.2 34.3))"
61,-100.1,34.3,"POLYGON((-100.1 34.3,-100.1 34.4,-100.0 34.4,-100.0 34.3,-100.1 34.3))"
2,-100.5,34.4,"POLYGON((-100.5 34.4,-100.5 34.5,-100.4 34.5,-100.4 34.4,-100.5 34.4))"
91,-100.4,34.4,"POLYGON((-100.4 34.4,-100.4 34.5,-100.3 34.5,-100.3 34.4,-100.4 34.4))"
2567,-100.3,34.4,"POLYGON((-100.3 34.4,-100.3 34.5,-100.2 34.5,-100.2 34.4,-100.3 34.4))"
306,-100.2,34.4,"POLYGON((-100.2 34.4,-100.2 34.5,-100.1 34.5,-100.1 34.4,-100.2 34.4))"
20,-100.1,34.4,"POLYGON((-100.1 34.4,-100.1 34.5,-100.0 34.5,-100.0 34.4,-100.1 34.4))"
9,-100.5,34.5,"POLYGON((-100.5 34.5,-100.5 34.6,-100.4 34.6,-100.4 34.5,-100.5 34.5))"
4,-100.4,34.5,"POLYGON((-100.4 34.5,-100.4 34.6,-100.3 34.6,-100.3 34.5,-100.4 34.5))"
24,-100.3,34.5,"POLYGON((-100.3 34.5,-100.3 34.6,-100.2 34.6,-100.2 34.5,-100.3 34.5))"
9,-100.2,34.5,"POLYGON((-100.2 34.5,-100.2 34.6,-100.1 34.6,-100.1 34.5,-100.2 34.5))"
8,-100.1,34.5,"POLYGON((-100.1 34.5,-100.1 34.6,-100.0 34.6,-100.0 34.5,-100.1 34.5))"
4,-100.4,34.6,"POLYGON((-100.4 34.6,-100.4 34.7,-100.3 34.7,-100.3 34.6,-100.4 34.6))"
3,-100.3,34.6,"POLYGON((-100.3 34.6,-100.3 34.7,-100.2 34.7,-100.2 34.6,-100.3 34.6))"
21,-100.2,34.6,"POLYGON((-100.2 34.6,-100.2 34.7,-100.1 34.7,-100.1 34.6,-100.2 34.6))"
8,-100.1,34.6,"POLYGON((-100.1 34.6,-100.1 34.7,-100.0 34.7,-100.0 34.6,-100.1 34.6))"
2,-100.4,34.7,"POLYGON((-100.4 34.7,-100.4 34.8,-100.3 34.8,-100.3 34.7,-100.4 34.7))"
9,-100.2,34.7,"POLYGON((-100.2 34.7,-100.2 34.8,-100.1 34.8,-100.1 34.7,-100.2 34.7))"
8,-100.1,34.7,"POLYGON((-100.1 34.7,-100.1 34.8,-100.0 34.8,-100.0 34.7,-100.1 34.7))"
