count,lon,lat,area
111,-97.5,30.9,"POLYGON((-97.5 30.9,-97.5 31.0,-97.4 31.0,-97.4 30.9,-97.5 30.9))"
65,-97.4,30.9,"POLYGON((-97.4 30.9,-97.4 31.0,-97.3 31.0,-97.3 30.9,-97.4 30.9))"
10,-97.3,30.9,"POLYGON((-97.3 30.9,-97.3 31.0,-97.2 31.0,-97.2 30.9,-97.3 30.9))"
164,-97.6,31.0,"POLYGON((-97.6 31.0,-97.6 31.1,-97.5 31.1,-97.5 31.0,-97.6 31.0))"
2112,-97.5,31.0,"POLYGON((-97.5 31.0,-97.5 31.1,-97.4 31.1,-97.4 31.0,-97.5 31.0))"
21773,-97.4,31.0,"POLYGON((-97.4 31.0,-97.4 31.1,-97.3 31.1,-97.3 31.0,-97.4 31.0))"
541,-97.3,31.0,"POLYGON((-97.3 31.0,-97.3 31.1,-97.2 31.1,-97.2 31.0,-97.3 31.0))"
838,-97.6,31.1,"POLYGON((-97.6 31.1,-97.6 31.2,-97.5 31.2,-97.5 31.1,-97.6 31.1))"
10608,-97.5,31.1,"POLYGON((-97.5 31.1,-97.5 31.2,-97.4 31.2,-97.4 31.1,-97.5 31.1))"
8959,-97.4,31.1,"POLYGON((-97.4 31.1,-97.4 31.2,-97.3 31.2,-97.3 31.1,-97.4 31.1))"
296,-97.3,31.1,"POLYGON((-97.3 31.1,-97.3 31.2,-97.2 31.2,-97.2 31.1,-97.3 31.1))"
482,-97.5,31.2,"POLYGON((-97.5 31.2,-97.5 31.3,-97.4 31.3,-97.4 31.2,-97.5 31.2))"
277,-97.4,31.2,"POLYGON((-97.4 31.2,-97.4 31.3,-97.3 31.3,-97.3 31.2,-97.4 31.2))"
3,-97.3,31.2,"POLYGON((-97.3 31.2,-97.3 31.3,-97.2 31.3,-97.2 31.2,-97.3 31.2))"
