count,lon,lat,area
621,-97.4,31.2,"POLYGON((-97.4 31.2,-97.4 31.3,-97.3 31.3,-97.3 31.2,-97.4 31.2))"
1093,-97.3,31.2,"POLYGON((-97.3 31.2,-97.3 31.3,-97.2 31.3,-97.2 31.2,-97.3 31.2))"
118,-97.5,31.3,"POLYGON((-97.5 31.3,-97.5 31.4,-97.4 31.4,-97.4 31.3,-97.5 31.3))"
2884,-97.4,31.3,"POLYGON((-97.4 31.3,-97.4 31.4,-97.3 31.4,-97.3 31.3,-97.4 31.3))"
4110,-97.3,31.3,"POLYGON((-97.3 31.3,-97.3 31.4,-97.2 31.4,-97.2 31.3,-97.3 31.3))"
833,-97.2,31.3,"POLYGON((-97.2 31.3,-97.2 31.4,-97.1 31.4,-97.1 31.3,-97.2 31.3))"
202,-97.1,31.3,"POLYGON((-97.1 31.3,-97.1 31.4,-97.0 31.4,-97.0 31.3,-97.1 31.3))"
104,-97.6,31.4,"POLYGON((-97.6 31.4,-97.6 31.5,-97.5 31.5,-97.5 31.4,-97.6 31.4))"
3728,-97.5,31.4,"POLYGON((-97.5 31.4,-97.5 31.5,-97.4 31.5,-97.4 31.4,-97.5 31.4))"
2575,-97.4,31.4,"POLYGON((-97.4 31.4,-97.4 31.5,-97.3 31.5,-97.3 31.4,-97.4 31.4))"
10891,-97.3,31.4,"POLYGON((-97.3 31.4,-97.3 31.5,-97.2 31.5,-97.2 31.4,-97.3 31.4))"
9873,-97.2,31.4,"POLYGON((-97.2 31.4,-97.2 31.5,-97.1 31.5,-97.1 31.4,-97.2 31.4))"
1417,-97.1,31.4,"POLYGON((-97.1 31.4,-97.1 31.5,-97.0 31.5,-97.0 31.4,-97.1 31.4))"
1291,-97.0,31.4,"POLYGON((-97.0 31.4,-97.0 31.5,-96.9 31.5,-96.9 31.4,-97.0 31.4))"
77,-96.9,31.4,"POLYGON((-96.9 31.4,-96.9 31.5,-96.8 31.5,-96.8 31.4,-96.9 31.4))"
1,-97.7,31.5,"POLYGON((-97.7 31.5,-97.7 31.6,-97.6 31.6,-97.6 31.5,-97.7 31.5))"
384,-97.6,31.5,"POLYGON((-97.6 31.5,-97.6 31.6,-97.5 31.6,-97.5 31.5,-97.6 31.5))"
1756,-97.5,31.5,"POLYGON((-97.5 31.5,-97.5 31.6,-97.4 31.6,-97.4 31.5,-97.5 31.5))"
1724,-97.4,31.5,"POLYGON((-97.4 31.5,-97.4 31.6,-97.3 31.6,-97.3 31.5,-97.4 31.5))"
7845,-97.3,31.5,"POLYGON((-97.3 31.5,-97.3 31.6,-97.2 31.6,-97.2 31.5,-97.3 31.5))"
44247,-97.2,31.5,"POLYGON((-97.2 31.5,-97.2 31.6,-97.1 31.6,-97.1 31.5,-97.2 31.5))"
3939,-97.1,31.5,"POLYGON((-97.1 31.5,-97.1 31.6,-97.0 31.6,-97.0 31.5,-97.1 31.5))"
1501,-97.0,31.5,"POLYGON((-97.0 31.5,-97.0 31.6,-96.9 31.6,-96.9 31.5,-97.0 31.5))"
3877,-96.9,31.5,"POLYGON((-96.9 31.5,-96.9 31.6,-96.8 31.6,-96.8 31.5,-96.9 31.5))"
2,-96.8,31.5,"POLYGON((-96.8 31.5,-96.8 31.6,-96.7 31.6,-96.7 31.5,-96.8 31.5))"
81,-97.6,31.6,"POLYGON((-97.6 31.6,-97.6 31.7,-97.5 31.7,-97.5 31.6,-97.6 31.6))"
893,-97.5,31.6,"POLYGON((-97.5 31.6,-97.5 31.7,-97.4 31.7,-97.4 31.6,-97.5 31.6))"
1999,-97.4,31.6,"POLYGON((-97.4 31.6,-97.4 31.7,-97.3 31.7,-97.3 31.6,-97.4 31.6))"
5714,-97.3,31.6,"POLYGON((-97.3 31.6,-97.3 31.7,-97.2 31.7,-97.2 31.6,-97.3 31.6))"
6903,-97.2,31.6,"POLYGON((-97.2 31.6,-97.2 31.7,-97.1 31.7,-97.1 31.6,-97.2 31.6))"
5751,-97.1,31.6,"POLYGON((-97.1 31.6,-97.1 31.7,-97.0 31.7,-97.0 31.6,-97.1 31.6))"
2100,-97.0,31.6,"POLYGON((-97.0 31.6,-97.0 31.7,-96.9 31.7,-96.9 31.6,-97.0 31.6))"
73,-96.9,31.6,"POLYGON((-96.9 31.6,-96.9 31.7,-96.8 31.7,-96.8 31.6,-96.9 31.6))"
207,-97.4,31.7,"POLYGON((-97.4 31.7,-97.4 31.8,-97.3 31.8,-97.3 31.7,-97.4 31.7))"
1422,-97.3,31.7,"POLYGON((-97.3 31.7,-97.3 31.8,-97.2 31.8,-97.2 31.7,-97.3 31.7))"
2097,-97.2,31.7,"POLYGON((-97.2 31.7,-97.2 31.8,-97.1 31.8,-97.1 31.7,-97.2 31.7))"
2964,-97.1,31.7,"POLYGON((-97.1 31.7,-97.1 31.8,-97.0 31.8,-97.0 31.7,-97.1 31.7))"
391,-97.0,31.7,"POLYGON((-97.0 31.7,-97.0 31.8,-96.9 31.8,-96.9 31.7,-97.0 31.7))"
209,-97.2,31.8,"POLYGON((-97.2 31.8,-97.2 31.9,-97.1 31.9,-97.1 31.8,-97.2 31.8))"
2376,-97.1,31.8,"POLYGON((-97.1 31.8,-97.1 31.9,-97.0 31.9,-97.0 31.8,-97.1 31.8))"
2,-97.0,31.8,"POLYGON((-97.0 31.8,-97.0 31.9,-96.9 31.9,-96.9 31.8,-97.0 31.8))"
