count,lon,lat,area
2,-100.7,31.6,"POLYGON((-100.7 31.6,-100.7 31.7,-100.6 31.7,-100.6 31.6,-100.7 31.6))"
1,-100.5,31.6,"POLYGON((-100.5 31.6,-100.5 31.7,-100.4 31.7,-100.4 31.6,-100.5 31.6))"
1,-100.4,31.6,"POLYGON((-100.4 31.6,-100.4 31.7,-100.3 31.7,-100.3 31.6,-100.4 31.6))"
1,-100.9,31.7,"POLYGON((-100.9 31.7,-100.9 31.8,-100.8 31.8,-100.8 31.7,-100.9 31.7))"
18,-100.8,31.7,"POLYGON((-100.8 31.7,-100.8 31.8,-100.7 31.8,-100.7 31.7,-100.8 31.7))"
5,-100.7,31.7,"POLYGON((-100.7 31.7,-100.7 31.8,-100.6 31.8,-100.6 31.7,-100.7 31.7))"
3,-100.6,31.7,"POLYGON((-100.6 31.7,-100.6 31.8,-100.5 31.8,-100.5 31.7,-100.6 31.7))"
14,-100.5,31.7,"POLYGON((-100.5 31.7,-100.5 31.8,-100.4 31.8,-100.4 31.7,-100.5 31.7))"
46,-100.4,31.7,"POLYGON((-100.4 31.7,-100.4 31.8,-100.3 31.8,-100.3 31.7,-100.4 31.7))"
45,-100.3,31.7,"POLYGON((-100.3 31.7,-100.3 31.8,-100.2 31.8,-100.2 31.7,-100.3 31.7))"
16,-100.8,31.8,"POLYGON((-100.8 31.8,-100.8 31.9,-100.7 31.9,-100.7 31.8,-100.8 31.8))"
33,-100.7,31.8,"POLYGON((-100.7 31.8,-100.7 31.9,-100.6 31.9,-100.6 31.8,-100.7 31.8))"
167,-100.6,31.8,"POLYGON((-100.6 31.8,-100.6 31.9,-100.5 31.9,-100.5 31.8,-100.6 31.8))"
566,-100.5,31.8,"POLYGON((-100.5 31.8,-100.5 31.9,-100.4 31.9,-100.4 31.8,-100.5 31.8))"
92,-100.4,31.8,"POLYGON((-100.4 31.8,-100.4 31.9,-100.3 31.9,-100.3 31.8,-100.4 31.8))"
566,-100.3,31.8,"POLYGON((-100.3 31.8,-100.3 31.9,-100.2 31.9,-100.2 31.8,-100.3 31.8))"
1,-100.9,31.9,"POLYGON((-100.9 31.9,-100.9 32.0,-100.8 32.0,-100.8 31.9,-100.9 31.9))"
9,-100.8,31.9,"POLYGON((-100.8 31.9,-100.8 32.0,-100.7 32.0,-100.7 31.9,-100.8 31.9))"
263,-100.7,31.9,"POLYGON((-100.7 31.9,-100.7 32.0,-100.6 32.0,-100.6 31.9,-100.7 31.9))"
111,-100.6,31.9,"POLYGON((-100.6 31.9,-100.6 32.0,-100.5 32.0,-100.5 31.9,-100.6 31.9))"
313,-100.5,31.9,"POLYGON((-100.5 31.9,-100.5 32.0,-100.4 32.0,-100.4 31.9,-100.5 31.9))"
26,-100.4,31.9,"POLYGON((-100.4 31.9,-100.4 32.0,-100.3 32.0,-100.3 31.9,-100.4 31.9))"
57,-100.3,31.9,"POLYGON((-100.3 31.9,-100.3 32.0,-100.2 32.0,-100.2 31.9,-100.3 31.9))"
18,-100.8,32.0,"POLYGON((-100.8 32.0,-100.8 32.1,-100.7 32.1,-100.7 32.0,-100.8 32.0))"
41,-100.7,32.0,"POLYGON((-100.7 32.0,-100.7 32.1,-100.6 32.1,-100.6 32.0,-100.7 32.0))"
24,-100.6,32.0,"POLYGON((-100.6 32.0,-100.6 32.1,-100.5 32.1,-100.5 32.0,-100.6 32.0))"
8,-100.5,32.0,"POLYGON((-100.5 32.0,-100.5 32.1,-100.4 32.1,-100.4 32.0,-100.5 32.0))"
45,-100.4,32.0,"POLYGON((-100.4 32.0,-100.4 32.1,-100.3 32.1,-100.3 32.0,-100.4 32.0))"
385,-100.3,32.0,"POLYGON((-100.3 32.0,-100.3 32.1,-100.2 32.1,-100.2 32.0,-100.3 32.0))"
