count,lon,lat,area
11,-96.7,29.2,"POLYGON((-96.7 29.2,-96.7 29.3,-96.6 29.3,-96.6 29.2,-96.7 29.2))"
4,-96.6,29.2,"POLYGON((-96.6 29.2,-96.6 29.3,-96.5 29.3,-96.5 29.2,-96.6 29.2))"
22,-96.6,29.3,"POLYGON((-96.6 29.3,-96.6 29.4,-96.5 29.4,-96.5 29.3,-96.6 29.3))"
34,-96.5,29.3,"POLYGON((-96.5 29.3,-96.5 29.4,-96.4 29.4,-96.4 29.3,-96.5 29.3))"
15,-96.4,29.3,"POLYGON((-96.4 29.3,-96.4 29.4,-96.3 29.4,-96.3 29.3,-96.4 29.3))"
5,-96.8,29.4,"POLYGON((-96.8 29.4,-96.8 29.5,-96.7 29.5,-96.7 29.4,-96.8 29.4))"
218,-96.7,29.4,"POLYGON((-96.7 29.4,-96.7 29.5,-96.6 29.5,-96.6 29.4,-96.7 29.4))"
71,-96.6,29.4,"POLYGON((-96.6 29.4,-96.6 29.5,-96.5 29.5,-96.5 29.4,-96.6 29.4))"
116,-96.5,29.4,"POLYGON((-96.5 29.4,-96.5 29.5,-96.4 29.5,-96.4 29.4,-96.5 29.4))"
276,-96.4,29.4,"POLYGON((-96.4 29.4,-96.4 29.5,-96.3 29.5,-96.3 29.4,-96.4 29.4))"
18,-96.9,29.5,"POLYGON((-96.9 29.5,-96.9 29.6,-96.8 29.6,-96.8 29.5,-96.9 29.5))"
108,-96.8,29.5,"POLYGON((-96.8 29.5,-96.8 29.6,-96.7 29.6,-96.7 29.5,-96.8 29.5))"
407,-96.7,29.5,"POLYGON((-96.7 29.5,-96.7 29.6,-96.6 29.6,-96.6 29.5,-96.7 29.5))"
185,-96.6,29.5,"POLYGON((-96.6 29.5,-96.6 29.6,-96.5 29.6,-96.5 29.5,-96.6 29.5))"
173,-96.5,29.5,"POLYGON((-96.5 29.5,-96.5 29.6,-96.4 29.6,-96.4 29.5,-96.5 29.5))"
2037,-96.4,29.5,"POLYGON((-96.4 29.5,-96.4 29.6,-96.3 29.6,-96.3 29.5,-96.4 29.5))"
23,-96.3,29.5,"POLYGON((-96.3 29.5,-96.3 29.6,-96.2 29.6,-96.2 29.5,-96.3 29.5))"
122,-96.9,29.6,"POLYGON((-96.9 29.6,-96.9 29.7,-96.8 29.7,-96.8 29.6,-96.9 29.6))"
728,-96.8,29.6,"POLYGON((-96.8 29.6,-96.8 29.7,-96.7 29.7,-96.7 29.6,-96.8 29.6))"
396,-96.7,29.6,"POLYGON((-96.7 29.6,-96.7 29.7,-96.6 29.7,-96.6 29.6,-96.7 29.6))"
644,-96.6,29.6,"POLYGON((-96.6 29.6,-96.6 29.7,-96.5 29.7,-96.5 29.6,-96.6 29.6))"
161,-96.5,29.6,"POLYGON((-96.5 29.6,-96.5 29.7,-96.4 29.7,-96.4 29.6,-96.5 29.6))"
104,-96.4,29.6,"POLYGON((-96.4 29.6,-96.4 29.7,-96.3 29.7,-96.3 29.6,-96.4 29.6))"
22,-96.3,29.6,"POLYGON((-96.3 29.6,-96.3 29.7,-96.2 29.7,-96.2 29.6,-96.3 29.6))"
5,-96.9,29.7,"POLYGON((-96.9 29.7,-96.9 29.8,-96.8 29.8,-96.8 29.7,-96.9 29.7))"
1033,-96.8,29.7,"POLYGON((-96.8 29.7,-96.8 29.8,-96.7 29.8,-96.7 29.7,-96.8 29.7))"
306,-96.7,29.7,"POLYGON((-96.7 29.7,-96.7 29.8,-96.6 29.8,-96.6 29.7,-96.7 29.7))"
1753,-96.6,29.7,"POLYGON((-96.6 29.7,-96.6 29.8,-96.5 29.8,-96.5 29.7,-96.6 29.7))"
466,-96.5,29.7,"POLYGON((-96.5 29.7,-96.5 29.8,-96.4 29.8,-96.4 29.7,-96.5 29.7))"
253,-96.4,29.7,"POLYGON((-96.4 29.7,-96.4 29.8,-96.3 29.8,-96.3 29.7,-96.4 29.7))"
3,-96.8,29.8,"POLYGON((-96.8 29.8,-96.8 29.9,-96.7 29.9,-96.7 29.8,-96.8 29.8))"
162,-96.7,29.8,"POLYGON((-96.7 29.8,-96.7 29.9,-96.6 29.9,-96.6 29.8,-96.7 29.8))"
478,-96.6,29.8,"POLYGON((-96.6 29.8,-96.6 29.9,-96.5 29.9,-96.5 29.8,-96.6 29.8))"
211,-96.5,29.8,"POLYGON((-96.5 29.8,-96.5 29.9,-96.4 29.9,-96.4 29.8,-96.5 29.8))"
48,-96.4,29.8,"POLYGON((-96.4 29.8,-96.4 29.9,-96.3 29.9,-96.3 29.8,-96.4 29.8))"
89,-96.6,29.9,"POLYGON((-96.6 29.9,-96.6 30.0,-96.5 30.0,-96.5 29.9,-96.6 29.9))"
