count,lon,lat,area
10,-100.6,33.8,"POLYGON((-100.6 33.8,-100.6 33.9,-100.5 33.9,-100.5 33.8,-100.6 33.8))"
3,-100.5,33.8,"POLYGON((-100.5 33.8,-100.5 33.9,-100.4 33.9,-100.4 33.8,-100.5 33.8))"
10,-100.4,33.8,"POLYGON((-100.4 33.8,-100.4 33.9,-100.3 33.9,-100.3 33.8,-100.4 33.8))"
18,-100.3,33.8,"POLYGON((-100.3 33.8,-100.3 33.9,-100.2 33.9,-100.2 33.8,-100.3 33.8))"
4,-100.2,33.8,"POLYGON((-100.2 33.8,-100.2 33.9,-100.1 33.9,-100.1 33.8,-100.2 33.8))"
2,-100.5,33.9,"POLYGON((-100.5 33.9,-100.5 34.0,-100.4 34.0,-100.4 33.9,-100.5 33.9))"
23,-100.4,33.9,"POLYGON((-100.4 33.9,-100.4 34.0,-100.3 34.0,-100.3 33.9,-100.4 33.9))"
15,-100.3,33.9,"POLYGON((-100.3 33.9,-100.3 34.0,-100.2 34.0,-100.2 33.9,-100.3 33.9))"
14,-100.2,33.9,"POLYGON((-100.2 33.9,-100.2 34.0,-100.1 34.0,-100.1 33.9,-100.2 33.9))"
7,-100.1,33.9,"POLYGON((-100.1 33.9,-100.1 34.0,-100.0 34.0,-100.0 33.9,-100.1 33.9))"
3,-100.5,34.0,"POLYGON((-100.5 34.0,-100.5 34.1,-100.4 34.1,-100.4 34.0,-100.5 34.0))"
799,-100.4,34.0,"POLYGON((-100.4 34.0,-100.4 34.1,-100.3 34.1,-100.3 34.0,-100.4 34.0))"
149,-100.3,34.0,"POLYGON((-100.3 34.0,-100.3 34.1,-100.2 34.1,-100.2 34.0,-100.3 34.0))"
5,-100.2,34.0,"POLYGON((-100.2 34.0,-100.2 34.1,-100.1 34.1,-100.1 34.0,-100.2 34.0))"
9,-100.1,34.0,"POLYGON((-100.1 34.0,-100.1 34.1,-100.0 34.1,-100.0 34.0,-100.1 34.0))"
2,-100.6,34.1,"POLYGON((-100.6 34.1,-100.6 34.2,-100.5 34.2,-100.5 34.1,-100.6 34.1))"
2,-100.5,34.1,"POLYGON((-100.5 34.1,-100.5 34.2,-100.4 34.2,-100.4 34.1,-100.5 34.1))"
17,-100.4,34.1,"POLYGON((-100.4 34.1,-100.4 34.2,-100.3 34.2,-100.3 34.1,-100.4 34.1))"
15,-100.3,34.1,"POLYGON((-100.3 34.1,-100.3 34.2,-100.2 34.2,-100.2 34.1,-100.3 34.1))"
13,-100.2,34.1,"POLYGON((-100.2 34.1,-100.2 34.2,-100.1 34.2,-100.1 34.1,-100.2 34.1))"
3,-100.1,34.1,"POLYGON((-100.1 34.1,-100.1 34.2,-100.0 34.2,-100.0 34.1,-100.1 34.1))"
1,-100.6,34.2,"POLYGON((-100.6 34.2,-100.6 34.3,-100.5 34.3,-100.5 34.2,-100.6 34.2))"
37,-100.5,34.2,"POLYGON((-100.5 34.2,-100.5 34.3,-100.4 34.3,-100.4 34.2,-100.5 34.2))"
19,-100.4,34.2,"POLYGON((-100.4 34.2,-100.4 34.3,-100.3 34.3,-100.3 34.2,-100.4 34.2))"
5,-100.3,34.2,"POLYGON((-100.3 34.2,-100.3 34.3,-100.2 34.3,-100.2 34.2,-100.3 34.2))"
3,-100.2,34.2,"POLYGON((-100.2 34.2,-100.2 34.3,-100.1 34.3,-100.1 34.2,-100.2 34.2))"
18,-100.1,34.2,"POLYGON((-100.1 34.2,-100.1 34.3,-100.0 34.3,-100.0 34.2,-100.1 34.2))"
6,-100.5,34.3,"POLYGON((-100.5 34.3,-100.5 34.4,-100.4 34.4,-100.4 34.3,-100.5 34.3))"
2,-100.3,34.3,"POLYGON((-100.3 34.3,-100.3 34.4,-100.2 34.4,-100.2 34.3,-100.3 34.3))"
2,-100.1,34.3,"POLYGON((-100.1 34.3,-100.1 34.4,-100.0 34.4,-100.0 34.3,-100.1 34.3))"
