count,lon,lat,area
1,-99.5,28.6,"POLYGON((-99.5 28.6,-99.5 28.7,-99.4 28.7,-99.4 28.6,-99.5 28.6))"
44,-99.4,28.6,"POLYGON((-99.4 28.6,-99.4 28.7,-99.3 28.7,-99.3 28.6,-99.4 28.6))"
76,-99.3,28.6,"POLYGON((-99.3 28.6,-99.3 28.7,-99.2 28.7,-99.2 28.6,-99.3 28.6))"
1118,-99.2,28.6,"POLYGON((-99.2 28.6,-99.2 28.7,-99.1 28.7,-99.1 28.6,-99.2 28.6))"
5,-99.1,28.6,"POLYGON((-99.1 28.6,-99.1 28.7,-99.0 28.7,-99.0 28.6,-99.1 28.6))"
12,-99.0,28.6,"POLYGON((-99.0 28.6,-99.0 28.7,-98.9 28.7,-98.9 28.6,-99.0 28.6))"
20,-98.9,28.6,"POLYGON((-98.9 28.6,-98.9 28.7,-98.8 28.7,-98.8 28.6,-98.9 28.6))"
3,-99.5,28.7,"POLYGON((-99.5 28.7,-99.5 28.8,-99.4 28.8,-99.4 28.7,-99.5 28.7))"
23,-99.4,28.7,"POLYGON((-99.4 28.7,-99.4 28.8,-99.3 28.8,-99.3 28.7,-99.4 28.7))"
70,-99.3,28.7,"POLYGON((-99.3 28.7,-99.3 28.8,-99.2 28.8,-99.2 28.7,-99.3 28.7))"
129,-99.2,28.7,"POLYGON((-99.2 28.7,-99.2 28.8,-99.1 28.8,-99.1 28.7,-99.2 28.7))"
50,-99.1,28.7,"POLYGON((-99.1 28.7,-99.1 28.8,-99.0 28.8,-99.0 28.7,-99.1 28.7))"
30,-99.0,28.7,"POLYGON((-99.0 28.7,-99.0 28.8,-98.9 28.8,-98.9 28.7,-99.0 28.7))"
8,-98.9,28.7,"POLYGON((-98.9 28.7,-98.9 28.8,-98.8 28.8,-98.8 28.7,-98.9 28.7))"
10,-99.5,28.8,"POLYGON((-99.5 28.8,-99.5 28.9,-99.4 28.9,-99.4 28.8,-99.5 28.8))"
7,-99.4,28.8,"POLYGON((-99.4 28.8,-99.4 28.9,-99.3 28.9,-99.3 28.8,-99.4 28.8))"
12,-99.3,28.8,"POLYGON((-99.3 28.8,-99.3 28.9,-99.2 28.9,-99.2 28.8,-99.3 28.8))"
485,-99.2,28.8,"POLYGON((-99.2 28.8,-99.2 28.9,-99.1 28.9,-99.1 28.8,-99.2 28.8))"
912,-99.1,28.8,"POLYGON((-99.1 28.8,-99.1 28.9,-99.0 28.9,-99.0 28.8,-99.1 28.8))"
30,-99.0,28.8,"POLYGON((-99.0 28.8,-99.0 28.9,-98.9 28.9,-98.9 28.8,-99.0 28.8))"
82,-98.9,28.8,"POLYGON((-98.9 28.8,-98.9 28.9,-98.8 28.9,-98.8 28.8,-98.9 28.8))"
1,-99.5,28.9,"POLYGON((-99.5 28.9,-99.5 29.0,-99.4 29.0,-99.4 28.9,-99.5 28.9))"
14,-99.4,28.9,"POLYGON((-99.4 28.9,-99.4 29.0,-99.3 29.0,-99.3 28.9,-99.4 28.9))"
26,-99.3,28.9,"POLYGON((-99.3 28.9,-99.3 29.0,-99.2 29.0,-99.2 28.9,-99.3 28.9))"
79,-99.2,28.9,"POLYGON((-99.2 28.9,-99.2 29.0,-99.1 29.0,-99.1 28.9,-99.2 28.9))"
523,-99.1,28.9,"POLYGON((-99.1 28.9,-99.1 29.0,-99.0 29.0,-99.0 28.9,-99.1 28.9))"
49,-99.0,28.9,"POLYGON((-99.0 28.9,-99.0 29.0,-98.9 29.0,-98.9 28.9,-99.0 28.9))"
85,-98.9,28.9,"POLYGON((-98.9 28.9,-98.9 29.0,-98.8 29.0,-98.8 28.9,-98.9 28.9))"
5,-99.5,29.0,"POLYGON((-99.5 29.0,-99.5 29.1,-99.4 29.1,-99.4 29.0,-99.5 29.0))"
26,-99.4,29.0,"POLYGON((-99.4 29.0,-99.4 29.1,-99.3 29.1,-99.3 29.0,-99.4 29.0))"
7,-99.3,29.0,"POLYGON((-99.3 29.0,-99.3 29.1,-99.2 29.1,-99.2 29.0,-99.3 29.0))"
27,-99.2,29.0,"POLYGON((-99.2 29.0,-99.2 29.1,-99.1 29.1,-99.1 29.0,-99.2 29.0))"
458,-99.1,29.0,"POLYGON((-99.1 29.0,-99.1 29.1,-99.0 29.1,-99.0 29.0,-99.1 29.0))"
630,-99.0,29.0,"POLYGON((-99.0 29.0,-99.0 29.1,-98.9 29.1,-98.9 29.0,-99.0 29.0))"
319,-98.9,29.0,"POLYGON((-98.9 29.0,-98.9 29.1,-98.8 29.1,-98.8 29.0,-98.9 29.0))"
