count,lon,lat,area
8,-98.4,31.4,"POLYGON((-98.4 31.4,-98.4 31.5,-98.3 31.5,-98.3 31.4,-98.4 31.4))"
78,-98.3,31.4,"POLYGON((-98.3 31.4,-98.3 31.5,-98.2 31.5,-98.2 31.4,-98.3 31.4))"
150,-98.2,31.4,"POLYGON((-98.2 31.4,-98.2 31.5,-98.1 31.5,-98.1 31.4,-98.2 31.4))"
64,-98.4,31.5,"POLYGON((-98.4 31.5,-98.4 31.6,-98.3 31.6,-98.3 31.5,-98.4 31.5))"
74,-98.3,31.5,"POLYGON((-98.3 31.5,-98.3 31.6,-98.2 31.6,-98.2 31.5,-98.3 31.5))"
140,-98.2,31.5,"POLYGON((-98.2 31.5,-98.2 31.6,-98.1 31.6,-98.1 31.5,-98.2 31.5))"
78,-98.1,31.5,"POLYGON((-98.1 31.5,-98.1 31.6,-98.0 31.6,-98.0 31.5,-98.1 31.5))"
19,-98.0,31.5,"POLYGON((-98.0 31.5,-98.0 31.6,-97.9 31.6,-97.9 31.5,-98.0 31.5))"
58,-98.5,31.6,"POLYGON((-98.5 31.6,-98.5 31.7,-98.4 31.7,-98.4 31.6,-98.5 31.6))"
168,-98.4,31.6,"POLYGON((-98.4 31.6,-98.4 31.7,-98.3 31.7,-98.3 31.6,-98.4 31.6))"
129,-98.3,31.6,"POLYGON((-98.3 31.6,-98.3 31.7,-98.2 31.7,-98.2 31.6,-98.3 31.6))"
246,-98.2,31.6,"POLYGON((-98.2 31.6,-98.2 31.7,-98.1 31.7,-98.1 31.6,-98.2 31.6))"
138,-98.1,31.6,"POLYGON((-98.1 31.6,-98.1 31.7,-98.0 31.7,-98.0 31.6,-98.1 31.6))"
106,-98.0,31.6,"POLYGON((-98.0 31.6,-98.0 31.7,-97.9 31.7,-97.9 31.6,-98.0 31.6))"
115,-97.9,31.6,"POLYGON((-97.9 31.6,-97.9 31.7,-97.8 31.7,-97.8 31.6,-97.9 31.6))"
3,-97.8,31.6,"POLYGON((-97.8 31.6,-97.8 31.7,-97.7 31.7,-97.7 31.6,-97.8 31.6))"
2,-98.5,31.7,"POLYGON((-98.5 31.7,-98.5 31.8,-98.4 31.8,-98.4 31.7,-98.5 31.7))"
31,-98.4,31.7,"POLYGON((-98.4 31.7,-98.4 31.8,-98.3 31.8,-98.3 31.7,-98.4 31.7))"
90,-98.3,31.7,"POLYGON((-98.3 31.7,-98.3 31.8,-98.2 31.8,-98.2 31.7,-98.3 31.7))"
394,-98.2,31.7,"POLYGON((-98.2 31.7,-98.2 31.8,-98.1 31.8,-98.1 31.7,-98.2 31.7))"
172,-98.1,31.7,"POLYGON((-98.1 31.7,-98.1 31.8,-98.0 31.8,-98.0 31.7,-98.1 31.7))"
110,-98.0,31.7,"POLYGON((-98.0 31.7,-98.0 31.8,-97.9 31.8,-97.9 31.7,-98.0 31.7))"
75,-97.9,31.7,"POLYGON((-97.9 31.7,-97.9 31.8,-97.8 31.8,-97.8 31.7,-97.9 31.7))"
1,-97.8,31.7,"POLYGON((-97.8 31.7,-97.8 31.8,-97.7 31.8,-97.7 31.7,-97.8 31.7))"
7,-98.3,31.8,"POLYGON((-98.3 31.8,-98.3 31.9,-98.2 31.9,-98.2 31.8,-98.3 31.8))"
109,-98.2,31.8,"POLYGON((-98.2 31.8,-98.2 31.9,-98.1 31.9,-98.1 31.8,-98.2 31.8))"
106,-98.1,31.8,"POLYGON((-98.1 31.8,-98.1 31.9,-98.0 31.9,-98.0 31.8,-98.1 31.8))"
106,-98.0,31.8,"POLYGON((-98.0 31.8,-98.0 31.9,-97.9 31.9,-97.9 31.8,-98.0 31.8))"
16,-97.9,31.8,"POLYGON((-97.9 31.8,-97.9 31.9,-97.8 31.9,-97.8 31.8,-97.9 31.8))"
5,-98.3,31.9,"POLYGON((-98.3 31.9,-98.3 32.0,-98.2 32.0,-98.2 31.9,-98.3 31.9))"
218,-98.2,31.9,"POLYGON((-98.2 31.9,-98.2 32.0,-98.1 32.0,-98.1 31.9,-98.2 31.9))"
296,-98.1,31.9,"POLYGON((-98.1 31.9,-98.1 32.0,-98.0 32.0,-98.0 31.9,-98.1 31.9))"
53,-98.0,31.9,"POLYGON((-98.0 31.9,-98.0 32.0,-97.9 32.0,-97.9 31.9,-98.0 31.9))"
31,-98.1,32.0,"POLYGON((-98.1 32.0,-98.1 32.1,-98.0 32.1,-98.0 32.0,-98.1 32.0))"
2,-98.0,32.0,"POLYGON((-98.0 32.0,-98.0 32.1,-97.9 32.1,-97.9 32.0,-98.0 32.0))"
