count,lon,lat,area
3,-101.6,36.0,"POLYGON((-101.6 36.0,-101.6 36.1,-101.5 36.1,-101.5 36.0,-101.6 36.0))"
79,-101.5,36.0,"POLYGON((-101.5 36.0,-101.5 36.1,-101.4 36.1,-101.4 36.0,-101.5 36.0))"
1,-101.4,36.0,"POLYGON((-101.4 36.0,-101.4 36.1,-101.3 36.1,-101.3 36.0,-101.4 36.0))"
5,-101.3,36.0,"POLYGON((-101.3 36.0,-101.3 36.1,-101.2 36.1,-101.2 36.0,-101.3 36.0))"
13,-101.2,36.0,"POLYGON((-101.2 36.0,-101.2 36.1,-101.1 36.1,-101.1 36.0,-101.2 36.0))"
12,-101.7,36.1,"POLYGON((-101.7 36.1,-101.7 36.2,-101.6 36.2,-101.6 36.1,-101.7 36.1))"
32,-101.6,36.1,"POLYGON((-101.6 36.1,-101.6 36.2,-101.5 36.2,-101.5 36.1,-101.6 36.1))"
20,-101.5,36.1,"POLYGON((-101.5 36.1,-101.5 36.2,-101.4 36.2,-101.4 36.1,-101.5 36.1))"
10,-101.4,36.1,"POLYGON((-101.4 36.1,-101.4 36.2,-101.3 36.2,-101.3 36.1,-101.4 36.1))"
215,-101.3,36.1,"POLYGON((-101.3 36.1,-101.3 36.2,-101.2 36.2,-101.2 36.1,-101.3 36.1))"
1364,-101.2,36.1,"POLYGON((-101.2 36.1,-101.2 36.2,-101.1 36.2,-101.1 36.1,-101.2 36.1))"
3,-101.7,36.2,"POLYGON((-101.7 36.2,-101.7 36.3,-101.6 36.3,-101.6 36.2,-101.7 36.2))"
9,-101.6,36.2,"POLYGON((-101.6 36.2,-101.6 36.3,-101.5 36.3,-101.5 36.2,-101.6 36.2))"
653,-101.5,36.2,"POLYGON((-101.5 36.2,-101.5 36.3,-101.4 36.3,-101.4 36.2,-101.5 36.2))"
107,-101.4,36.2,"POLYGON((-101.4 36.2,-101.4 36.3,-101.3 36.3,-101.3 36.2,-101.4 36.2))"
22,-101.3,36.2,"POLYGON((-101.3 36.2,-101.3 36.3,-101.2 36.3,-101.2 36.2,-101.3 36.2))"
195,-101.2,36.2,"POLYGON((-101.2 36.2,-101.2 36.3,-101.1 36.3,-101.1 36.2,-101.2 36.2))"
3,-101.1,36.2,"POLYGON((-101.1 36.2,-101.1 36.3,-101.0 36.3,-101.0 36.2,-101.1 36.2))"
11,-101.6,36.3,"POLYGON((-101.6 36.3,-101.6 36.4,-101.5 36.4,-101.5 36.3,-101.6 36.3))"
12,-101.5,36.3,"POLYGON((-101.5 36.3,-101.5 36.4,-101.4 36.4,-101.4 36.3,-101.5 36.3))"
22,-101.4,36.3,"POLYGON((-101.4 36.3,-101.4 36.4,-101.3 36.4,-101.3 36.3,-101.4 36.3))"
14,-101.3,36.3,"POLYGON((-101.3 36.3,-101.3 36.4,-101.2 36.4,-101.2 36.3,-101.3 36.3))"
5,-101.2,36.3,"POLYGON((-101.2 36.3,-101.2 36.4,-101.1 36.4,-101.1 36.3,-101.2 36.3))"
2,-101.1,36.3,"POLYGON((-101.1 36.3,-101.1 36.4,-101.0 36.4,-101.0 36.3,-101.1 36.3))"
25,-101.6,36.4,"POLYGON((-101.6 36.4,-101.6 36.5,-101.5 36.5,-101.5 36.4,-101.6 36.4))"
17,-101.5,36.4,"POLYGON((-101.5 36.4,-101.5 36.5,-101.4 36.5,-101.4 36.4,-101.5 36.4))"
41,-101.4,36.4,"POLYGON((-101.4 36.4,-101.4 36.5,-101.3 36.5,-101.3 36.4,-101.4 36.4))"
20,-101.3,36.4,"POLYGON((-101.3 36.4,-101.3 36.5,-101.2 36.5,-101.2 36.4,-101.3 36.4))"
6,-101.2,36.4,"POLYGON((-101.2 36.4,-101.2 36.5,-101.1 36.5,-101.1 36.4,-101.2 36.4))"
2,-101.1,36.4,"POLYGON((-101.1 36.4,-101.1 36.5,-101.0 36.5,-101.0 36.4,-101.1 36.4))"
