count,lon,lat,area
60,-94.7,30.1,"POLYGON((-94.7 30.1,-94.7 30.2,-94.6 30.2,-94.6 30.1,-94.7 30.1))"
79,-94.6,30.1,"POLYGON((-94.6 30.1,-94.6 30.2,-94.5 30.2,-94.5 30.1,-94.6 30.1))"
1309,-94.5,30.1,"POLYGON((-94.5 30.1,-94.5 30.2,-94.4 30.2,-94.4 30.1,-94.5 30.1))"
1301,-94.4,30.1,"POLYGON((-94.4 30.1,-94.4 30.2,-94.3 30.2,-94.3 30.1,-94.4 30.1))"
418,-94.3,30.1,"POLYGON((-94.3 30.1,-94.3 30.2,-94.2 30.2,-94.2 30.1,-94.3 30.1))"
770,-94.2,30.1,"POLYGON((-94.2 30.1,-94.2 30.2,-94.1 30.2,-94.1 30.1,-94.2 30.1))"
643,-94.7,30.2,"POLYGON((-94.7 30.2,-94.7 30.3,-94.6 30.3,-94.6 30.2,-94.7 30.2))"
524,-94.6,30.2,"POLYGON((-94.6 30.2,-94.6 30.3,-94.5 30.3,-94.5 30.2,-94.6 30.2))"
275,-94.5,30.2,"POLYGON((-94.5 30.2,-94.5 30.3,-94.4 30.3,-94.4 30.2,-94.5 30.2))"
492,-94.4,30.2,"POLYGON((-94.4 30.2,-94.4 30.3,-94.3 30.3,-94.3 30.2,-94.4 30.2))"
6531,-94.3,30.2,"POLYGON((-94.3 30.2,-94.3 30.3,-94.2 30.3,-94.2 30.2,-94.3 30.2))"
3621,-94.2,30.2,"POLYGON((-94.2 30.2,-94.2 30.3,-94.1 30.3,-94.1 30.2,-94.2 30.2))"
130,-94.7,30.3,"POLYGON((-94.7 30.3,-94.7 30.4,-94.6 30.4,-94.6 30.3,-94.7 30.3))"
118,-94.6,30.3,"POLYGON((-94.6 30.3,-94.6 30.4,-94.5 30.4,-94.5 30.3,-94.6 30.3))"
327,-94.5,30.3,"POLYGON((-94.5 30.3,-94.5 30.4,-94.4 30.4,-94.4 30.3,-94.5 30.3))"
909,-94.4,30.3,"POLYGON((-94.4 30.3,-94.4 30.4,-94.3 30.4,-94.3 30.3,-94.4 30.3))"
2399,-94.3,30.3,"POLYGON((-94.3 30.3,-94.3 30.4,-94.2 30.4,-94.2 30.3,-94.3 30.3))"
3925,-94.2,30.3,"POLYGON((-94.2 30.3,-94.2 30.4,-94.1 30.4,-94.1 30.3,-94.2 30.3))"
186,-94.8,30.4,"POLYGON((-94.8 30.4,-94.8 30.5,-94.7 30.5,-94.7 30.4,-94.8 30.4))"
343,-94.7,30.4,"POLYGON((-94.7 30.4,-94.7 30.5,-94.6 30.5,-94.6 30.4,-94.7 30.4))"
17,-94.6,30.4,"POLYGON((-94.6 30.4,-94.6 30.5,-94.5 30.5,-94.5 30.4,-94.6 30.4))"
340,-94.5,30.4,"POLYGON((-94.5 30.4,-94.5 30.5,-94.4 30.5,-94.4 30.4,-94.5 30.4))"
416,-94.4,30.4,"POLYGON((-94.4 30.4,-94.4 30.5,-94.3 30.5,-94.3 30.4,-94.4 30.4))"
679,-94.3,30.4,"POLYGON((-94.3 30.4,-94.3 30.5,-94.2 30.5,-94.2 30.4,-94.3 30.4))"
1733,-94.2,30.4,"POLYGON((-94.2 30.4,-94.2 30.5,-94.1 30.5,-94.1 30.4,-94.2 30.4))"
3,-94.6,30.5,"POLYGON((-94.6 30.5,-94.6 30.6,-94.5 30.6,-94.5 30.5,-94.6 30.5))"
295,-94.5,30.5,"POLYGON((-94.5 30.5,-94.5 30.6,-94.4 30.6,-94.4 30.5,-94.5 30.5))"
115,-94.4,30.5,"POLYGON((-94.4 30.5,-94.4 30.6,-94.3 30.6,-94.3 30.5,-94.4 30.5))"
25,-94.3,30.5,"POLYGON((-94.3 30.5,-94.3 30.6,-94.2 30.6,-94.2 30.5,-94.3 30.5))"
249,-94.2,30.5,"POLYGON((-94.2 30.5,-94.2 30.6,-94.1 30.6,-94.1 30.5,-94.2 30.5))"
