count,lon,lat,area
2,-101.3,31.0,"POLYGON((-101.3 31.0,-101.3 31.1,-101.2 31.1,-101.2 31.0,-101.3 31.0))"
1,-101.2,31.0,"POLYGON((-101.2 31.0,-101.2 31.1,-101.1 31.1,-101.1 31.0,-101.2 31.0))"
2,-101.1,31.0,"POLYGON((-101.1 31.0,-101.1 31.1,-101.0 31.1,-101.0 31.0,-101.1 31.0))"
1,-101.0,31.0,"POLYGON((-101.0 31.0,-101.0 31.1,-100.9 31.1,-100.9 31.0,-101.0 31.0))"
1,-100.9,31.0,"POLYGON((-100.9 31.0,-100.9 31.1,-100.8 31.1,-100.8 31.0,-100.9 31.0))"
2,-100.8,31.0,"POLYGON((-100.8 31.0,-100.8 31.1,-100.7 31.1,-100.7 31.0,-100.8 31.0))"
13,-101.3,31.1,"POLYGON((-101.3 31.1,-101.3 31.2,-101.2 31.2,-101.2 31.1,-101.3 31.1))"
171,-101.2,31.1,"POLYGON((-101.2 31.1,-101.2 31.2,-101.1 31.2,-101.1 31.1,-101.2 31.1))"
15,-101.1,31.1,"POLYGON((-101.1 31.1,-101.1 31.2,-101.0 31.2,-101.0 31.1,-101.1 31.1))"
15,-101.0,31.1,"POLYGON((-101.0 31.1,-101.0 31.2,-100.9 31.2,-100.9 31.1,-101.0 31.1))"
11,-100.9,31.1,"POLYGON((-100.9 31.1,-100.9 31.2,-100.8 31.2,-100.8 31.1,-100.9 31.1))"
13,-100.8,31.1,"POLYGON((-100.8 31.1,-100.8 31.2,-100.7 31.2,-100.7 31.1,-100.8 31.1))"
2,-100.7,31.1,"POLYGON((-100.7 31.1,-100.7 31.2,-100.6 31.2,-100.6 31.1,-100.7 31.1))"
8,-101.3,31.2,"POLYGON((-101.3 31.2,-101.3 31.3,-101.2 31.3,-101.2 31.2,-101.3 31.2))"
58,-101.2,31.2,"POLYGON((-101.2 31.2,-101.2 31.3,-101.1 31.3,-101.1 31.2,-101.2 31.2))"
29,-101.1,31.2,"POLYGON((-101.1 31.2,-101.1 31.3,-101.0 31.3,-101.0 31.2,-101.1 31.2))"
13,-101.0,31.2,"POLYGON((-101.0 31.2,-101.0 31.3,-100.9 31.3,-100.9 31.2,-101.0 31.2))"
704,-100.9,31.2,"POLYGON((-100.9 31.2,-100.9 31.3,-100.8 31.3,-100.8 31.2,-100.9 31.2))"
138,-100.8,31.2,"POLYGON((-100.8 31.2,-100.8 31.3,-100.7 31.3,-100.7 31.2,-100.8 31.2))"
2,-100.7,31.2,"POLYGON((-100.7 31.2,-100.7 31.3,-100.6 31.3,-100.6 31.2,-100.7 31.2))"
7,-101.3,31.3,"POLYGON((-101.3 31.3,-101.3 31.4,-101.2 31.4,-101.2 31.3,-101.3 31.3))"
9,-101.2,31.3,"POLYGON((-101.2 31.3,-101.2 31.4,-101.1 31.4,-101.1 31.3,-101.2 31.3))"
18,-101.1,31.3,"POLYGON((-101.1 31.3,-101.1 31.4,-101.0 31.4,-101.0 31.3,-101.1 31.3))"
15,-101.0,31.3,"POLYGON((-101.0 31.3,-101.0 31.4,-100.9 31.4,-100.9 31.3,-101.0 31.3))"
30,-100.9,31.3,"POLYGON((-100.9 31.3,-100.9 31.4,-100.8 31.4,-100.8 31.3,-100.9 31.3))"
117,-100.8,31.3,"POLYGON((-100.8 31.3,-100.8 31.4,-100.7 31.4,-100.7 31.3,-100.8 31.3))"
46,-100.7,31.3,"POLYGON((-100.7 31.3,-100.7 31.4,-100.6 31.4,-100.6 31.3,-100.7 31.3))"
7,-101.3,31.4,"POLYGON((-101.3 31.4,-101.3 31.5,-101.2 31.5,-101.2 31.4,-101.3 31.4))"
8,-101.2,31.4,"POLYGON((-101.2 31.4,-101.2 31.5,-101.1 31.5,-101.1 31.4,-101.2 31.4))"
4,-101.1,31.4,"POLYGON((-101.1 31.4,-101.1 31.5,-101.0 31.5,-101.0 31.4,-101.1 31.4))"
4,-101.0,31.4,"POLYGON((-101.0 31.4,-101.0 31.5,-100.9 31.5,-100.9 31.4,-101.0 31.4))"
6,-100.9,31.4,"POLYGON((-100.9 31.4,-100.9 31.5,-100.8 31.5,-100.8 31.4,-100.9 31.4))"
26,-100.8,31.4,"POLYGON((-100.8 31.4,-100.8 31.5,-100.7 31.5,-100.7 31.4,-100.8 31.4))"
3,-100.7,31.4,"POLYGON((-100.7 31.4,-100.7 31.5,-100.6 31.5,-100.6 31.4,-100.7 31.4))"
2,-101.1,31.5,"POLYGON((-101.1 31.5,-101.1 31.6,-101.0 31.6,-101.0 31.5,-101.1 31.5))"
3,-100.9,31.5,"POLYGON((-100.9 31.5,-100.9 31.6,-100.8 31.6,-100.8 31.5,-100.9 31.5))"
4,-100.8,31.5,"POLYGON((-100.8 31.5,-100.8 31.6,-100.7 31.6,-100.7 31.5,-100.8 31.5))"
