count,lon,lat,area
2,-94.3,29.6,"POLYGON((-94.3 29.6,-94.3 29.7,-94.2 29.7,-94.2 29.6,-94.3 29.6))"
2,-94.2,29.6,"POLYGON((-94.2 29.6,-94.2 29.7,-94.1 29.7,-94.1 29.6,-94.2 29.6))"
10,-94.1,29.6,"POLYGON((-94.1 29.6,-94.1 29.7,-94.0 29.7,-94.0 29.6,-94.1 29.6))"
8,-94.0,29.6,"POLYGON((-94.0 29.6,-94.0 29.7,-93.9 29.7,-93.9 29.6,-94.0 29.6))"
125,-94.4,29.7,"POLYGON((-94.4 29.7,-94.4 29.8,-94.3 29.8,-94.3 29.7,-94.4 29.7))"
33,-94.3,29.7,"POLYGON((-94.3 29.7,-94.3 29.8,-94.2 29.8,-94.2 29.7,-94.3 29.7))"
9,-94.2,29.7,"POLYGON((-94.2 29.7,-94.2 29.8,-94.1 29.8,-94.1 29.7,-94.2 29.7))"
24,-94.0,29.7,"POLYGON((-94.0 29.7,-94.0 29.8,-93.9 29.8,-93.9 29.7,-94.0 29.7))"
34,-93.9,29.7,"POLYGON((-93.9 29.7,-93.9 29.8,-93.8 29.8,-93.8 29.7,-93.9 29.7))"
21,-94.5,29.8,"POLYGON((-94.5 29.8,-94.5 29.9,-94.4 29.9,-94.4 29.8,-94.5 29.8))"
1285,-94.4,29.8,"POLYGON((-94.4 29.8,-94.4 29.9,-94.3 29.9,-94.3 29.8,-94.4 29.8))"
845,-94.3,29.8,"POLYGON((-94.3 29.8,-94.3 29.9,-94.2 29.9,-94.2 29.8,-94.3 29.8))"
499,-94.2,29.8,"POLYGON((-94.2 29.8,-94.2 29.9,-94.1 29.9,-94.1 29.8,-94.2 29.8))"
166,-94.1,29.8,"POLYGON((-94.1 29.8,-94.1 29.9,-94.0 29.9,-94.0 29.8,-94.1 29.8))"
889,-94.0,29.8,"POLYGON((-94.0 29.8,-94.0 29.9,-93.9 29.9,-93.9 29.8,-94.0 29.8))"
36,-94.5,29.9,"POLYGON((-94.5 29.9,-94.5 30.0,-94.4 30.0,-94.4 29.9,-94.5 29.9))"
116,-94.4,29.9,"POLYGON((-94.4 29.9,-94.4 30.0,-94.3 30.0,-94.3 29.9,-94.4 29.9))"
2004,-94.3,29.9,"POLYGON((-94.3 29.9,-94.3 30.0,-94.2 30.0,-94.2 29.9,-94.3 29.9))"
1109,-94.2,29.9,"POLYGON((-94.2 29.9,-94.2 30.0,-94.1 30.0,-94.1 29.9,-94.2 29.9))"
4287,-94.1,29.9,"POLYGON((-94.1 29.9,-94.1 30.0,-94.0 30.0,-94.0 29.9,-94.1 29.9))"
8398,-94.0,29.9,"POLYGON((-94.0 29.9,-94.0 30.0,-93.9 30.0,-93.9 29.9,-94.0 29.9))"
612,-93.9,29.9,"POLYGON((-93.9 29.9,-93.9 30.0,-93.8 30.0,-93.8 29.9,-93.9 29.9))"
355,-94.5,30.0,"POLYGON((-94.5 30.0,-94.5 30.1,-94.4 30.1,-94.4 30.0,-94.5 30.0))"
1115,-94.4,30.0,"POLYGON((-94.4 30.0,-94.4 30.1,-94.3 30.1,-94.3 30.0,-94.4 30.0))"
2024,-94.3,30.0,"POLYGON((-94.3 30.0,-94.3 30.1,-94.2 30.1,-94.2 30.0,-94.3 30.0))"
4635,-94.2,30.0,"POLYGON((-94.2 30.0,-94.2 30.1,-94.1 30.1,-94.1 30.0,-94.2 30.0))"
1312,-94.1,30.0,"POLYGON((-94.1 30.0,-94.1 30.1,-94.0 30.1,-94.0 30.0,-94.1 30.0))"
1,-94.0,30.0,"POLYGON((-94.0 30.0,-94.0 30.1,-93.9 30.1,-93.9 30.0,-94.0 30.0))"
11,-94.4,30.1,"POLYGON((-94.4 30.1,-94.4 30.2,-94.3 30.2,-94.3 30.1,-94.4 30.1))"
1734,-94.3,30.1,"POLYGON((-94.3 30.1,-94.3 30.2,-94.2 30.2,-94.2 30.1,-94.3 30.1))"
6250,-94.2,30.1,"POLYGON((-94.2 30.1,-94.2 30.2,-94.1 30.2,-94.1 30.1,-94.2 30.1))"
5,-94.1,30.1,"POLYGON((-94.1 30.1,-94.1 30.2,-94.0 30.2,-94.0 30.1,-94.1 30.1))"
