count,lon,lat,area
1,-97.8,26.5,"POLYGON((-97.8 26.5,-97.8 26.6,-97.7 26.6,-97.7 26.5,-97.8 26.5))"
3,-97.9,26.6,"POLYGON((-97.9 26.6,-97.9 26.7,-97.8 26.7,-97.8 26.6,-97.9 26.6))"
4,-97.8,26.6,"POLYGON((-97.8 26.6,-97.8 26.7,-97.7 26.7,-97.7 26.6,-97.8 26.6))"
1,-97.8,26.7,"POLYGON((-97.8 26.7,-97.8 26.8,-97.7 26.8,-97.7 26.7,-97.8 26.7))"
26,-97.8,26.8,"POLYGON((-97.8 26.8,-97.8 26.9,-97.7 26.9,-97.7 26.8,-97.8 26.8))"
1,-97.7,26.8,"POLYGON((-97.7 26.8,-97.7 26.9,-97.6 26.9,-97.6 26.8,-97.7 26.8))"
3,-97.9,26.9,"POLYGON((-97.9 26.9,-97.9 27.0,-97.8 27.0,-97.8 26.9,-97.9 26.9))"
13,-97.8,26.9,"POLYGON((-97.8 26.9,-97.8 27.0,-97.7 27.0,-97.7 26.9,-97.8 26.9))"
3,-97.7,26.9,"POLYGON((-97.7 26.9,-97.7 27.0,-97.6 27.0,-97.6 26.9,-97.7 26.9))"
1,-97.8,27.0,"POLYGON((-97.8 27.0,-97.8 27.1,-97.7 27.1,-97.7 27.0,-97.8 27.0))"
3,-97.6,27.0,"POLYGON((-97.6 27.0,-97.6 27.1,-97.5 27.1,-97.5 27.0,-97.6 27.0))"
4,-97.8,27.1,"POLYGON((-97.8 27.1,-97.8 27.2,-97.7 27.2,-97.7 27.1,-97.8 27.1))"
2,-97.6,27.1,"POLYGON((-97.6 27.1,-97.6 27.2,-97.5 27.2,-97.5 27.1,-97.6 27.1))"
1,-98.0,27.2,"POLYGON((-98.0 27.2,-98.0 27.3,-97.9 27.3,-97.9 27.2,-98.0 27.2))"
1,-97.9,27.2,"POLYGON((-97.9 27.2,-97.9 27.3,-97.8 27.3,-97.8 27.2,-97.9 27.2))"
166,-97.8,27.2,"POLYGON((-97.8 27.2,-97.8 27.3,-97.7 27.3,-97.7 27.2,-97.8 27.2))"
2,-97.7,27.2,"POLYGON((-97.7 27.2,-97.7 27.3,-97.6 27.3,-97.6 27.2,-97.7 27.2))"
