count,lon,lat,area
4,-102.7,33.8,"POLYGON((-102.7 33.8,-102.7 33.9,-102.6 33.9,-102.6 33.8,-102.7 33.8))"
9,-102.6,33.8,"POLYGON((-102.6 33.8,-102.6 33.9,-102.5 33.9,-102.5 33.8,-102.6 33.8))"
40,-102.4,33.8,"POLYGON((-102.4 33.8,-102.4 33.9,-102.3 33.9,-102.3 33.8,-102.4 33.8))"
34,-102.3,33.8,"POLYGON((-102.3 33.8,-102.3 33.9,-102.2 33.9,-102.2 33.8,-102.3 33.8))"
12,-102.2,33.8,"POLYGON((-102.2 33.8,-102.2 33.9,-102.1 33.9,-102.1 33.8,-102.2 33.8))"
2,-102.1,33.8,"POLYGON((-102.1 33.8,-102.1 33.9,-102.0 33.9,-102.0 33.8,-102.1 33.8))"
11,-102.7,33.9,"POLYGON((-102.7 33.9,-102.7 34.0,-102.6 34.0,-102.6 33.9,-102.7 33.9))"
24,-102.6,33.9,"POLYGON((-102.6 33.9,-102.6 34.0,-102.5 34.0,-102.5 33.9,-102.6 33.9))"
32,-102.5,33.9,"POLYGON((-102.5 33.9,-102.5 34.0,-102.4 34.0,-102.4 33.9,-102.5 33.9))"
2606,-102.4,33.9,"POLYGON((-102.4 33.9,-102.4 34.0,-102.3 34.0,-102.3 33.9,-102.4 33.9))"
63,-102.3,33.9,"POLYGON((-102.3 33.9,-102.3 34.0,-102.2 34.0,-102.2 33.9,-102.3 33.9))"
89,-102.2,33.9,"POLYGON((-102.2 33.9,-102.2 34.0,-102.1 34.0,-102.1 33.9,-102.2 33.9))"
2,-102.1,33.9,"POLYGON((-102.1 33.9,-102.1 34.0,-102.0 34.0,-102.0 33.9,-102.1 33.9))"
2,-102.7,34.0,"POLYGON((-102.7 34.0,-102.7 34.1,-102.6 34.1,-102.6 34.0,-102.7 34.0))"
432,-102.6,34.0,"POLYGON((-102.6 34.0,-102.6 34.1,-102.5 34.1,-102.5 34.0,-102.6 34.0))"
355,-102.5,34.0,"POLYGON((-102.5 34.0,-102.5 34.1,-102.4 34.1,-102.4 34.0,-102.5 34.0))"
43,-102.4,34.0,"POLYGON((-102.4 34.0,-102.4 34.1,-102.3 34.1,-102.3 34.0,-102.4 34.0))"
42,-102.3,34.0,"POLYGON((-102.3 34.0,-102.3 34.1,-102.2 34.1,-102.2 34.0,-102.3 34.0))"
41,-102.2,34.0,"POLYGON((-102.2 34.0,-102.2 34.1,-102.1 34.1,-102.1 34.0,-102.2 34.0))"
1,-102.1,34.0,"POLYGON((-102.1 34.0,-102.1 34.1,-102.0 34.1,-102.0 34.0,-102.1 34.0))"
3,-102.7,34.1,"POLYGON((-102.7 34.1,-102.7 34.2,-102.6 34.2,-102.6 34.1,-102.7 34.1))"
8,-102.6,34.1,"POLYGON((-102.6 34.1,-102.6 34.2,-102.5 34.2,-102.5 34.1,-102.6 34.1))"
6,-102.5,34.1,"POLYGON((-102.5 34.1,-102.5 34.2,-102.4 34.2,-102.4 34.1,-102.5 34.1))"
13,-102.4,34.1,"POLYGON((-102.4 34.1,-102.4 34.2,-102.3 34.2,-102.3 34.1,-102.4 34.1))"
25,-102.3,34.1,"POLYGON((-102.3 34.1,-102.3 34.2,-102.2 34.2,-102.2 34.1,-102.3 34.1))"
913,-102.2,34.1,"POLYGON((-102.2 34.1,-102.2 34.2,-102.1 34.2,-102.1 34.1,-102.2 34.1))"
4,-102.1,34.1,"POLYGON((-102.1 34.1,-102.1 34.2,-102.0 34.2,-102.0 34.1,-102.1 34.1))"
16,-102.7,34.2,"POLYGON((-102.7 34.2,-102.7 34.3,-102.6 34.3,-102.6 34.2,-102.7 34.2))"
56,-102.6,34.2,"POLYGON((-102.6 34.2,-102.6 34.3,-102.5 34.3,-102.5 34.2,-102.6 34.2))"
362,-102.5,34.2,"POLYGON((-102.5 34.2,-102.5 34.3,-102.4 34.3,-102.4 34.2,-102.5 34.2))"
220,-102.4,34.2,"POLYGON((-102.4 34.2,-102.4 34.3,-102.3 34.3,-102.3 34.2,-102.4 34.2))"
39,-102.3,34.2,"POLYGON((-102.3 34.2,-102.3 34.3,-102.2 34.3,-102.2 34.2,-102.3 34.2))"
62,-102.2,34.2,"POLYGON((-102.2 34.2,-102.2 34.3,-102.1 34.3,-102.1 34.2,-102.2 34.2))"
4,-102.1,34.2,"POLYGON((-102.1 34.2,-102.1 34.3,-102.0 34.3,-102.0 34.2,-102.1 34.2))"
2,-102.7,34.3,"POLYGON((-102.7 34.3,-102.7 34.4,-102.6 34.4,-102.6 34.3,-102.7 34.3))"
5,-102.6,34.3,"POLYGON((-102.6 34.3,-102.6 34.4,-102.5 34.4,-102.5 34.3,-102.6 34.3))"
5,-102.5,34.3,"POLYGON((-102.5 34.3,-102.5 34.4,-102.4 34.4,-102.4 34.3,-102.5 34.3))"
9,-102.4,34.3,"POLYGON((-102.4 34.3,-102.4 34.4,-102.3 34.4,-102.3 34.3,-102.4 34.3))"
1,-102.3,34.3,"POLYGON((-102.3 34.3,-102.3 34.4,-102.2 34.4,-102.2 34.3,-102.3 34.3))"
6,-102.2,34.3,"POLYGON((-102.2 34.3,-102.2 34.4,-102.1 34.4,-102.1 34.3,-102.2 34.3))"
