count,lon,lat,area
56,-97.2,30.4,"POLYGON((-97.2 30.4,-97.2 30.5,-97.1 30.5,-97.1 30.4,-97.2 30.4))"
1,-97.1,30.4,"POLYGON((-97.1 30.4,-97.1 30.5,-97.0 30.5,-97.0 30.4,-97.1 30.4))"
1,-97.3,30.5,"POLYGON((-97.3 30.5,-97.3 30.6,-97.2 30.6,-97.2 30.5,-97.3 30.5))"
420,-97.2,30.5,"POLYGON((-97.2 30.5,-97.2 30.6,-97.1 30.6,-97.1 30.5,-97.2 30.5))"
77,-97.1,30.5,"POLYGON((-97.1 30.5,-97.1 30.6,-97.0 30.6,-97.0 30.5,-97.1 30.5))"
124,-97.0,30.5,"POLYGON((-97.0 30.5,-97.0 30.6,-96.9 30.6,-96.9 30.5,-97.0 30.5))"
302,-97.3,30.6,"POLYGON((-97.3 30.6,-97.3 30.7,-97.2 30.7,-97.2 30.6,-97.3 30.6))"
435,-97.2,30.6,"POLYGON((-97.2 30.6,-97.2 30.7,-97.1 30.7,-97.1 30.6,-97.2 30.6))"
977,-97.1,30.6,"POLYGON((-97.1 30.6,-97.1 30.7,-97.0 30.7,-97.0 30.6,-97.1 30.6))"
698,-97.0,30.6,"POLYGON((-97.0 30.6,-97.0 30.7,-96.9 30.7,-96.9 30.6,-97.0 30.6))"
335,-96.9,30.6,"POLYGON((-96.9 30.6,-96.9 30.7,-96.8 30.7,-96.8 30.6,-96.9 30.6))"
44,-96.8,30.6,"POLYGON((-96.8 30.6,-96.8 30.7,-96.7 30.7,-96.7 30.6,-96.8 30.6))"
1,-96.7,30.6,"POLYGON((-96.7 30.6,-96.7 30.7,-96.6 30.7,-96.6 30.6,-96.7 30.6))"
5,-97.4,30.7,"POLYGON((-97.4 30.7,-97.4 30.8,-97.3 30.8,-97.3 30.7,-97.4 30.7))"
438,-97.3,30.7,"POLYGON((-97.3 30.7,-97.3 30.8,-97.2 30.8,-97.2 30.7,-97.3 30.7))"
281,-97.2,30.7,"POLYGON((-97.2 30.7,-97.2 30.8,-97.1 30.8,-97.1 30.7,-97.2 30.7))"
222,-97.1,30.7,"POLYGON((-97.1 30.7,-97.1 30.8,-97.0 30.8,-97.0 30.7,-97.1 30.7))"
623,-97.0,30.7,"POLYGON((-97.0 30.7,-97.0 30.8,-96.9 30.8,-96.9 30.7,-97.0 30.7))"
326,-96.9,30.7,"POLYGON((-96.9 30.7,-96.9 30.8,-96.8 30.8,-96.8 30.7,-96.9 30.7))"
637,-96.8,30.7,"POLYGON((-96.8 30.7,-96.8 30.8,-96.7 30.8,-96.7 30.7,-96.8 30.7))"
147,-96.7,30.7,"POLYGON((-96.7 30.7,-96.7 30.8,-96.6 30.8,-96.6 30.7,-96.7 30.7))"
201,-97.3,30.8,"POLYGON((-97.3 30.8,-97.3 30.9,-97.2 30.9,-97.2 30.8,-97.3 30.8))"
489,-97.2,30.8,"POLYGON((-97.2 30.8,-97.2 30.9,-97.1 30.9,-97.1 30.8,-97.2 30.8))"
466,-97.1,30.8,"POLYGON((-97.1 30.8,-97.1 30.9,-97.0 30.9,-97.0 30.8,-97.1 30.8))"
444,-97.0,30.8,"POLYGON((-97.0 30.8,-97.0 30.9,-96.9 30.9,-96.9 30.8,-97.0 30.8))"
238,-96.9,30.8,"POLYGON((-96.9 30.8,-96.9 30.9,-96.8 30.9,-96.8 30.8,-96.9 30.8))"
243,-96.8,30.8,"POLYGON((-96.8 30.8,-96.8 30.9,-96.7 30.9,-96.7 30.8,-96.8 30.8))"
107,-96.7,30.8,"POLYGON((-96.7 30.8,-96.7 30.9,-96.6 30.9,-96.6 30.8,-96.7 30.8))"
18,-97.3,30.9,"POLYGON((-97.3 30.9,-97.3 31.0,-97.2 31.0,-97.2 30.9,-97.3 30.9))"
77,-97.2,30.9,"POLYGON((-97.2 30.9,-97.2 31.0,-97.1 31.0,-97.1 30.9,-97.2 30.9))"
157,-97.1,30.9,"POLYGON((-97.1 30.9,-97.1 31.0,-97.0 31.0,-97.0 30.9,-97.1 30.9))"
308,-97.0,30.9,"POLYGON((-97.0 30.9,-97.0 31.0,-96.9 31.0,-96.9 30.9,-97.0 30.9))"
269,-96.9,30.9,"POLYGON((-96.9 30.9,-96.9 31.0,-96.8 31.0,-96.8 30.9,-96.9 30.9))"
49,-96.8,30.9,"POLYGON((-96.8 30.9,-96.8 31.0,-96.7 31.0,-96.7 30.9,-96.8 30.9))"
13,-97.1,31.0,"POLYGON((-97.1 31.0,-97.1 31.1,-97.0 31.1,-97.0 31.0,-97.1 31.0))"
88,-97.0,31.0,"POLYGON((-97.0 31.0,-97.0 31.1,-96.9 31.1,-96.9 31.0,-97.0 31.0))"
81,-96.9,31.0,"POLYGON((-96.9 31.0,-96.9 31.1,-96.8 31.1,-96.8 31.0,-96.9 31.0))"
3,-96.8,31.0,"POLYGON((-96.8 31.0,-96.8 31.1,-96.7 31.1,-96.7 31.0,-96.8 31.0))"
