count,lon,lat,area
4,-94.8,32.8,"POLYGON((-94.8 32.8,-94.8 32.9,-94.7 32.9,-94.7 32.8,-94.8 32.8))"
15,-94.7,32.8,"POLYGON((-94.7 32.8,-94.7 32.9,-94.6 32.9,-94.6 32.8,-94.7 32.8))"
11,-94.9,32.9,"POLYGON((-94.9 32.9,-94.9 33.0,-94.8 33.0,-94.8 32.9,-94.9 32.9))"
1534,-94.8,32.9,"POLYGON((-94.8 32.9,-94.8 33.0,-94.7 33.0,-94.7 32.9,-94.8 32.9))"
152,-94.7,32.9,"POLYGON((-94.7 32.9,-94.7 33.0,-94.6 33.0,-94.6 32.9,-94.7 32.9))"
297,-94.9,33.0,"POLYGON((-94.9 33.0,-94.9 33.1,-94.8 33.1,-94.8 33.0,-94.9 33.0))"
2303,-94.8,33.0,"POLYGON((-94.8 33.0,-94.8 33.1,-94.7 33.1,-94.7 33.0,-94.8 33.0))"
436,-94.7,33.0,"POLYGON((-94.7 33.0,-94.7 33.1,-94.6 33.1,-94.6 33.0,-94.7 33.0))"
138,-94.9,33.1,"POLYGON((-94.9 33.1,-94.9 33.2,-94.8 33.2,-94.8 33.1,-94.9 33.1))"
1192,-94.8,33.1,"POLYGON((-94.8 33.1,-94.8 33.2,-94.7 33.2,-94.7 33.1,-94.8 33.1))"
503,-94.7,33.1,"POLYGON((-94.7 33.1,-94.7 33.2,-94.6 33.2,-94.6 33.1,-94.7 33.1))"
16,-94.9,33.2,"POLYGON((-94.9 33.2,-94.9 33.3,-94.8 33.3,-94.8 33.2,-94.9 33.2))"
272,-94.8,33.2,"POLYGON((-94.8 33.2,-94.8 33.3,-94.7 33.3,-94.7 33.2,-94.8 33.2))"
589,-94.7,33.2,"POLYGON((-94.7 33.2,-94.7 33.3,-94.6 33.3,-94.6 33.2,-94.7 33.2))"
1,-94.9,33.3,"POLYGON((-94.9 33.3,-94.9 33.4,-94.8 33.4,-94.8 33.3,-94.9 33.3))"
6,-94.8,33.3,"POLYGON((-94.8 33.3,-94.8 33.4,-94.7 33.4,-94.7 33.3,-94.8 33.3))"
